fold,seed,batch,cos_task_vs_protected,cos_task_vs_residual,cos_task_vs_persistence,task_grad_norm,protected_grad_norm,residual_grad_norm,persistence_grad_norm,state_unchanged_before,state_unchanged_after
1,1,2,0.7411947250366211,-0.22109933197498322,-0.10789269208908081,4.764878273010254,2.8542251586914062,0.8172591924667358,1.7891361713409424,88f2f84dec96af4e4946a2efd5dad6239b0b2ef955e9340f03cd221fbf9f889c,True
1,2,0,0.43220776319503784,0.40666449069976807,-0.16042739152908325,5.328563690185547,4.779922008514404,2.0160531997680664,2.80456805229187,9d85849c4f97ba3a355243bfa52be83437bd22e8cafe9b7303b741c1feee3536,True
1,2,1,-0.14887189865112305,-0.057376205921173096,-0.2077207714319229,4.400611877441406,2.53680157661438,1.5977922677993774,1.3241478204727173,9d85849c4f97ba3a355243bfa52be83437bd22e8cafe9b7303b741c1feee3536,True
1,2,2,0.7541040182113647,0.11316531151533127,-0.16874133050441742,4.466814994812012,2.306004524230957,0.691454291343689,0.6641523241996765,9d85849c4f97ba3a355243bfa52be83437bd22e8cafe9b7303b741c1feee3536,True
2,0,0,0.8817866444587708,-0.05598147213459015,0.05610066279768944,7.351626873016357,16.84547233581543,2.1469085216522217,0.97173011302948,6637f1807366949254a261a25b5f56c458543a1d1dc1e39dcd397487d85cc846,True
2,0,1,0.7656480073928833,0.009325037710368633,0.18097494542598724,3.7079596519470215,1.666801929473877,0.6929013729095459,2.4474925994873047,6637f1807366949254a261a25b5f56c458543a1d1dc1e39dcd397487d85cc846,True
2,0,2,0.6507114768028259,0.20224696397781372,0.2759205400943756,3.474729061126709,4.755250453948975,1.1528657674789429,1.230291724205017,6637f1807366949254a261a25b5f56c458543a1d1dc1e39dcd397487d85cc846,True
2,1,0,0.3276781737804413,-0.816716730594635,-0.39378488063812256,5.514368534088135,7.239870071411133,2.9743738174438477,1.5069561004638672,c195f160613bdaf483390d9ae359e6fc49b992ad29d89b068329e31b6221323e,True
2,1,1,0.8865727782249451,0.07025755941867828,-0.3704683184623718,6.079460620880127,4.594837665557861,1.1204675436019897,2.04683518409729,c195f160613bdaf483390d9ae359e6fc49b992ad29d89b068329e31b6221323e,True
2,1,2,0.6607782244682312,-0.24595052003860474,0.36741334199905396,5.3502092361450195,2.8719289302825928,1.072978138923645,3.2230405807495117,c195f160613bdaf483390d9ae359e6fc49b992ad29d89b068329e31b6221323e,True
