subject_id,source_fold,delta_P,delta_U,delta_D,slope_P,slope_U,slope_D,AUC_P,AUC_U,AUC_D,min_U,max_drop_U,max_drop_D,late_minus_early_U,late_minus_early_D,cumulative_predicted_utility_damage,max_predicted_utility_damage,fraction_steps_predicted_damage,cumulative_predicted_decision_damage,max_predicted_decision_damage,mean_actual_utility_delta_small_step,mean_predicted_utility_delta,mean_cos_task_G,final_history_BA,final_history_loss,P_static,U_static,D_static,I_static,history_BA_t0,history_loss_t0,history_margin_t0,history_gradient_norm_t0,BA_NoAdapt_S2,BA_Generic_S2,FutureDeltaBA,NegativeTransfer,role,R_raw
34,2,0.770962961180996,-0.020000000000000018,0.04,0.10972566090787599,-0.004857142857142859,0.007714285714285713,0.6971039116734371,-0.016000000000000014,0.018,-0.030000000000000027,0.030000000000000027,0.0,-0.020000000000000018,0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.007640678268828594,0.007862615257672506,-0.7557980637574117,0.63,0.6546023320028811,1.0,0.22000000000000003,0.56,0.1915226553659765,0.65,0.7203945237335283,1.6134270671755075,0.563694915300935,0.7,0.71,0.010000000000000009,0,outcome,0.030000000000000027
44,2,0.7584495316561218,0.0,0.0,0.1081560391598025,0.0,0.0,0.6839862076795714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018554032566604982,0.0018712123057188547,-0.7301350907554178,0.9199999999999999,0.17330229054834403,1.0,0.71,0.85,0.4819093608746609,0.9199999999999999,0.19069845553492648,4.0982715418934825,0.2625262191815999,0.9299999999999999,0.94,0.010000000000000009,0,outcome,0.0
52,2,0.5725909330503237,0.010000000000000009,0.01,0.08073364396125317,0.0014285714285714297,0.0014285714285714281,0.5226555616313178,0.0010000000000000009,0.001,0.0,0.0,0.0,0.0050000000000000044,0.005,0.0,0.0,0.0,0.0,0.0,0.0005789223733156934,0.0005861956337022416,-0.5637563290074972,0.9299999999999999,0.2309161745144719,1.0,0.6199999999999999,0.7,0.32533462566593185,0.9199999999999999,0.24004604220342435,3.260534395650029,0.19347996508971635,0.8200000000000001,0.8200000000000001,0.0,0,outcome,0.0
7,2,0.9179616945252305,0.010000000000000009,0.05,0.13067242527976114,0.0020000000000000018,0.007142857142857141,0.8298674287595518,-0.0030000000000000027,0.028999999999999998,-0.010000000000000009,0.010000000000000009,0.0,0.0050000000000000044,0.025,0.0,0.0,0.0,0.0,0.0,0.023646646973150796,0.02470969907456382,-0.8782782679161738,0.77,0.5198824266051801,1.0,0.26,0.68,0.1451250851926118,0.76,0.6694515570513311,2.8994803588092326,0.8763208306118047,0.84,0.8500000000000001,0.01000000000000012,0,outcome,0.010000000000000009
15,3,0.8853256913293245,0.0,0.0,0.12636800398933953,0.0,0.0,0.7975387816842108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000385811126021908,0.00038942470868367596,-0.8467738639094995,0.99,0.043854923882207214,0.9999999999999998,0.5399999999999999,0.56,0.4841076213153595,0.99,0.04653405938892415,4.490881733894348,0.10300321954505212,0.91,0.91,0.0,0,outcome,0.0
20,3,0.8034541661465884,0.020000000000000018,0.04,0.11401538110481424,0.004000000000000003,0.00914285714285714,0.7285965042830519,0.014000000000000012,0.024,0.0,0.0,0.0,0.015000000000000013,0.035,0.0,0.0,0.0,0.0,0.0,0.002900151796148209,0.002958579618242229,-0.7914533848356744,0.8300000000000001,0.36235827998646153,0.9999999999999998,0.38000000000000006,0.62,0.33009328775874985,0.81,0.38536794833750065,3.008314869850874,0.3210906396897815,0.9,0.9099999999999999,0.009999999999999898,0,outcome,0.0
21,3,0.7089618185606659,0.010000000000000009,0.01,0.10144545153303235,0.0014285714285714297,0.0014285714285714281,0.6368928017037498,0.0010000000000000009,0.001,0.0,0.0,0.0,0.0050000000000000044,0.005,0.0,0.0,0.0,0.0,0.0,0.0029751641640005876,0.0030714006680536495,-0.6616041697735231,0.95,0.14605332869954354,0.9999999999999998,0.3899999999999999,0.43,0.30426047315844756,0.94,0.17870048044078618,4.0262983933091165,0.38746353422096,0.97,0.98,0.010000000000000009,0,outcome,0.0
27,3,0.7016835246812924,0.010000000000000009,0.01,0.09966406659648713,0.0034285714285714314,0.003428571428571429,0.6354500512775569,0.007000000000000006,0.007000000000000001,0.0,0.0,0.0,0.015000000000000013,0.015,0.0,0.0,0.0,0.01,0.01,0.0017791154090377793,0.001812229605511847,-0.6905552393183507,0.94,0.18976295785808672,0.9999999999999998,0.4899999999999999,0.53,0.19047466715806158,0.9199999999999999,0.20827755621974892,2.5317601127922535,0.28726212175886556,0.94,0.94,0.0,0,outcome,0.01
28,3,0.7583242012754734,0.0,0.0,0.1081315884442496,0.0,0.0,0.6838842942095333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014394265314315341,0.0014554354103114198,-0.7387607149017039,0.96,0.11847293375962424,0.9999999999999998,0.49999999999999994,0.58,0.3745778750337083,0.96,0.13156962410527862,4.362235831022263,0.23269318553089877,0.96,0.96,0.0,0,outcome,0.0
38,3,0.7564133735039567,0.010000000000000009,0.01,0.10750041469736835,0.002285714285714287,0.0022857142857142846,0.684818675400192,0.007000000000000006,0.007000000000000001,0.0,0.0,0.0,0.010000000000000009,0.01,0.0,0.0,0.0,0.0,0.0,0.0054092540798849065,0.005522642000524485,-0.7082774444247132,0.78,0.5232006763051564,0.9999999999999998,0.39,0.69,0.18569065067416574,0.76,0.5764164305301976,2.6512139309197664,0.46614553670640857,0.76,0.79,0.030000000000000027,0,outcome,0.0
