subject_id,source_fold,step,checkpoint,predicted_utility_damage,utility_delta_actual_small_step,predicted_utility_delta,cos_task_G
28,2,0,t0,0.0,0.0007445083520982443,0.0007556395193786111,-0.8088863118456296
28,2,1,t1,0.0,0.0007063432207780329,0.0007169160665068158,-0.8033237684077866
28,2,2,t2,0.0,0.0006702415289529945,0.0006802761857387507,-0.7976110045321568
28,2,3,t3,0.0,0.0006361174778069245,0.0006456346925564764,-0.7917550816554932
28,2,4,t4,0.0,0.0006038843033836228,0.000612905233893739,-0.7857636600620508
3,2,0,t0,0.0,0.0002963212291531153,0.0002985657190043613,-0.74303837021499
3,2,1,t1,0.0,0.00028822431005529753,0.0002903800089881654,-0.7398902336902327
3,2,2,t2,0.0,0.000280450474652319,0.00028252158743933105,-0.7367682344422324
3,2,3,t3,0.0,0.0002729841036112554,0.00027497460379494865,-0.7336731492650407
3,2,4,t4,0.0,0.000265810452106649,0.0002677240966134084,-0.730605711275637
30,2,0,t0,0.0,0.0012294141421908267,0.0012432437402879882,-0.703321160360921
30,2,1,t1,0.0,0.0011804640311779135,0.0011936631886713036,-0.6983233484176398
30,2,2,t2,0.0,0.001133784355479811,0.0011463849384706,-0.6932800946503318
30,2,3,t3,0.0,0.0010892575406396543,0.0011012900906662776,-0.6881933243959104
30,2,4,t4,0.0,0.0010467714869143163,0.001058265170224517,-0.6830647337087288
31,2,0,t0,0.0,0.001421826789326175,0.001448172481380858,-0.730516224986933
31,2,1,t1,0.0,0.0013316118753816109,0.0013558178983947209,-0.7237850475135746
31,2,2,t2,0.0,0.0012489370556843238,0.001271209649030246,-0.7170843218918338
31,2,3,t3,0.0,0.0011730645589554112,0.0011935870732231464,-0.7104202094540277
31,2,4,t4,0.0,0.001103339093737471,0.0011222748619254869,-0.7037988581049623
32,2,0,t0,0.0,0.0006981182732391372,0.0007079188399482282,-0.8606313136071772
32,2,1,t1,0.0,0.0006634503973471512,0.0006725313179496845,-0.8569634932315401
32,2,2,t2,0.0,0.0006313496155340922,0.0006397801005093821,-0.8533159932433022
32,2,3,t3,0.0,0.0006015686310266374,0.0006094097563780895,-0.8496888868668401
32,2,4,t4,0.0,0.0005738891320477418,0.000581194962696501,-0.8460822305487452
33,2,0,t0,0.0,0.00023464383065735506,0.0002364185202972027,-0.7375649157211264
33,2,1,t1,0.0,0.00022821096953930253,0.00022991657929127178,-0.7344061601943674
33,2,2,t2,0.0,0.00022203255535591104,0.00022367269535392546,-0.7312778403345688
33,2,3,t3,0.0,0.00021609522293956213,0.00021767326750952705,-0.7281795243741245
33,2,4,t4,0.0,0.00021038648097816692,0.00021190558693798733,-0.7251107784936306
34,2,0,t0,0.0,0.009329742642678607,0.009593757551462767,-0.7770668455761088
34,2,1,t1,0.0,0.008403822585497656,0.008645587740331832,-0.7675484753200306
34,2,2,t2,0.0,0.007561921194773502,0.007782619672415701,-0.7569016741585901
34,2,3,t3,0.0,0.00679879573804687,0.0069996692436124185,-0.745149299449143
34,2,4,t4,0.0,0.006109109183146333,0.006291442080539814,-0.7323240242831861
35,2,0,t0,0.0,0.0001253823051524383,0.00012576005741232177,-0.7459029478923037
35,2,1,t1,0.0,0.00012404169213305755,0.00012441210126998845,-0.7444000458975932
35,2,2,t2,0.0,0.0001227281063391067,0.0001230914310396605,-0.7429078768380896
35,2,3,t3,0.0,0.00012144058944173891,0.00012179707731205059,-0.7414260760133291
35,2,4,t4,0.0,0.00012017822465240635,0.00012052811277834012,-0.7399542828433353
38,2,0,t0,0.0,0.0031625181621106058,0.0032632117166101803,-0.7427581040254919
38,2,1,t1,0.0,0.002826336343045577,0.0029167580192930326,-0.7270465494888069
38,2,2,t2,0.0,0.002526998550636761,0.002608236909296705,-0.7106246088172755
38,2,3,t3,0.0,0.002260462785367845,0.0023334839558612104,-0.6935114269360896
38,2,4,t4,0.0,0.0020231418893721376,0.0020888053057618893,-0.675738059421367
40,2,0,t0,0.0,0.0018494885707385222,0.0018792563772511218,-0.7190163100602861
40,2,1,t1,0.0,0.0017432223790389278,0.0017708112844613277,-0.7126190623467922
40,2,2,t2,0.0,0.0016448491055840175,0.001670439572339381,-0.7062804253491982
40,2,3,t3,0.0,0.0015537032823042252,0.0015774593975729772,-0.7000060174210668
40,2,4,t4,0.0,0.0014691805902438126,0.001491251726232579,-0.6938010985405179
41,2,0,t0,0.0,0.0018081603059134088,0.0018676287102869324,-0.7857210205036537
41,2,1,t1,0.0,0.0016170382286396223,0.00166350251954164,-0.770637144671469
41,2,2,t2,0.0,0.0014680336764428814,0.0015048446690917683,-0.7573676941589669
41,2,3,t3,0.0,0.001350095885944147,0.0013796971469393648,-0.7458712829381349
41,2,4,t4,0.0,0.0012552021218426024,0.001279381481824468,-0.7360139965415481
43,2,0,t0,0.0,0.0008845170638484279,0.0008919148434481738,-0.8868666637695714
43,2,1,t1,0.0,0.0008566136175230943,0.0008636664270997738,-0.8843772628408504
43,2,2,t2,0.0,0.0008300269809246724,0.0008367580791244537,-0.8818867722023477
43,2,3,t3,0.0,0.0008046686955634069,0.0008110992938573238,-0.8793946410206164
43,2,4,t4,0.0,0.0007804580314248188,0.0007866075081212726,-0.8769003308083936
44,2,0,t0,0.0,0.0019802373290593034,0.0019966420431389215,-0.7342941825450152
44,2,1,t1,0.0,0.0019165019627281898,0.001932619855209738,-0.7323315753155053
44,2,2,t2,0.0,0.0018540687562077773,0.0018698885445888637,-0.7302518914004655
44,2,3,t3,0.0,0.0017929705408246122,0.001808481454703172,-0.7280553311492852
44,2,4,t4,0.0,0.001733237694482609,0.001748429630953579,-0.7257424733668177
45,2,0,t0,0.0,0.0008593645511357773,0.00087369415428464,-0.7972788756099951
45,2,1,t1,0.0,0.0008066197835018274,0.0008196939717544151,-0.7891454555654728
45,2,2,t2,0.0,0.0007585015826840624,0.0007704612584618778,-0.7810614299545884
45,2,3,t3,0.0,0.0007144908766966995,0.0007254582046846505,-0.7730326012658316
45,2,4,t4,0.0,0.0006741373397911032,0.0006842185388632819,-0.7650637736231312
46,2,0,t0,0.0,0.005416464212350258,0.005685539112703484,-0.8368370356573754
46,2,1,t1,0.0,0.004498479530092359,0.004721429945080088,-0.8157922395357118
46,2,2,t2,0.0,0.003744359452357293,0.0039289527119312564,-0.7926660168709251
46,2,3,t3,0.0,0.0031257327873924767,0.0032785068517597925,-0.7675464379589582
46,2,4,t4,0.0,0.002618821797526205,0.002745260803637347,-0.7406143279492472
47,2,0,t0,0.0,0.001714462035870376,0.0017553763409117514,-0.7456648323338281
47,2,1,t1,0.0,0.001575217614308691,0.0016121285562298371,-0.7348946717708746
47,2,2,t2,0.0,0.0014499140821970236,0.0014832770638135257,-0.7240612848008041
47,2,3,t3,0.0,0.0013369389635529694,0.0013671520361755339,-0.7131851710214143
47,2,4,t4,0.0,0.0012348863147220585,0.0012622979769002264,-0.7022859676872848
48,2,0,t0,0.0,0.0034193433751151803,0.0035096355845985294,-0.7681039921329038
48,2,1,t1,0.0,0.003101691122909478,0.0031848974858515525,-0.7564939983549192
48,2,2,t2,0.0,0.00281049545604406,0.002887042595119306,-0.7441151187054234
48,2,3,t3,0.0,0.0025440672312363466,0.002614376382246044,-0.7309496630489265
48,2,4,t4,0.0,0.0023007500779319567,0.0023652337607737903,-0.716985074514093
49,2,0,t0,0.0,0.0021307699373042666,0.0021689387361872045,-0.8693585047229003
49,2,1,t1,0.0,0.0019941588519052367,0.002029008319578092,-0.863467315291543
49,2,2,t2,0.0,0.0018695887177066217,0.001901487966248298,-0.8575148319411778
49,2,3,t3,0.0,0.001755720458683968,0.001784989045216326,-0.8515049534984136
49,2,4,t4,0.0,0.001651393888821573,0.0016783095081689668,-0.8454415378647906
5,2,0,t0,0.0,0.0007141354765394792,0.0007206793641746632,-0.8920376367348396
5,2,1,t1,0.0,0.0006904219007045354,0.0006966705016799031,-0.8895309593199243
5,2,2,t2,0.0,0.0006678055264338484,0.0006737764789165233,-0.8870037008972924
5,2,3,t3,0.0,0.0006462201928758848,0.0006519297753105988,-0.8844559814850621
5,2,4,t4,0.0,0.000625604836460264,0.0006310680983678445,-0.8818879586652618
50,2,0,t0,0.0,0.01251469923009274,0.013100687368187904,-0.8508422431425671
50,2,1,t1,0.0,0.010498667551566365,0.011005252719850265,-0.8315536001854598
50,2,2,t2,0.0,0.00877575540081088,0.009210548454324998,-0.8095097641251651
50,2,3,t3,0.0,0.007314313420972496,0.007685242796073368,-0.7845453491956085
50,2,4,t4,0.0,0.0060825918738849905,0.006397479457962512,-0.7565627997819274
52,2,0,t0,0.0,0.0006374340607593065,0.0006457540061120073,-0.579738755596799
52,2,1,t1,0.0,0.000606134635541683,0.0006138866857498338,-0.5715616229851225
52,2,2,t2,0.0,0.0005769641729902741,0.0005841949429213261,-0.5635713173653275
52,2,3,t3,0.0,0.0005497487728095274,0.0005565006720676968,-0.5557661816095664
52,2,4,t4,0.0,0.000524330224477676,0.0005306418616603438,-0.5481437674806706
53,2,0,t0,0.0,0.0009416329482324071,0.0009560023575263184,-0.7396594417439173
53,2,1,t1,0.0,0.0008900968026859524,0.0009033704345588029,-0.7322081616044579
53,2,2,t2,0.0,0.0008425090520793599,0.0008547883361600954,-0.7248344203356948
53,2,3,t3,0.0,0.0007985014873180263,0.0008098768387881788,-0.7175443165739077
53,2,4,t4,0.0,0.0007577460313401285,0.0007682982277107529,-0.7103434764861358
6,2,0,t0,0.0,0.0008084528856429629,0.0008190032690487434,-0.742567077142561
6,2,1,t1,0.0,0.0007723739888720327,0.0007823444817133444,-0.737040548319076
6,2,2,t2,0.0,0.0007383716541132512,0.0007478056604860936,-0.731504934739591
6,2,3,t3,0.0,0.0007062884428733762,0.0007152251556667859,-0.7259585886424987
6,2,4,t4,0.0,0.000675982159470831,0.0006844570502367159,-0.7204000222255306
7,2,0,t0,0.0,0.03172496324610008,0.032848094203230704,-0.9065199264046284
7,2,1,t1,0.0,0.027550924646895125,0.028670877429212416,-0.8960526252786992
7,2,2,t2,0.0,0.023460350384593487,0.024550509990563425,-0.8824472900252394
7,2,3,t3,0.0,0.019556796476820626,0.02058927644444733,-0.8647245846255165
7,2,4,t4,0.0,0.01594020011134467,0.016889737305365218,-0.841646913246786
8,2,0,t0,0.0,0.004024511374504991,0.004349757461496597,-0.7559678792170436
8,2,1,t1,0.0,0.0030363978131239533,0.0032865406531467373,-0.7130574864511358
8,2,2,t2,0.0,0.002290131115070343,0.0024827470050816274,-0.664653464306051
8,2,3,t3,0.0,0.0017272449137145096,0.0018757984831211977,-0.6113510430188155
8,2,4,t4,0.0,0.0013032724994106182,0.0014180642766206755,-0.5542760614365098
9,2,0,t0,0.0,0.0007245642659715334,0.0007348501553837236,-0.7382205223403936
9,2,1,t1,0.0,0.0006894853947436441,0.0006991125813547267,-0.7315449138391564
9,2,2,t2,0.0,0.0006567310025663714,0.0006657508420916178,-0.7248943624445264
9,2,3,t3,0.0,0.0006261163322853619,0.00063457552103919,-0.7182741568600395
9,2,4,t4,0.0,0.0005974735418554367,0.0006054145966840058,-0.7116893810585998
1,3,0,t0,0.0,0.0016274568401156708,0.0016535344298941172,-0.7235183989833482
1,3,1,t1,0.0,0.0015358540167428325,0.0015603029353387266,-0.715407178235093
1,3,2,t2,0.0,0.0014503025641934286,0.001473233687687908,-0.707215065202831
1,3,3,t3,0.0,0.001370375167668858,0.001391891797423131,-0.6989496277146764
1,3,4,t4,0.0,0.001295674344387182,0.001315872632922226,-0.6906184855354373
10,3,0,t0,0.0,0.0008088539217391832,0.0008336020105821911,-0.5706370041704242
10,3,1,t1,0.0,0.0007291060309867481,0.0007507050491755529,-0.554692874622885
10,3,2,t2,0.0,0.0006601255771744863,0.000678984886066514,-0.539340174289274
10,3,3,t3,0.0,0.0006004585965339038,0.0006169337315351695,-0.5246901817151638
10,3,4,t4,0.0,0.0005488464074641652,0.0005632462100321848,-0.5108404427833036
11,3,0,t0,0.0,0.007933273275680164,0.008375411192680565,-0.8689772397865481
11,3,1,t1,0.0,0.0064422875662134005,0.006806913363682322,-0.8466391139669205
11,3,2,t2,0.0,0.005224494030347027,0.005524235521660192,-0.8207666244427395
11,3,3,t3,0.0,0.004233743682308222,0.004479479848480254,-0.7911439625511019
11,3,4,t4,0.0,0.0034305779868549213,0.0036315891726854213,-0.7576921431400185
14,3,0,t0,0.0,0.0023180841081097414,0.002365619248530101,-0.7443007142658942
