dataset,seed,action,config_id,inner_fold,n_subjects,heldout_mean_safe_gain,heldout_harm_rate
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-0903d909f1e8,1,11,0.0030303030303030195,0.09090909090909091
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-0903d909f1e8,2,10,-2.2204460492503132e-17,0.0
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-210e5f3879e9,0,9,0.002777777777777768,0.0
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-210e5f3879e9,1,11,0.0030303030303030195,0.09090909090909091
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-210e5f3879e9,2,10,-2.2204460492503132e-17,0.0
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-7cd697259ffc,0,9,0.002777777777777768,0.0
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-7cd697259ffc,1,11,0.0030303030303030195,0.09090909090909091
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-7cd697259ffc,2,10,-2.2204460492503132e-17,0.0
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-84d05e4804c7,0,9,0.002777777777777768,0.0
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-84d05e4804c7,1,11,0.0030303030303030195,0.09090909090909091
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-84d05e4804c7,2,10,-2.2204460492503132e-17,0.0
