benchmark,family_id,expert_left,expert_right,correctness_correlation,correctness_disagreement,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB040__NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,0.6844576365770247,0.08166666666666667,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB042__NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,0.6397943716394876,0.09333333333333334,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB044__NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.6795939494958688,0.08166666666666667,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB046__NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,0.6637618976583689,0.08611111111111111,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB050__RAW_ENCODER_FINETUNE_BANK__FULL_LONG_RESIDUAL50,0.6359315838182213,0.09333333333333334,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB052__RAW_ENCODER_FINETUNE_BANK__FULL_SLOW_RESIDUAL50,0.605982024562446,0.10166666666666667,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB054__RAW_ENCODER_FINETUNE_BANK__HEAD_LONG_RESIDUAL50,0.6065498483609078,0.10111111111111111,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB056__RAW_ENCODER_FINETUNE_BANK__HEAD_SHORT_RESIDUAL50,0.6049146093448916,0.10166666666666667,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB058__RAW_ENCODER_FINETUNE_BANK__TAIL_FAST_RESIDUAL50,0.641885607434696,0.09111111111111111,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB060__RAW_ENCODER_FINETUNE_BANK__TAIL_SLOW_RESIDUAL50,0.6289240872973108,0.095,False
