task,dataset,fold,seed,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
OpenBMI_ERP,OpenBMI,2,0,23,LiteBN_XS,0.546969696969697,0.5511264444478342,0.7823232323232323,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,23,XS_FT,0.5581818181818182,0.5640135783504959,0.7888888888888889,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,30,LiteBN_BASELINE,0.9393939393939394,0.9030020051657937,0.9414141414141414,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,30,LiteBN_XS,0.9218181818181819,0.8957734665030523,0.9383838383838384,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,30,XS_FT,0.9263636363636364,0.9042259045004413,0.943939393939394,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,48,LiteBN_BASELINE,0.8078787878787879,0.7853396526644312,0.8717171717171717,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,48,LiteBN_XS,0.8063636363636364,0.7944816126634309,0.8813131313131313,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,48,XS_FT,0.8045454545454546,0.7927325200052473,0.8803030303030303,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,50,LiteBN_BASELINE,0.5118181818181818,0.5117733521630112,0.7277777777777777,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,50,LiteBN_XS,0.5154545454545455,0.5158256972510104,0.75,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,50,XS_FT,0.5112121212121212,0.5113910340725025,0.7429292929292929,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,52,LiteBN_BASELINE,0.8178787878787879,0.819814992320218,0.9005050505050505,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,52,LiteBN_XS,0.8,0.8066620472866776,0.8949494949494949,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,52,XS_FT,0.8015151515151515,0.8147646176911544,0.9015151515151515,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,8,LiteBN_BASELINE,0.7648484848484849,0.7585365853658537,0.8626262626262626,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,8,LiteBN_XS,0.766969696969697,0.7609209807527519,0.8641414141414141,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,8,XS_FT,0.7754545454545454,0.772473643978073,0.8722222222222222,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,3,0,10,LiteBN_BASELINE,0.7981818181818181,0.7699506499759268,0.8595959595959596,1980,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,10,LiteBN_XS,0.7554545454545454,0.7420139229336209,0.848989898989899,1980,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,10,XS_FT,0.7615151515151515,0.748356860003031,0.853030303030303,1980,cc5b06e4982cbcefe43c959b39074a4b0ebc2fb553a131d86832d18ebafbb5f8,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,16,LiteBN_BASELINE,0.8378787878787879,0.8143208700824169,0.8893939393939394,1980,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,16,LiteBN_XS,0.813939393939394,0.806474175035868,0.8898989898989899,1980,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,16,XS_FT,0.8063636363636364,0.8074809533881611,0.8934343434343435,1980,cc5b06e4982cbcefe43c959b39074a4b0ebc2fb553a131d86832d18ebafbb5f8,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,19,LiteBN_BASELINE,0.9566666666666667,0.9037905195973428,0.9398989898989899,1980,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,19,LiteBN_XS,0.9657575757575758,0.9201426671251485,0.951010101010101,1980,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,19,XS_FT,0.9663636363636363,0.927327954437589,0.956060606060606,1980,cc5b06e4982cbcefe43c959b39074a4b0ebc2fb553a131d86832d18ebafbb5f8,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,22,LiteBN_BASELINE,0.8918181818181818,0.7889731962179611,0.847979797979798,1980,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,22,LiteBN_XS,0.9184848484848485,0.8625648227092633,0.9126262626262627,1980,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,22,XS_FT,0.9181818181818182,0.8595328282828283,0.9101010101010101,1980,cc5b06e4982cbcefe43c959b39074a4b0ebc2fb553a131d86832d18ebafbb5f8,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,27,LiteBN_BASELINE,0.9609090909090909,0.9139084447989148,0.946969696969697,1980,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,27,LiteBN_XS,0.9639393939393939,0.9184961241792753,0.95,1980,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,27,XS_FT,0.9675757575757575,0.9303761779258506,0.9580808080808081,1980,cc5b06e4982cbcefe43c959b39074a4b0ebc2fb553a131d86832d18ebafbb5f8,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,34,LiteBN_BASELINE,0.8587878787878788,0.7597259301553988,0.8252525252525252,1980,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,34,LiteBN_XS,0.9112121212121211,0.8294946246546516,0.8843434343434343,1980,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,34,XS_FT,0.9151515151515152,0.8395557587312459,0.8929292929292929,1980,cc5b06e4982cbcefe43c959b39074a4b0ebc2fb553a131d86832d18ebafbb5f8,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,45,LiteBN_BASELINE,0.8309090909090909,0.7896319654301522,0.8676767676767677,1980,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,45,LiteBN_XS,0.7142424242424242,0.717121664303375,0.8449494949494949,1980,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,0,45,XS_FT,0.7024242424242424,0.7104510594046536,0.8454545454545455,1980,cc5b06e4982cbcefe43c959b39074a4b0ebc2fb553a131d86832d18ebafbb5f8,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
