block,dataset,task,subject_id,future_session,fold,seed_i,seed_j,family,fusion_rule,trials,trial_identity_sha256,label_sha256,class_order,BA_A,BA_B,macro_F1_A,macro_F1_B,ensemble_BA,ensemble_macro_F1,gain_over_best_pp,gain_over_mean_pp,exclusive_correct_fraction,correct_A,correct_B,ensemble_correct,orientation_count,orientation_BA_difference_pp,G_EE_pp,G_LL_pp,G_EL_pp,D_avg_pp,D_best_pp
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,Heterogeneous_B,PROB50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.5900000000000001,0.65,0.5710848415106182,0.6457131288591963,0.59,0.5805626598465473,-6.000000000000005,-3.0000000000000138,0.28,59,65,59,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,EEGNet_homogeneous,LOGIT50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6699999999999999,0.71,0.6673051718923279,0.7064480210547626,0.69,0.6846709388668497,-2.0000000000000018,0.0,0.14,67,71,69,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,LiteBN_homogeneous,LOGIT50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6399999999999999,0.74,0.6386993175431553,0.7395833333333333,0.7,0.6989160979526294,-4.0000000000000036,1.0000000000000009,0.22,64,74,70,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,Heterogeneous_A,LOGIT50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6699999999999999,0.74,0.6673051718923279,0.7395833333333333,0.69,0.6899689968996899,-5.000000000000004,-1.5000000000000013,0.27,67,74,69,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,Heterogeneous_B,LOGIT50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.71,0.6399999999999999,0.7064480210547626,0.6386993175431553,0.6699999999999999,0.6691729323308271,-4.0000000000000036,-0.5000000000000004,0.25,71,64,67,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,EEGNet_homogeneous,PROB50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6699999999999999,0.71,0.6673051718923279,0.7064480210547626,0.69,0.6846709388668497,-2.0000000000000018,0.0,0.14,67,71,69,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,LiteBN_homogeneous,PROB50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6399999999999999,0.74,0.6386993175431553,0.7395833333333333,0.7,0.6989160979526294,-4.0000000000000036,1.0000000000000009,0.22,64,74,70,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,Heterogeneous_A,PROB50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6699999999999999,0.74,0.6673051718923279,0.7395833333333333,0.69,0.6899689968996899,-5.000000000000004,-1.5000000000000013,0.27,67,74,69,,,,,,,
OpenBMI_MI,OpenBMI,MI,18,2,0,0,1,Heterogeneous_B,PROB50,100,ece394c167dd63c9759b0d5b3709793fef1b210c2657b3ae69f5dd5dc4c48a17,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.71,0.6399999999999999,0.7064480210547626,0.6386993175431553,0.6699999999999999,0.6691729323308271,-4.0000000000000036,-0.5000000000000004,0.25,71,64,67,,,,,,,
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,EEGNet_homogeneous,LOGIT50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.64,0.63,0.6179966044142615,0.5783475783475784,0.62,0.5824175824175825,-2.0000000000000018,-1.5000000000000013,0.17,64,63,62,,,,,,,
