dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_id,matched_subject,assigned_subject
OpenBMI,outcome,1,0,2,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.73,0.7175436761167486,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,14
OpenBMI,outcome,1,0,14,correct_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6736026111791106,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,14,wrong_adapter,pda_r1_lx0.5_lp0.01,0.65,0.612789025334661,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,34,
OpenBMI,outcome,1,0,14,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.65,0.612789025334661,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,34
OpenBMI,outcome,1,0,34,correct_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7159090909090908,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,34,wrong_adapter,pda_r1_lx0.5_lp0.01,0.76,0.7599039615846338,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,14,
OpenBMI,outcome,1,0,34,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7159090909090908,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,40
OpenBMI,outcome,1,0,40,correct_adapter,pda_r1_lx0.5_lp0.01,0.69,0.6846709388668497,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,40,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6715927750410509,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,43,
OpenBMI,outcome,1,0,40,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6715927750410509,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,43
OpenBMI,outcome,1,0,43,correct_adapter,pda_r1_lx0.5_lp0.01,0.78,0.7777777777777778,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,43,wrong_adapter,pda_r1_lx0.5_lp0.01,0.78,0.7785829307568438,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,40,
OpenBMI,outcome,1,0,43,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7241086587436333,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,44
OpenBMI,outcome,1,0,44,correct_adapter,pda_r1_lx0.5_lp0.01,0.8,0.7992773986350863,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,44,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6527777777777778,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,48,
OpenBMI,outcome,1,0,44,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6527777777777778,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,48
OpenBMI,outcome,1,0,48,correct_adapter,pda_r1_lx0.5_lp0.01,0.62,0.62,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,48,wrong_adapter,pda_r1_lx0.5_lp0.01,0.63,0.6093337556752191,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,44,
