dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,matched_subject,assigned_subject
OpenBMI,outcome,0,1,46,single_session,pda_r1_lx0.5_lp0.01,0.69,0.6656239887822242,False,False,,
OpenBMI,outcome,0,1,46,mean_pooled,pda_r1_lx0.5_lp0.01,0.72,0.7057587221521648,False,False,,
OpenBMI,outcome,0,1,46,no_crossfit,pda_r1_lx0.5_lp0.01,0.72,0.7159090909090908,False,False,,
OpenBMI,outcome,0,1,46,crossfit_mean,pda_r1_lx0.5_lp0.01,0.72,0.7057587221521648,False,False,,
OpenBMI,outcome,0,1,46,full_pda,pda_r1_lx0.5_lp0.01,0.73,0.7175436761167486,False,False,,
OpenBMI,outcome,0,1,46,correct_adapter,pda_r1_lx0.5_lp0.01,0.73,0.7175436761167486,False,False,,
OpenBMI,outcome,0,1,46,wrong_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7028862478777589,False,False,41,
OpenBMI,outcome,0,1,46,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.73,0.7175436761167486,False,False,,47
OpenBMI,outcome,0,1,47,population,pda_r1_lx0.5_lp0.01,0.8,0.7916666666666667,False,False,,
OpenBMI,outcome,0,1,47,intercept_only,pda_r1_lx0.5_lp0.01,0.81,0.8028841166096068,False,False,,
OpenBMI,outcome,0,1,47,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.8,0.7916666666666667,False,False,,
OpenBMI,outcome,0,1,47,single_session,pda_r1_lx0.5_lp0.01,0.77,0.757153415690001,False,False,,
OpenBMI,outcome,0,1,47,mean_pooled,pda_r1_lx0.5_lp0.01,0.8200000000000001,0.8139727159983464,False,False,,
OpenBMI,outcome,0,1,47,no_crossfit,pda_r1_lx0.5_lp0.01,0.88,0.8787878787878788,False,False,,
OpenBMI,outcome,0,1,47,crossfit_mean,pda_r1_lx0.5_lp0.01,0.8200000000000001,0.8139727159983464,False,False,,
