dataset,role,fold,seed,subject,recipe,persistent_norm,transient_norm,persistent_transient_ratio,transient_mean_norm,historical_crossfit_gain,n_historical_blocks,fisher_a_sum,fisher_c_sum,adapter_collapse,transient_zero_center_error
OpenBMI,outcome,3,2,35,pda_r1_lx0.5_lp0.01,0.44303831922785336,0.11751513897881799,3.7700531444523984,0.0,-0.49,2,156.77597148253489,19.083800288466236,False,0.0
OpenBMI,outcome,4,0,3,pda_r1_lx0.5_lp0.01,0.1157899938867265,0.060268944513159596,1.9212215316205514,0.0,-0.16999999999999998,2,6.312741909175099,16.96824968871134,False,0.0
OpenBMI,outcome,4,0,8,pda_r1_lx0.5_lp0.01,0.12222138818073941,0.07233147771546722,1.6897399588810533,0.0,-0.10999999999999999,2,3.463671320509569,15.630562618418011,False,0.0
OpenBMI,outcome,4,0,11,pda_r1_lx0.5_lp0.01,0.02602550885189058,0.09041958671891948,0.28783043360720184,0.0,-0.31000000000000005,2,14.186843904860808,18.557027485234862,False,0.0
OpenBMI,outcome,4,0,27,pda_r1_lx0.5_lp0.01,0.36753416816362955,0.07821907024936109,4.698779555828735,0.0,-0.36000000000000004,2,12.854269350176647,18.485751354257758,False,0.0
OpenBMI,outcome,4,0,28,pda_r1_lx0.5_lp0.01,0.06793527422496039,0.18057308840179243,0.37622037052275414,1.3877787807814457e-17,-0.11999999999999994,2,5.976034149465777,10.205142783652231,False,1.3877787807814457e-17
OpenBMI,outcome,4,0,30,pda_r1_lx0.5_lp0.01,0.084277131455397,0.028647025285576146,2.9419156305150738,0.0,-0.25,2,14.585318646980324,19.629018269676067,False,0.0
OpenBMI,outcome,4,0,38,pda_r1_lx0.5_lp0.01,0.08712861902746522,0.028839486334073974,3.0211571044704213,0.0,-0.22,2,16.674888008485365,21.008257783646663,False,0.0
OpenBMI,outcome,4,0,52,pda_r1_lx0.5_lp0.01,0.23584413158081757,0.07483521867451391,3.151512559969806,0.0,-0.27,2,5.65281945764612,14.607723251786105,False,0.0
OpenBMI,outcome,4,1,3,pda_r1_lx0.5_lp0.01,0.4898762701919834,0.08941027887813371,5.478970386164271,0.0,-0.5900000000000001,2,20.72204989101143,15.77517837498793,False,0.0
OpenBMI,outcome,4,1,8,pda_r1_lx0.5_lp0.01,0.5475864769432869,0.0014029831066117993,390.3015470127127,0.0,-0.22999999999999998,2,38.63491028246442,20.858283906373188,False,0.0
OpenBMI,outcome,4,1,11,pda_r1_lx0.5_lp0.01,0.24777033465982667,0.017605872152357538,14.0731644826041,0.0,-0.44000000000000006,2,27.491915550003256,20.432786348479368,False,0.0
OpenBMI,outcome,4,1,27,pda_r1_lx0.5_lp0.01,0.3224312510744425,0.05684193047374536,5.672419081955174,0.0,-0.47000000000000003,2,29.674094682479847,17.827401018936953,False,0.0
OpenBMI,outcome,4,1,28,pda_r1_lx0.5_lp0.01,0.09816524451968386,0.18790759675405605,0.5224123250757553,1.3877787807814457e-17,-0.15000000000000002,2,9.082676125226202,5.664315534799345,False,1.3877787807814457e-17
OpenBMI,outcome,4,1,30,pda_r1_lx0.5_lp0.01,0.4008659776833165,0.02382475775757656,16.825605605825576,0.0,-0.30999999999999994,2,33.43537460744089,25.84189195203362,False,0.0
OpenBMI,outcome,4,1,38,pda_r1_lx0.5_lp0.01,0.4408813002611253,0.07210430589138442,6.114493369165145,0.0,-0.43000000000000005,2,29.292800490027354,24.293113089299446,False,0.0
OpenBMI,outcome,4,1,52,pda_r1_lx0.5_lp0.01,0.44973157962327587,0.09659059648772178,4.656059657737428,0.0,-0.45999999999999996,2,22.35610527779781,18.909504413546394,False,0.0
OpenBMI,outcome,4,2,3,pda_r1_lx0.5_lp0.01,0.5161186946641622,0.03462693727921115,14.905121134522702,0.0,0.09000000000000002,2,99.77611384085785,33.45650418311449,False,0.0
OpenBMI,outcome,4,2,8,pda_r1_lx0.5_lp0.01,1.163866073134722,0.018410069929518103,63.21899251825313,0.0,-0.59,2,84.89596916280547,27.863843553151444,False,0.0
OpenBMI,outcome,4,2,11,pda_r1_lx0.5_lp0.01,0.49347282771690015,0.03133243958199025,15.749582040223455,0.0,-0.35000000000000003,2,61.09396485714538,29.49589144839907,False,0.0
OpenBMI,outcome,4,2,27,pda_r1_lx0.5_lp0.01,0.37590150481038037,0.011767088936901954,31.945157109464997,0.0,-0.31,2,83.3740662485651,28.718428311600785,False,0.0
OpenBMI,outcome,4,2,28,pda_r1_lx0.5_lp0.01,0.6167846605897315,0.07780225227065068,7.927593901062436,0.0,-0.12,2,74.77393048017416,22.38758567141327,False,0.0
