subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,task,model,fold,seed,protected_rank,checkpoint_sha256
sub-09,0.645,0.565,0.6353,8.000000000000007,0.9700000000000042,7.030000000000003,BNCI2015_001,SIRE-EEG,4,1,3,962cae1415cff1e5ef03cd9fe1fb114c245fb5a620f4a9c49064613c04a07937
sub-03,0.74,0.6,0.7245999999999999,14.000000000000002,1.540000000000008,12.459999999999994,BNCI2015_001,EEGNet,0,2,3,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b
sub-08,0.54,0.6,0.5386,-5.999999999999995,0.14000000000000679,-6.140000000000001,BNCI2015_001,EEGNet,0,2,3,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b
sub-10,0.5700000000000001,0.585,0.56915,-1.4999999999999902,0.08500000000000174,-1.584999999999992,BNCI2015_001,EEGNet,0,2,3,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b
sub-03,0.71,0.595,0.6960999999999999,11.5,1.3900000000000023,10.109999999999996,BNCI2015_001,SIRE-EEG,0,2,5,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3
sub-08,0.55,0.535,0.5533500000000001,1.5000000000000013,-0.3350000000000075,1.8350000000000088,BNCI2015_001,SIRE-EEG,0,2,5,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3
sub-10,0.615,0.59,0.5806000000000001,2.500000000000002,3.4399999999999875,-0.9399999999999853,BNCI2015_001,SIRE-EEG,0,2,5,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3
sub-05,0.525,0.5549999999999999,0.5278,-2.9999999999999916,-0.28000000000000247,-2.719999999999989,BNCI2015_001,EEGNet,1,2,5,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529
sub-06,0.645,0.6699999999999999,0.63635,-2.499999999999991,0.8650000000000047,-3.3649999999999958,BNCI2015_001,EEGNet,1,2,5,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529
sub-12,0.535,0.56,0.55035,-2.500000000000002,-1.5349999999999975,-0.9650000000000047,BNCI2015_001,EEGNet,1,2,5,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529
sub-05,0.505,0.465,0.5347,3.9999999999999982,-2.969999999999995,6.969999999999993,BNCI2015_001,SIRE-EEG,1,2,4,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8
sub-06,0.6499999999999999,0.5900000000000001,0.6549,5.999999999999983,-0.49000000000001265,6.489999999999996,BNCI2015_001,SIRE-EEG,1,2,4,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8
sub-12,0.575,0.5700000000000001,0.5645,0.49999999999998934,1.0499999999999954,-0.550000000000006,BNCI2015_001,SIRE-EEG,1,2,4,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8
sub-01,0.815,0.7050000000000001,0.79195,10.999999999999988,2.3049999999999904,8.694999999999997,BNCI2015_001,EEGNet,2,2,2,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d
sub-04,0.745,0.66,0.72055,8.499999999999996,2.444999999999997,6.055,BNCI2015_001,EEGNet,2,2,2,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d
sub-01,0.7,0.685,0.6883,1.4999999999999902,1.1699999999999933,0.32999999999999696,BNCI2015_001,SIRE-EEG,2,2,4,59983710255efc4c0e2cb55a8c6963e06f063b3f184055843de78fa601846600
sub-04,0.64,0.59,0.6322500000000001,5.000000000000004,0.7749999999999924,4.225000000000012,BNCI2015_001,SIRE-EEG,2,2,4,59983710255efc4c0e2cb55a8c6963e06f063b3f184055843de78fa601846600
sub-07,0.635,0.5249999999999999,0.57475,11.00000000000001,6.025000000000002,4.975000000000007,BNCI2015_001,EEGNet,3,2,5,41eb16ebd361e29e6438192b0b6c182915a413c1f9fdf9fa7eb5930ae353eecd
sub-11,0.525,0.5700000000000001,0.5298,-4.5000000000000036,-0.48000000000000265,-4.020000000000001,BNCI2015_001,EEGNet,3,2,5,41eb16ebd361e29e6438192b0b6c182915a413c1f9fdf9fa7eb5930ae353eecd
sub-07,0.51,0.585,0.5193000000000001,-7.499999999999996,-0.9300000000000086,-6.569999999999987,BNCI2015_001,SIRE-EEG,3,2,2,edf87410393ce2b067bdd898ac8c634aed236f1db0b132f8b02447b4903058e3
sub-11,0.525,0.54,0.5222000000000001,-1.5000000000000013,0.27999999999999137,-1.7799999999999927,BNCI2015_001,SIRE-EEG,3,2,2,edf87410393ce2b067bdd898ac8c634aed236f1db0b132f8b02447b4903058e3
sub-02,0.8049999999999999,0.5800000000000001,0.7604,22.499999999999986,4.459999999999997,18.03999999999999,BNCI2015_001,EEGNet,4,2,6,8997179aa53f9c2c791b6df3d7d09e5403680763962043663bdd0c244de4b89f
sub-09,0.665,0.595,0.6379,7.000000000000006,2.7100000000000013,4.2900000000000045,BNCI2015_001,EEGNet,4,2,6,8997179aa53f9c2c791b6df3d7d09e5403680763962043663bdd0c244de4b89f
sub-02,0.8049999999999999,0.74,0.79275,6.499999999999995,1.2249999999999983,5.274999999999997,BNCI2015_001,SIRE-EEG,4,2,3,92d41f924db03da467b0dbe1e06310fdd06db1adfd9e285b702357e81a8c8d44
sub-09,0.6499999999999999,0.5549999999999999,0.6120500000000001,9.499999999999996,3.7949999999999817,5.705000000000016,BNCI2015_001,SIRE-EEG,4,2,3,92d41f924db03da467b0dbe1e06310fdd06db1adfd9e285b702357e81a8c8d44
