dataset,fold,pair,model_a,model_b,historical,competence_eligible,EEGNet_or_component_A_BA,component_B_BA,LOGIT50_BA,PROB50_BA,G_test,G_prob,LOGIT50_macro_F1,PROB50_macro_F1
WBCIC,1,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.8125,0.7866666666666667,0.8233333333333333,0.8233333333333333,0.01083333333333325,0.01083333333333325,0.8210898646526102,0.8210898646526102
WBCIC,1,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.8125,0.7758333333333334,0.8191666666666667,0.8191666666666667,0.00666666666666671,0.00666666666666671,0.8175436150001708,0.8175436150001708
WBCIC,1,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.8125,0.7758333333333333,0.8175,0.8175,0.0050000000000000044,0.0050000000000000044,0.816244478475265,0.816244478475265
WBCIC,1,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.7733333333333333,0.7783333333333333,0.7816666666666666,0.7816666666666666,0.0033333333333332993,0.0033333333333332993,0.762203106571973,0.762203106571973
WBCIC,1,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.7733333333333333,0.7866666666666667,0.7908333333333334,0.7908333333333334,0.004166666666666652,0.004166666666666652,0.7715540534691409,0.7715540534691409
WBCIC,1,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.7733333333333333,0.7758333333333334,0.7966666666666667,0.7966666666666667,0.02083333333333337,0.02083333333333337,0.7758749991132898,0.7758749991132898
WBCIC,1,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.7733333333333333,0.7758333333333333,0.7949999999999999,0.7949999999999999,0.019166666666666665,0.019166666666666665,0.7752552667492131,0.7752552667492131
WBCIC,1,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.7783333333333333,0.7866666666666667,0.7933333333333333,0.7933333333333333,0.006666666666666599,0.006666666666666599,0.7834377833068761,0.7834377833068761
WBCIC,1,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.7783333333333333,0.7758333333333334,0.7883333333333334,0.7883333333333334,0.01000000000000012,0.01000000000000012,0.7761054171158711,0.7761054171158711
WBCIC,1,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.7783333333333333,0.7758333333333333,0.7883333333333334,0.7883333333333334,0.01000000000000012,0.01000000000000012,0.7773006348829532,0.7773006348829532
WBCIC,1,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.7866666666666667,0.7758333333333334,0.7966666666666667,0.7966666666666667,0.010000000000000009,0.010000000000000009,0.7883474762899562,0.7883474762899562
WBCIC,1,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.7866666666666667,0.7758333333333333,0.8075,0.8075,0.02083333333333326,0.02083333333333326,0.8020921283580922,0.8020921283580922
WBCIC,1,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.7758333333333334,0.7758333333333333,0.7958333333333334,0.7958333333333334,0.020000000000000018,0.020000000000000018,0.790314519039745,0.790314519039745
WBCIC,2,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.7491666666666666,0.7558333333333334,0.7566666666666667,0.7566666666666667,0.0008333333333333526,0.0008333333333333526,0.7556823857320505,0.7556823857320505
WBCIC,2,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.7491666666666666,0.7733333333333333,0.7766666666666667,0.7766666666666667,0.0033333333333334103,0.0033333333333334103,0.7744134980646614,0.7744134980646614
WBCIC,2,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.7491666666666666,0.725,0.7441666666666666,0.7441666666666666,-0.0050000000000000044,-0.0050000000000000044,0.7352743227261019,0.7352743227261019
WBCIC,2,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.7491666666666666,0.7349999999999999,0.7391666666666666,0.7391666666666666,-0.010000000000000009,-0.010000000000000009,0.7381074469249067,0.7381074469249067
WBCIC,2,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.7491666666666666,0.7075,0.7558333333333334,0.7558333333333334,0.00666666666666671,0.00666666666666671,0.7543441635116817,0.7543441635116817
WBCIC,2,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.7558333333333334,0.7733333333333333,0.7716666666666668,0.7716666666666668,-0.0016666666666664831,-0.0016666666666664831,0.7704019742455804,0.7704019742455804
WBCIC,2,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.7558333333333334,0.725,0.7583333333333334,0.7583333333333334,0.0025000000000000577,0.0025000000000000577,0.7544625578823233,0.7544625578823233
WBCIC,2,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.7558333333333334,0.7349999999999999,0.7533333333333333,0.7533333333333333,-0.0025000000000000577,-0.0025000000000000577,0.7525564815932606,0.7525564815932606
WBCIC,2,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.7558333333333334,0.7075,0.7558333333333334,0.7558333333333334,0.0,0.0,0.7545302891232469,0.7545302891232469
WBCIC,2,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.7733333333333333,0.725,0.7516666666666668,0.7516666666666668,-0.0216666666666665,-0.0216666666666665,0.7468627329888923,0.7468627329888923
WBCIC,2,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.7733333333333333,0.7349999999999999,0.7525000000000001,0.7525000000000001,-0.02083333333333326,-0.02083333333333326,0.7519163617488115,0.7519163617488115
WBCIC,2,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.7733333333333333,0.7075,0.7583333333333334,0.7583333333333334,-0.014999999999999902,-0.014999999999999902,0.7569347531255719,0.7569347531255719
WBCIC,2,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.725,0.7349999999999999,0.7433333333333333,0.7433333333333333,0.008333333333333415,0.008333333333333415,0.7401731355475428,0.7401731355475428
WBCIC,2,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.725,0.7075,0.7433333333333333,0.7433333333333333,0.018333333333333313,0.018333333333333313,0.7393930578724787,0.7393930578724787
WBCIC,2,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.7349999999999999,0.7075,0.7308333333333333,0.7308333333333333,-0.004166666666666541,-0.004166666666666541,0.7290547419062726,0.7290547419062726
WBCIC,3,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.8146811868686868,0.8405408249158248,0.8405839646464647,0.8405839646464647,4.313973063985177e-05,4.313973063985177e-05,0.8400564397669757,0.8400564397669757
WBCIC,3,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.8146811868686868,0.7349589646464646,0.8238383838383839,0.8238383838383839,0.009157196969697079,0.009157196969697079,0.8236154828749068,0.8236154828749068
WBCIC,3,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.8146811868686868,0.5,0.8096727693602693,0.8096727693602693,-0.0050084175084175175,-0.0050084175084175175,0.8081691054067538,0.8081691054067538
WBCIC,3,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.8146811868686868,0.7929629629629629,0.8316424663299663,0.8316424663299663,0.016961279461279455,0.016961279461279455,0.8311927185511069,0.8311927185511069
WBCIC,3,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.8146811868686868,0.5,0.8196632996632998,0.8196632996632998,0.004982112794612914,0.004982112794612914,0.8194538465153055,0.8194538465153055
WBCIC,3,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.8405408249158248,0.7349589646464646,0.8313909932659932,0.8313909932659932,-0.00914983164983163,-0.00914983164983163,0.8305318849595094,0.8305318849595094
WBCIC,3,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.8405408249158248,0.5,0.8355324074074074,0.8355324074074074,-0.0050084175084174065,-0.0050084175084174065,0.8349357735257112,0.8349357735257112
WBCIC,3,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.8405408249158248,0.7929629629629629,0.8359217171717171,0.8359217171717171,-0.0046191077441076756,-0.0046191077441076756,0.8354529628089603,0.8354529628089603
WBCIC,3,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.8405408249158248,0.5,0.834715909090909,0.834715909090909,-0.005824915824915844,-0.005824915824915844,0.8338467110286257,0.8338467110286257
