model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,consistent_0,consistent_1,effect_cosine,layer_name,logit_0,logit_1,margin_0,margin_1,output_P_evidence_cosine,output_P_evidence_normalized_rms,qP_0,qP_1,random_effect_cosine,random_qP_0,random_qP_1,subject_id
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.75,0.9595004686133699,embedding_64d,0.6795841827988625,0.4581782277673483,0.6204953491687775,0.27930279076099396,0.9846131801605225,0.22106526792049408,1.3270097970962524,1.550134964287281,0.9056934841579819,0.5037029547942802,0.5452532462030649,38
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,0.5,0.6069743443550621,embedding_64d,0.4722711145877838,0.47917475551366806,0.6276396811008453,-0.5589185506105423,0.8098069429397583,0.6938744783401489,1.0782198309898376,1.1253076791763306,0.8144579159152842,0.42986457704333586,0.45847020227462054,47
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.25,0.5265726358098696,temporal_bn,1.3853328824043274,2.0863215923309326,-0.06358262896537781,3.4211528301239014,0.9568389654159546,0.2916224002838135,1.3967329487204552,1.1877691894769669,0.6948236687476066,0.7570129624987021,0.600234456283506,2
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5,0.75,0.47644971015101095,temporal_bn,2.105439990758896,1.8051801472902298,0.9018144309520721,-2.0063305646181107,0.9986734986305237,0.47396963834762573,1.2711607590317726,1.4342672154307365,0.6418949300949415,0.6752071094408165,0.6967666592914611,14
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.25,0.75,0.42619299088376794,temporal_bn,2.8003846928477287,1.0129578337073326,3.8915231227874756,-0.2868258059024811,0.9108534455299377,0.5347137451171875,1.3857553899288177,0.6930949501693249,0.7576832061317487,0.8517930297669954,0.4576702040794771,26
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5,0.75,0.6376688141542399,temporal_bn,1.528486005961895,1.0295021682977676,-0.00716651976108551,-1.6175497174263,0.9997131824493408,0.05496321618556976,0.865969080477953,0.9213370867073536,0.6936695653453233,0.5150769983476493,0.6315725666284561,28
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.375,0.875,0.7340703685993538,temporal_bn,2.0418491885066032,1.5237732604146004,1.6873079985380173,-0.261910542845726,0.8491942286491394,0.5304920673370361,1.3579836636781693,0.9779302552342415,0.5213953312936268,0.7167760174651631,0.5141325476963539,31
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.75,0.9988904028662575,temporal_bn,1.5448937267065048,1.742391461506486,2.5470479130744934,3.1121714413166046,0.9732256531715393,0.33375319838523865,0.8815744668245316,0.9284389801323414,0.8818411521764353,0.39816722137271426,0.4182887284120079,35
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.625,0.375,0.9952559176336745,temporal_bn,1.9650173746049404,2.2649611718952656,3.730232261121273,3.4421348869800568,0.9621787071228027,0.30414825677871704,1.1846171580255032,1.286328747868538,0.9171932275432154,0.6335710701835342,0.8813542592246085,40
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.625,0.375,0.8337940559747083,temporal_bn,1.5718820914626122,1.8355526700615883,0.6424054652452469,2.771139904856682,0.9992953538894653,0.30196088552474976,1.0602287948131561,1.1233380883932114,0.5826986817490419,0.49863227204419674,0.6072426637879107,43
