version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds,fold,seed
V0,V0__lg1__ld0.1__lr0.0003__b8,stage2,1,"['33', '53', '20', '27', '34', '47', '36']",27,7,0.8735714285714286,0.87,0.0035714285714285,0,0,15.88177728652954,1,0
V0,V0__lg1__ld0.1__lr0.0003__b8,stage2,2,"['46', '54', '24', '30', '15', '29', '28']",27,7,0.8171428571428572,0.8157142857142857,0.0014285714285714,0,0,14.016553163528442,1,0
V0,V0__lg1__ld0.1__lr0.0003__b8,stage2,3,"['39', '18', '31', '49', '12', '13', '37']",27,7,0.8557142857142856,0.8564285714285714,-0.0007142857142857,3,0,22.91680860519409,1,0
V0,V0__lg1__ld0.1__lr0.0003__b8,stage2,4,"['32', '26', '23', '4', '14', '21']",28,6,0.8625,0.8574999999999999,0.0050000000000001,7,0,33.64780402183533,1,0
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8049999999999999,0.8035714285714286,0.0014285714285713,1,1,19.661645889282227,1,1
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714,1,0,18.255239009857178,1,1
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,2,"['20', '41', '36', '46', '37', '32', '49']",27,7,0.8528571428571429,0.8507142857142858,0.0021428571428571,11,7,43.41073322296143,1,1
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,3,"['8', '14', '31', '18', '33', '47', '39']",27,7,0.8642857142857143,0.8642857142857143,0.0,9,13,48.10565781593323,1,1
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,4,"['15', '53', '26', '9', '24', '27']",28,6,0.7908333333333333,0.7975,-0.0066666666666667,9,11,41.77564978599548,1,1
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8042857142857143,0.8035714285714286,0.0007142857142856,1,1,13.439158201217651,1,1
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714,1,0,13.204361200332642,1,1
