task,fold,epoch,attempts,exposure,successful_cumulative,AMP_scale
OpenBMI_ERP,0,55,805,51480,44256,16384.0
OpenBMI_ERP,0,56,805,51480,45060,8192.0
OpenBMI_ERP,0,57,805,51480,45865,8192.0
OpenBMI_ERP,0,58,805,51480,46670,8192.0
OpenBMI_ERP,0,59,805,51480,47475,16384.0
OpenBMI_ERP,0,60,805,51480,48279,8192.0
OpenBMI_ERP,1,1,805,51480,805,65536.0
OpenBMI_ERP,1,2,805,51480,1610,65536.0
OpenBMI_ERP,1,3,805,51480,2414,65536.0
OpenBMI_ERP,1,4,805,51480,3218,32768.0
OpenBMI_ERP,1,5,805,51480,4023,32768.0
OpenBMI_ERP,1,6,805,51480,4827,32768.0
OpenBMI_ERP,1,7,805,51480,5632,32768.0
OpenBMI_ERP,1,8,805,51480,6437,32768.0
OpenBMI_ERP,1,9,805,51480,7241,32768.0
OpenBMI_ERP,1,10,805,51480,8046,32768.0
OpenBMI_ERP,1,11,805,51480,8850,16384.0
OpenBMI_ERP,1,12,805,51480,9655,16384.0
OpenBMI_ERP,1,13,805,51480,10460,32768.0
OpenBMI_ERP,1,14,805,51480,11265,32768.0
OpenBMI_ERP,1,15,805,51480,12069,16384.0
OpenBMI_ERP,1,16,805,51480,12874,16384.0
OpenBMI_ERP,1,17,805,51480,13679,32768.0
OpenBMI_ERP,1,18,805,51480,14483,16384.0
OpenBMI_ERP,1,19,805,51480,15288,16384.0
OpenBMI_ERP,1,20,805,51480,16093,32768.0
OpenBMI_ERP,1,21,805,51480,16897,16384.0
OpenBMI_ERP,1,22,805,51480,17702,16384.0
OpenBMI_ERP,1,23,805,51480,18507,32768.0
OpenBMI_ERP,1,24,805,51480,19311,16384.0
OpenBMI_ERP,1,25,805,51480,20116,16384.0
OpenBMI_ERP,1,26,805,51480,20920,16384.0
OpenBMI_ERP,1,27,805,51480,21725,16384.0
OpenBMI_ERP,1,28,805,51480,22530,16384.0
OpenBMI_ERP,1,29,805,51480,23334,16384.0
OpenBMI_ERP,1,30,805,51480,24139,16384.0
OpenBMI_ERP,1,31,805,51480,24943,16384.0
OpenBMI_ERP,1,32,805,51480,25748,16384.0
OpenBMI_ERP,1,33,805,51480,26552,8192.0
OpenBMI_ERP,1,34,805,51480,27357,8192.0
OpenBMI_ERP,1,35,805,51480,28162,16384.0
OpenBMI_ERP,1,36,805,51480,28967,16384.0
OpenBMI_ERP,1,37,805,51480,29771,8192.0
OpenBMI_ERP,1,38,805,51480,30576,8192.0
OpenBMI_ERP,1,39,805,51480,31381,16384.0
OpenBMI_ERP,1,40,805,51480,32186,16384.0
OpenBMI_ERP,1,41,805,51480,32991,16384.0
OpenBMI_ERP,1,42,805,51480,33795,16384.0
OpenBMI_ERP,1,43,805,51480,34599,8192.0
OpenBMI_ERP,1,44,805,51480,35404,8192.0
OpenBMI_ERP,1,45,805,51480,36209,8192.0
OpenBMI_ERP,1,46,805,51480,37014,16384.0
OpenBMI_ERP,1,47,805,51480,37819,16384.0
OpenBMI_ERP,1,48,805,51480,38624,32768.0
OpenBMI_ERP,1,49,805,51480,39427,8192.0
OpenBMI_ERP,1,50,805,51480,40232,8192.0
OpenBMI_ERP,1,51,805,51480,41037,8192.0
OpenBMI_ERP,1,52,805,51480,41842,16384.0
OpenBMI_ERP,1,53,805,51480,42647,16384.0
OpenBMI_ERP,1,54,805,51480,43451,8192.0
OpenBMI_ERP,1,55,805,51480,44256,8192.0
OpenBMI_ERP,1,56,805,51480,45061,16384.0
OpenBMI_ERP,1,57,805,51480,45866,16384.0
OpenBMI_ERP,1,58,805,51480,46671,16384.0
OpenBMI_ERP,1,59,805,51480,47475,16384.0
OpenBMI_ERP,1,60,805,51480,48280,16384.0
OpenBMI_ERP,2,1,805,51480,805,65536.0
OpenBMI_ERP,2,2,805,51480,1609,32768.0
OpenBMI_ERP,2,3,805,51480,2414,32768.0
OpenBMI_ERP,2,4,805,51480,3219,65536.0
OpenBMI_ERP,2,5,805,51480,4023,32768.0
OpenBMI_ERP,2,6,805,51480,4828,32768.0
OpenBMI_ERP,2,7,805,51480,5632,32768.0
OpenBMI_ERP,2,8,805,51480,6437,32768.0
OpenBMI_ERP,2,9,805,51480,7242,32768.0
OpenBMI_ERP,2,10,805,51480,8045,16384.0
OpenBMI_ERP,2,11,805,51480,8850,16384.0
OpenBMI_ERP,2,12,805,51480,9655,16384.0
OpenBMI_ERP,2,13,805,51480,10460,32768.0
OpenBMI_ERP,2,14,805,51480,11264,16384.0
OpenBMI_ERP,2,15,805,51480,12069,16384.0
OpenBMI_ERP,2,16,805,51480,12873,16384.0
OpenBMI_ERP,2,17,805,51480,13678,16384.0
OpenBMI_ERP,2,18,805,51480,14482,8192.0
OpenBMI_ERP,2,19,805,51480,15287,8192.0
OpenBMI_ERP,2,20,805,51480,16092,16384.0
OpenBMI_ERP,2,21,805,51480,16897,16384.0
OpenBMI_ERP,2,22,805,51480,17702,16384.0
OpenBMI_ERP,2,23,805,51480,18506,16384.0
OpenBMI_ERP,2,24,805,51480,19311,16384.0
OpenBMI_ERP,2,25,805,51480,20116,32768.0
OpenBMI_ERP,2,26,805,51480,20920,16384.0
OpenBMI_ERP,2,27,805,51480,21725,16384.0
OpenBMI_ERP,2,28,805,51480,22530,16384.0
OpenBMI_ERP,2,29,805,51480,23333,8192.0
OpenBMI_ERP,2,30,805,51480,24138,8192.0
OpenBMI_ERP,2,31,805,51480,24943,16384.0
OpenBMI_ERP,2,32,805,51480,25748,16384.0
OpenBMI_ERP,2,33,805,51480,26553,16384.0
OpenBMI_ERP,2,34,805,51480,27357,16384.0
OpenBMI_ERP,2,35,805,51480,28162,16384.0
OpenBMI_ERP,2,36,805,51480,28967,32768.0
OpenBMI_ERP,2,37,805,51480,29771,16384.0
OpenBMI_ERP,2,38,805,51480,30575,8192.0
OpenBMI_ERP,2,39,805,51480,31380,8192.0
OpenBMI_ERP,2,40,805,51480,32185,8192.0
OpenBMI_ERP,2,41,805,51480,32989,8192.0
OpenBMI_ERP,2,42,805,51480,33794,8192.0
OpenBMI_ERP,2,43,805,51480,34598,8192.0
OpenBMI_ERP,2,44,805,51480,35403,8192.0
OpenBMI_ERP,2,45,805,51480,36208,8192.0
OpenBMI_ERP,2,46,805,51480,37013,16384.0
OpenBMI_ERP,2,47,805,51480,37818,16384.0
OpenBMI_ERP,2,48,805,51480,38622,8192.0
OpenBMI_ERP,2,49,805,51480,39427,8192.0
OpenBMI_ERP,2,50,805,51480,40232,16384.0
OpenBMI_ERP,2,51,805,51480,41037,16384.0
OpenBMI_ERP,2,52,805,51480,41841,8192.0
OpenBMI_ERP,2,53,805,51480,42646,8192.0
OpenBMI_ERP,2,54,805,51480,43450,8192.0
OpenBMI_ERP,2,55,805,51480,44255,8192.0
OpenBMI_ERP,2,56,805,51480,45060,8192.0
OpenBMI_ERP,2,57,805,51480,45864,8192.0
OpenBMI_ERP,2,58,805,51480,46669,8192.0
OpenBMI_ERP,2,59,805,51480,47474,16384.0
OpenBMI_ERP,2,60,805,51480,48278,8192.0
OpenBMI_ERP,3,1,805,51480,805,65536.0
OpenBMI_ERP,3,2,805,51480,1609,32768.0
OpenBMI_ERP,3,3,805,51480,2414,32768.0
OpenBMI_ERP,3,4,805,51480,3219,65536.0
OpenBMI_ERP,3,5,805,51480,4022,16384.0
OpenBMI_ERP,3,6,805,51480,4827,16384.0
OpenBMI_ERP,3,7,805,51480,5632,16384.0
OpenBMI_ERP,3,8,805,51480,6437,32768.0
OpenBMI_ERP,3,9,805,51480,7242,32768.0
OpenBMI_ERP,3,10,805,51480,8046,32768.0
OpenBMI_ERP,3,11,805,51480,8851,32768.0
OpenBMI_ERP,3,12,805,51480,9656,32768.0
OpenBMI_ERP,3,13,805,51480,10460,32768.0
OpenBMI_ERP,3,14,805,51480,11265,32768.0
OpenBMI_ERP,3,15,805,51480,12069,32768.0
OpenBMI_ERP,3,16,805,51480,12874,32768.0
OpenBMI_ERP,3,17,805,51480,13679,32768.0
OpenBMI_ERP,3,18,805,51480,14483,32768.0
OpenBMI_ERP,3,19,805,51480,15287,16384.0
OpenBMI_ERP,3,20,805,51480,16092,16384.0
OpenBMI_ERP,3,21,805,51480,16897,16384.0
OpenBMI_ERP,3,22,805,51480,17702,32768.0
OpenBMI_ERP,3,23,805,51480,18507,32768.0
OpenBMI_ERP,3,24,805,51480,19310,16384.0
OpenBMI_ERP,3,25,805,51480,20115,16384.0
OpenBMI_ERP,3,26,805,51480,20920,16384.0
OpenBMI_ERP,3,27,805,51480,21724,16384.0
OpenBMI_ERP,3,28,805,51480,22529,16384.0
OpenBMI_ERP,3,29,805,51480,23333,8192.0
OpenBMI_ERP,3,30,805,51480,24138,8192.0
OpenBMI_ERP,3,31,805,51480,24943,16384.0
OpenBMI_ERP,3,32,805,51480,25748,16384.0
OpenBMI_ERP,3,33,805,51480,26553,16384.0
OpenBMI_ERP,3,34,805,51480,27357,16384.0
