dataset,fold,subject_id,protected_rank,align_protected,novelty_protected,direction_strength_protected,novelty_nonprotected_descriptor,novelty_pca_descriptor,novelty_full_latent_descriptor,BA,difficulty,NLL,accuracy,macro_F1,trials
OpenBMI,2,5,3,0.9278270299183402,0.0721729700816597,1.485371495267695,0.6284434307266141,0.0069550549545333,0.1188569145556848,0.75,0.25,0.5143999101752686,0.75,0.7401764234161989,36
OpenBMI,2,6,3,0.947874143052958,0.0521258569470419,2.1984906392853185,0.2909096203083736,0.0030646038083599,0.0399050047833677,0.9444444444444444,0.05555555555555558,0.18127330990678425,0.9444444444444444,0.9444444444444444,36
OpenBMI,2,9,3,0.7203170047683631,0.2796829952316368,0.5297340587026829,0.6726123101292117,0.0513922034786178,0.3219540526312905,0.5277777777777778,0.4722222222222222,0.8832069708313376,0.5277777777777778,0.5244755244755245,36
OpenBMI,2,14,3,0.9511961279049932,0.0488038720950069,0.9361781141227428,0.628553059804032,0.0076604272007021,0.1231470836250914,0.75,0.25,0.5721536833671763,0.75,0.7482517482517483,36
OpenBMI,2,16,3,0.9515735510769098,0.0484264489230902,1.2986298051901897,0.4113787075061412,0.0182339766948353,0.1098652746999085,0.8055555555555556,0.19444444444444442,0.4260873330078631,0.8055555555555556,0.8054054054054054,36
OpenBMI,2,17,3,0.940811320541,0.0591886794589999,0.7493803800825436,0.7280857696397892,0.0047285865432042,0.2619329056789925,0.6666666666666666,0.33333333333333337,0.7766408324414198,0.6666666666666666,0.6493506493506493,36
OpenBMI,2,25,3,0.9831143385743376,0.0168856614256622,2.3381559097830413,0.4238172531472688,0.0083265662074267,0.0398822824611762,1.0,0.0,0.08038488124933313,1.0,1.0,36
OpenBMI,2,30,3,0.9716570932387356,0.0283429067612644,0.4997959133869396,0.6343692645481412,0.0627645482091858,0.2462160292556541,0.6111111111111112,0.38888888888888884,0.6932555643810123,0.6111111111111112,0.609907120743034,36
OpenBMI,2,49,3,0.9010222208176388,0.098977779182361,1.0187400007699654,0.5476673585095192,0.0062020356751983,0.0948736442439042,0.7777777777777777,0.22222222222222232,0.48014385022004546,0.7777777777777778,0.775,36
OpenBMI,3,16,4,0.9328058825892565,0.0671941174107435,1.0274996039666515,0.7145719212826391,0.0577331053230374,0.1864842770313504,0.8888888888888888,0.11111111111111116,0.25718455545886443,0.8888888888888888,0.8888888888888888,36
OpenBMI,3,22,4,0.8326448605956178,0.1673551394043821,0.7987583983483861,0.5229261347209768,0.0543192236557433,0.1770782126000993,0.8055555555555556,0.19444444444444442,0.4982370704390731,0.8055555555555556,0.8041958041958042,36
OpenBMI,3,23,4,0.669901587374168,0.3300984126258319,1.1300426735039355,0.7086366722738606,0.1460538350079111,0.2768681919101783,0.75,0.25,0.5393954706674914,0.75,0.7450826121164438,36
OpenBMI,3,31,4,0.9157081747246236,0.0842918252753762,1.5743539157694495,0.4773450218734194,0.0377887306402864,0.1044207904137161,0.8333333333333333,0.16666666666666674,0.29216362891796366,0.8333333333333334,0.8285714285714285,36
OpenBMI,3,35,4,0.8681833127220635,0.1318166872779365,2.8355011937613703,0.8879443792855622,0.093896833829551,0.1604446721794175,0.8888888888888888,0.11111111111111116,0.3698070310233519,0.8888888888888888,0.8875,36
OpenBMI,3,36,4,0.9627869756661388,0.037213024333861,2.4126956009648186,0.3378152542589723,0.0090356044290189,0.0472314086721923,0.9722222222222222,0.02777777777777779,0.048712899506014096,0.9722222222222222,0.9722007722007722,36
OpenBMI,3,43,4,0.979344586417507,0.020655413582493,1.3241869715810513,0.2840410242263543,0.0119850163589986,0.0496219721710031,0.8611111111111112,0.13888888888888884,0.3205861932928124,0.8611111111111112,0.8583792289535799,36
OpenBMI,3,51,4,0.8897990789342272,0.1102009210657728,1.1401907988638165,0.6442308327293705,0.0589226876561967,0.1408727839917484,0.8888888888888888,0.11111111111111116,0.3235497491358366,0.8888888888888888,0.8885448916408669,36
OpenBMI,3,52,4,0.924296829944688,0.0757031700553121,1.142356999570087,0.729245977282742,0.0175329166064515,0.1384907592695843,0.8888888888888888,0.11111111111111116,0.2740437830362126,0.8888888888888888,0.8885448916408669,36
OpenBMI,4,9,4,0.8261988660554375,0.1738011339445625,0.9802391925199426,0.6024440619707119,0.0620900370255828,0.1693981047704531,0.75,0.25,0.4981020868657451,0.75,0.7482517482517483,36
