pair_id,dataset,outer_fold,meta_fold,draw,draw_seed,alpha_inner,lambda_meta,mu_harm,gA_norm,gB_future_norm,g_harm_norm,g_combined_norm,g_AB_mean_norm,gB_future_over_gA,half_g_harm_over_gA,g_combined_over_gA,g_AB_mean_over_gA,cos_A_B_future,cos_A_harm,cos_B_future_harm,active_harm_fraction,clip_threshold,clip_triggered,clip_post_norm,future_loss_mean,baseline_loss_mean,scalar_harm_mean
OpenBMI-fold0-meta3-draw5,OpenBMI,0,3,5,3744709551,0.0001,1.0,0.5,1.8483870029449463,4.337570667266846,2.2447383403778076,5.512192249298096,2.4509027004241943,2.346678839634775,0.6072154632123505,2.9821634974254767,1.3259683694590412,0.1077481061220169,-0.15206214785575867,0.5953431725502014,0.5714285969734192,5.0,True,5.0,0.3604859411716461,0.3605726957321167,6.303404370555654e-05
OpenBMI-fold0-meta3-draw6,OpenBMI,0,3,6,1974235703,0.0001,1.0,0.5,3.156259298324585,3.025247573852539,2.7736270427703857,5.316758632659912,2.5555808544158936,0.9584914571050642,0.43938516779066455,1.6845126240046786,0.8096865982374942,0.3540797829627991,-0.23915396630764008,0.3053734004497528,0.4285714626312256,5.0,True,5.0,0.38961008191108704,0.38995182514190674,0.00020769851107615978
OpenBMI-fold0-meta3-draw7,OpenBMI,0,3,7,1367109805,0.0001,1.0,0.5,2.761385679244995,8.105009078979492,2.2221970558166504,8.93061351776123,4.724242687225342,2.9351238908414725,0.40236991748726547,3.2341058276955343,1.7108232010955535,0.33510011434555054,-0.4482760727405548,-0.3911024332046509,0.1428571492433548,5.0,True,5.0,0.3244709372520447,0.32522720098495483,0.00027484554448165
OpenBMI-fold0-meta3-draw8,OpenBMI,0,3,8,3401820854,0.0001,1.0,0.5,5.420042037963867,3.4874062538146973,3.1604015827178955,5.764590263366699,2.666135787963867,0.6434278976782257,0.29154770023750176,1.0635692902360343,0.4919031567078855,-0.35978662967681885,-0.45354655385017395,0.9585655927658081,0.8571429252624512,5.0,True,5.0,0.3606036901473999,0.3599383234977722,0.0007629693136550486
OpenBMI-fold0-meta3-draw9,OpenBMI,0,3,9,3126721144,0.0001,1.0,0.5,2.7647173404693604,6.038773059844971,1.6439510583877563,7.125990867614746,3.729515314102173,2.184228011829875,0.29730906561838005,2.5774753763453377,1.3489680335527612,0.32505664229393005,-0.5113232135772705,-0.25548478960990906,0.1428571492433548,5.0,True,5.0,0.37007859349250793,0.3706248998641968,0.00023175138630904257
OpenBMI-fold0-meta4-draw0,OpenBMI,0,4,0,3842238775,0.0001,1.0,0.5,4.153185844421387,3.195772171020508,1.283697485923767,6.457584857940674,3.2596707344055176,0.7694748780175851,0.1545437086144419,1.5548509264555512,0.7848603112196266,0.5335251688957214,-0.25327998399734497,0.24724441766738892,0.1666666716337204,5.0,True,5.0,0.314197301864624,0.31491953134536743,0.0001343985495623201
OpenBMI-fold0-meta4-draw1,OpenBMI,0,4,1,139084410,0.0001,1.0,0.5,2.342808961868286,4.0848259925842285,3.0686655044555664,5.372253894805908,2.161774158477783,1.7435591459095159,0.6549115942446374,2.293082356370096,0.922727458219156,-0.18251866102218628,-0.2537768483161926,0.7698662281036377,0.6666666865348816,5.0,True,5.0,0.36328309774398804,0.36310917139053345,0.00018197795725427568
OpenBMI-fold0-meta4-draw2,OpenBMI,0,4,2,4114986520,0.0001,1.0,0.5,3.6155881881713867,2.094454526901245,2.108595609664917,3.942958354949951,2.025646924972534,0.5792845915785926,0.2915978673350181,1.0905440967667654,0.5602537732586801,-0.09542801976203918,-0.5463961362838745,0.5857939124107361,0.5,5.0,False,3.942958354949951,0.3207653760910034,0.32070305943489075,0.00041100382804870605
OpenBMI-fold0-meta4-draw3,OpenBMI,0,4,3,916334975,0.0001,1.0,0.5,3.7212047576904297,3.1016685962677,2.666375160217285,5.546071529388428,2.6215338706970215,0.8335119398785126,0.35826772965218046,1.4903967640927676,0.704485251793583,0.1407158374786377,-0.3102327287197113,0.6461395025253296,0.3333333432674408,5.0,True,5.0,0.2992885112762451,0.29946762323379517,0.00030150514794513583
OpenBMI-fold0-meta4-draw4,OpenBMI,0,4,4,553910236,0.0001,1.0,0.5,6.37005090713501,3.623947858810425,2.2624571323394775,8.964893341064453,4.451026916503906,0.5689040655469941,0.177585482857392,1.4073503448807598,0.6987427543975151,0.4907653331756592,-0.14071105420589447,0.5791707038879395,0.5,5.0,True,5.0,0.4621594548225403,0.463347852230072,0.00017913679766934365
OpenBMI-fold0-meta4-draw5,OpenBMI,0,4,5,3266138625,0.0001,1.0,0.5,2.680346727371216,4.928705215454102,1.0579508543014526,6.21158504486084,3.1918764114379883,1.8388312098293313,0.19735335796258185,2.317455790860659,1.1908445944112842,0.3330077528953552,-0.5531408190727234,-0.07716929167509079,0.1666666716337204,5.0,True,5.0,0.4601515531539917,0.46059685945510864,0.00015582641935907304
