dataset,outer_fold,meta_fold,draw,draw_seed,dropout_seed,epsilon,dot_AB,cos_AB,conflict,delta_B_first_order,delta_B_actual,sign_prediction_correct
WBCIC,0,3,2,3085413506,1155116379,0.0001,0.4288806915283203,0.16782048344612122,False,-0.00034409321708388436,-0.00025284290313720703,True
WBCIC,0,4,0,3881895428,547292162,0.0001,0.8488311767578125,0.2151515781879425,False,-0.0006301441243359125,-0.0002650022506713867,True
WBCIC,0,4,1,559626151,1971329090,0.0001,0.5479427576065063,0.2745131552219391,False,-0.0004987419896915541,-9.968876838684082e-05,True
WBCIC,0,4,2,307852375,4261969625,0.0001,0.7054781317710876,0.25494301319122314,False,-0.000392938438173674,-0.00032573938369750977,True
WBCIC,1,0,0,2022057140,4232519605,0.0001,0.1575077474117279,0.05569922924041748,False,-0.00011335478731315095,-0.00016561150550842285,True
WBCIC,1,0,1,4240602671,3632375473,0.0001,-0.5277678966522217,-0.16857673227787018,True,0.000405528926194651,-0.0002480149269104004,False
WBCIC,1,0,2,2959570298,78719424,0.0001,0.29699987173080444,0.06244789436459541,False,-0.00016959932283618068,4.875659942626953e-05,False
WBCIC,1,1,0,3508396493,3112622090,0.0001,0.16694417595863342,0.09032151103019714,False,-0.0001317229717069582,-0.0006662309169769287,True
WBCIC,1,1,1,4236816831,3932091707,0.0001,-0.4312620162963867,-0.12607358396053314,True,0.00033463691453113325,0.00055694580078125,True
WBCIC,1,1,2,2523130358,2040297672,0.0001,-0.3768223226070404,-0.10358259826898575,True,0.0003523881713926345,0.00042575597763061523,True
WBCIC,1,2,0,3158804274,538778084,0.0001,-0.09958384931087494,-0.02322077751159668,True,4.593015965459999e-05,0.00015860795974731445,True
WBCIC,1,2,1,403427225,3594316718,0.0001,-0.44438910484313965,-0.15982839465141296,True,0.0002990563675189527,0.0007486045360565186,True
WBCIC,1,2,2,3527700011,3777903945,0.0001,-0.11590981483459473,-0.024358494207262993,True,0.00010041351352409403,0.00030729174613952637,True
WBCIC,1,3,0,2807896824,351220152,0.0001,0.29924339056015015,0.1335093230009079,False,-0.00019943419072706843,-0.00014218688011169434,True
WBCIC,1,3,1,607532965,4157310083,0.0001,-0.05480809509754181,-0.022984560579061508,True,4.6138183410233125e-05,-4.100799560546875e-05,False
WBCIC,1,3,2,4003046038,2065855603,0.0001,-0.03520919382572174,-0.0182508397847414,True,3.968918508010241e-05,-2.6345252990722656e-05,False
WBCIC,1,4,0,799781212,2792869141,0.0001,1.362272024154663,0.29049643874168396,False,-0.00079508774510814,-2.205371856689453e-06,True
WBCIC,1,4,1,3584609722,4219763319,0.0001,-0.746054470539093,-0.13035263121128082,True,0.000359682506970911,0.00038439035415649414,True
WBCIC,1,4,2,1403837085,1807427295,0.0001,1.2192447185516357,0.23040655255317688,False,-0.00045878887090253863,-0.0004323124885559082,True
WBCIC,2,0,0,3334989035,252228523,0.0001,-0.4842768609523773,-0.13317285478115082,True,0.0003649386820361645,-0.00011155009269714355,False
WBCIC,2,0,1,1116634237,3405760491,0.0001,-0.4484204649925232,-0.28511762619018555,True,0.0004688466008164058,0.0002719759941101074,True
WBCIC,2,0,2,1779587996,2875546149,0.0001,0.275942862033844,0.10581596195697784,False,-0.0002093237342003231,-0.0005027055740356445,True
WBCIC,2,1,0,2325432310,658180434,0.0001,0.09324325621128082,0.018057603389024734,False,-4.0770709483223417e-05,0.0001647472381591797,False
WBCIC,2,1,1,223345372,726770320,0.0001,-0.16921696066856384,-0.0385637991130352,True,7.570890202673189e-05,-4.44948673248291e-05,False
WBCIC,2,1,2,3171508351,3584290139,0.0001,-0.5207161903381348,-0.20183150470256805,True,0.000331213705010757,0.0004788041114807129,True
WBCIC,2,2,0,1509839755,3450961685,0.0001,-0.4086165428161621,-0.14323368668556213,True,0.0003167114390543955,0.00041154026985168457,True
WBCIC,2,2,1,1377702606,3577769193,0.0001,0.16286194324493408,0.0705166757106781,False,-0.00010401356282402867,-0.00011608004570007324,True
WBCIC,2,2,2,4059517331,2425887769,0.0001,-0.0772508755326271,-0.039377693086862564,True,7.614933894989917e-05,-4.7147274017333984e-05,False
WBCIC,2,3,0,2196452355,922226125,0.0001,-0.15126639604568481,-0.06714445352554321,True,0.00012146672647736952,-0.0008383393287658691,False
