task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_SSVEP,OpenBMI,0,0,18,0.18,0.1732142857142857,0.18,100
OpenBMI_SSVEP,OpenBMI,0,0,24,0.29,0.2834328600838035,0.29,100
OpenBMI_SSVEP,OpenBMI,0,0,25,0.25,0.2469546500824077,0.25,100
OpenBMI_SSVEP,OpenBMI,0,0,29,0.32,0.31568749000159974,0.32,100
OpenBMI_SSVEP,OpenBMI,0,0,36,0.30000000000000004,0.2722528219774242,0.3,100
OpenBMI_SSVEP,OpenBMI,0,0,37,0.26999999999999996,0.2646162050829379,0.27,100
OpenBMI_SSVEP,OpenBMI,0,0,39,0.27,0.2513734089119435,0.27,100
OpenBMI_SSVEP,OpenBMI,0,0,42,0.23,0.22136752136752136,0.23,100
OpenBMI_SSVEP,OpenBMI,0,0,51,0.34,0.3331840981635783,0.34,100
OpenBMI_SSVEP,OpenBMI,0,0,54,0.23,0.22726645674014095,0.23,100
OpenBMI_SSVEP,OpenBMI,1,0,4,0.38000000000000006,0.37755003040922125,0.38,100
OpenBMI_SSVEP,OpenBMI,1,0,12,0.31,0.3056397306397306,0.31,100
OpenBMI_SSVEP,OpenBMI,1,0,13,0.24,0.24275376560485518,0.24,100
OpenBMI_SSVEP,OpenBMI,1,0,17,0.18,0.18024068322981368,0.18,100
OpenBMI_SSVEP,OpenBMI,1,0,18,0.26,0.2509719054530375,0.26,100
OpenBMI_SSVEP,OpenBMI,1,0,24,0.32,0.318430261365044,0.32,100
OpenBMI_SSVEP,OpenBMI,1,0,25,0.33,0.32665540153511285,0.33,100
OpenBMI_SSVEP,OpenBMI,1,0,29,0.24,0.2422348484848485,0.24,100
OpenBMI_SSVEP,OpenBMI,1,0,36,0.53,0.5058757737329166,0.53,100
OpenBMI_SSVEP,OpenBMI,1,0,37,0.32,0.3207893413775767,0.32,100
OpenBMI_SSVEP,OpenBMI,1,0,39,0.22999999999999998,0.23302451217545556,0.23,100
OpenBMI_SSVEP,OpenBMI,1,0,42,0.21999999999999997,0.21771580583452893,0.22,100
OpenBMI_SSVEP,OpenBMI,1,0,51,0.28,0.2685259975890196,0.28,100
OpenBMI_SSVEP,OpenBMI,1,0,54,0.36,0.3570692431561997,0.36,100
OpenBMI_SSVEP,OpenBMI,2,0,4,0.34,0.2995453564297664,0.34,100
OpenBMI_SSVEP,OpenBMI,2,0,12,0.25,0.21762072273744804,0.25,100
OpenBMI_SSVEP,OpenBMI,2,0,13,0.22000000000000003,0.19009484328873816,0.22,100
OpenBMI_SSVEP,OpenBMI,2,0,17,0.3,0.2814821814821815,0.3,100
OpenBMI_SSVEP,OpenBMI,2,0,18,0.18000000000000002,0.15383715986394558,0.18,100
OpenBMI_SSVEP,OpenBMI,2,0,24,0.32000000000000006,0.30417595713421486,0.32,100
OpenBMI_SSVEP,OpenBMI,2,0,25,0.23,0.22538050521486744,0.23,100
OpenBMI_SSVEP,OpenBMI,2,0,29,0.24,0.22504226163640656,0.24,100
OpenBMI_SSVEP,OpenBMI,2,0,36,0.38,0.33775547549608276,0.38,100
OpenBMI_SSVEP,OpenBMI,2,0,37,0.31000000000000005,0.29130637437791446,0.31,100
OpenBMI_SSVEP,OpenBMI,2,0,39,0.24000000000000002,0.23365335501558412,0.24,100
OpenBMI_SSVEP,OpenBMI,2,0,42,0.22,0.21918563300142246,0.22,100
OpenBMI_SSVEP,OpenBMI,2,0,51,0.32999999999999996,0.2978001165501165,0.33,100
OpenBMI_SSVEP,OpenBMI,2,0,54,0.29000000000000004,0.2672208538587849,0.29,100
OpenBMI_SSVEP,OpenBMI,3,0,4,0.28,0.24152454521134295,0.28,100
OpenBMI_SSVEP,OpenBMI,3,0,12,0.26,0.25287677653715457,0.26,100
OpenBMI_SSVEP,OpenBMI,3,0,13,0.22,0.2116690164274183,0.22,100
OpenBMI_SSVEP,OpenBMI,3,0,17,0.29,0.28378881987577637,0.29,100
OpenBMI_SSVEP,OpenBMI,3,0,18,0.23,0.20400758389480195,0.23,100
OpenBMI_SSVEP,OpenBMI,3,0,24,0.22,0.21382947118241236,0.22,100
OpenBMI_SSVEP,OpenBMI,3,0,25,0.18999999999999997,0.16952828079588642,0.19,100
OpenBMI_SSVEP,OpenBMI,3,0,29,0.27999999999999997,0.2789366337551569,0.28,100
OpenBMI_SSVEP,OpenBMI,3,0,36,0.39,0.35700384744544517,0.39,100
OpenBMI_SSVEP,OpenBMI,3,0,37,0.29000000000000004,0.28816690844616377,0.29,100
OpenBMI_SSVEP,OpenBMI,3,0,39,0.29,0.2831807081807082,0.29,100
OpenBMI_SSVEP,OpenBMI,3,0,42,0.2,0.18501450759515276,0.2,100
OpenBMI_SSVEP,OpenBMI,3,0,51,0.24000000000000002,0.23845845042151745,0.24,100
OpenBMI_SSVEP,OpenBMI,3,0,54,0.28,0.2646955880998434,0.28,100
OpenBMI_SSVEP,OpenBMI,4,0,4,0.28,0.24934762348555456,0.28,100
