backbone,fold,seed,run_id,direction_id,direction_rank,source_pool_index,persistence,geometry_strength,identity_score,identity_full,identity_erased,D_finite,C_train_BA_harm,C_train_CE_harm,C_validation_BA_harm,C_validation_CE_harm,U_pseudo_BA,U_pseudo_BA_median_subject,U_pseudo_BA_ci_low,U_pseudo_BA_ci_high,U_pseudo_F1,U_pseudo_CE,U_pseudo_positive_subjects,U_pseudo_negative_subjects,U_pseudo_tied_subjects,U_pseudo_subject_count,model_SHA,direction_SHA,direction_construction_SHA,pseudo_subject_count,future_subject_count,outcome_loaded,U_future_BA,U_future_BA_median_subject,U_future_BA_ci_low,U_future_BA_ci_high,U_future_F1,U_future_CE,U_future_positive_subjects,U_future_negative_subjects,U_future_tied_subjects,U_future_subject_count,global_source_freeze_SHA
eegnet,0,2,eegnet|fold-0|seed-2,6,7,8,0.524489537734385,1.1265205697998522,0.0050939119794886,0.068601201730706,0.0635072897512174,0.0621134160288938,0.003,0.0003408622417616,0.005,-0.0013967416387837,-0.0037499999999999,0.0,-0.0099999999999999,0.00125,-0.0040474692102435,0.0011888127473759,1,3,4,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,2a79ceb0969c78daaebd12806a379e405134d625d52c68727c3ee46a6a2b7771,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,0.0049999999999999,0.0,-0.00375,0.0149999999999999,0.0049916675868676,0.000252368759835,3,2,3,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,2,eegnet|fold-0|seed-2,7,8,11,0.4636877944504824,1.4083276085568148,0.0030001388345619,0.068601201730706,0.065601062896144,0.247973754530578,0.0095,0.0066095169329682,0.0024999999999999,-0.0142961177369874,-0.0024999999999999,0.0,-0.0187499999999999,0.01,-0.0025236175487241,0.0098556227506507,3,2,3,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,4227431836614ee9d537ead320513cc74af70eba1bfb646f3fe16e5f54cb0934,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,-0.00125,0.0,-0.0125,0.0099999999999999,-0.0014435654699704,-0.0004668467059261,2,2,4,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,0,1,0,0.8155452405359518,1.970379192365808,0.0258142979519415,0.0781522559631189,0.0523379580111773,0.0267976691135726,-0.0005,0.0004479082305956,0.005,0.0023908059598934,0.0025,0.0,-0.0025,0.00875,0.0026966740083214,-0.0001975309449826,2,1,5,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,7bf71ff3cfd62c990640e98d355a28c69bbb9e61c16728a7c786bd66ac2992ae,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,-1.3877787807814457e-17,0.0,-0.005,0.0049999999999999,-0.0005785794799455,-0.0010046327456498,2,2,4,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,1,2,1,0.7053590927905,2.036498318199292,0.0129513274603472,0.0781522559631189,0.0652009285027717,0.0490275958868586,0.001,-0.0007038923927163,-0.0,-0.0010470804121499,-0.0024999999999999,0.0,-0.0099999999999999,0.00375,-0.002420365508296,0.0022273526346142,2,3,3,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,159ee08ab736035c709002cfd80680a9359159dd91042f811f16ba79b00b70af,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,-0.00125,0.0,-0.00875,0.00625,-0.0007981627903668,0.0068056608420489,3,3,2,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,2,3,9,0.694595206639779,0.9866505838402124,0.0054586383733374,0.0781522559631189,0.0726936175897814,0.0312018213454837,-0.001,-3.6461196770120775e-05,-2.775557561562892e-17,0.0009036193247532,0.0,0.0,-0.005,0.005,-7.921148681404311e-05,0.0002479282948574,2,2,4,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,26fa99d2a85f5d1dd2dbaaaa2db06e6f6e02f6bc5f524084dfd9fe3c37600045,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,0.0025,0.0,-0.0025,0.00875,0.002783401622632,-7.746754080900306e-05,2,1,5,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,3,4,6,0.6901924711296611,0.986612047605812,0.0068643734921398,0.0781522559631189,0.071287882470979,0.0158254495612274,-0.0015,0.0002324706228287,-0.0,-0.0005754706648944,0.0,0.0,-0.00375,0.00375,-6.973614907444803e-05,-0.0002009725945575,1,1,6,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,23520872a9a72e4c3f10242ef678e6e86ff80121d5fb037516fa668541d8e5bd,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,-0.0025,0.0,-0.0075,0.0025,-0.0029450817769111,0.0009794574607663,1,3,4,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,4,5,5,0.6517364963942913,1.6164135889689462,0.0060294907215205,0.0781522559631189,0.0721227652415983,0.3961137939640953,0.012,0.0190329642803417,-2.775557561562892e-17,-0.0295114632699938,-0.0237499999999999,-0.015,-0.0612499999999999,0.0087499999999999,-0.0243755418450614,-0.0085321538039488,2,5,1,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,a256b7d550d44fa7b0ee4d9124d436d683400908f517ff3ee76ec6d865d6975f,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,0.00625,0.01,-0.0062499999999999,0.01875,0.0076375498124422,0.0363273642184134,5,2,1,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,5,6,7,0.5899699413064398,1.073030395228419,0.004579901607721,0.0781522559631189,0.0735723543553978,0.0313594525292111,0.002,-0.0004819796992859,-2.775557561562892e-17,-0.0020969823519016,0.0,0.0,-0.0075,0.0075,5.53932168246285e-05,0.0004469995857053,1,1,6,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,7d9f47f42b26f75036d788dc43b496504f0df5f110cf36b44dce5395465090f5,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,0.00125,0.0,-0.00375,0.00625,0.0007826393487117,0.0009802106715012,3,2,3,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,6,7,12,0.575307248884228,0.9596766833898576,0.0029706812998988,0.0781522559631189,0.07518157466322,0.0318010390912037,-0.003,0.0005540725140436,0.0049999999999999,0.00108263909571,0.00375,0.005,-0.00375,0.01,0.0039678479632242,-0.000930893467962,4,2,2,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,7f949f6f60b2cfbd4b4e91e773f2c6ee0b766144e211f48f46e9882d37b9e6f7,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,-0.0025,0.0,-0.0075,0.0012812499999998,-0.0028265421321301,0.0004528504452738,1,3,4,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,1,0,eegnet|fold-1|seed-0,7,8,14,0.5719952972290011,1.0555122323924768,0.0030210204092411,0.0781522559631189,0.0751312355538778,0.0216124954679493,-0.0005,4.3393092802061413e-07,-0.0,0.0006505304338503,0.0,0.0,0.0,0.0,0.0,0.0008183825120447,0,0,8,8,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,9c96e448fb91394ba8dd7a4d217de014221763d6974a2c9180f5c24b486d9d29,00d1b278bd00c46d37d1f65d5ada8902d7985058579630d26704024b8b588628,8,8,False,0.00125,0.0,0.0,0.00375,0.0014089593858532,0.0003158140393178,1,0,7,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
