comparison,task,target,feature_family,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,delta_probability_1,-0.6484564851106073,-0.596903869212502,0.596903869212502,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_signed_logit_margin,-0.28417638745602475,-0.24839493402358603,0.2483949340235861,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_signed_logit_margin,0.21600227774089717,0.21649724946736995,0.21649724946736998,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,signed_margin_delta,0.276082398856791,0.26159834757389927,0.26159834757389927,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,b0_top1_probability,-0.018817377743354527,-0.0491067447707349,0.0491067447707349,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,b0_margin,-0.01881771401437246,-0.04910711679584823,0.04910711679584823,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,b0_entropy,0.38219065536395663,0.18217211052276733,0.18217211052276733,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,b0_logit_l2_norm,0.03083112519714892,0.05716006171646741,0.06194253455262786,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,candidate_top1_probability,0.03942975023870321,0.0007362296222452449,0.018523852256490857,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,candidate_margin,0.039429489628227905,0.0007360571352047118,0.018523795677961453,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,candidate_entropy,0.3527569922912836,0.09042999400456328,0.1103043758850865,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,candidate_logit_l2_norm,0.6293469000193008,0.554882680080095,0.554882680080095,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,top1_probability_difference,0.03955166723847875,0.03182557139408807,0.03182557139408807,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,margin_difference,0.039551701768230786,0.031825688490381754,0.031825688490381754,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,entropy_difference,0.03626033267688554,-0.038008509523200965,0.066577434550448,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,probability_L1_distance,0.01723424462623169,-0.03461675141144712,0.041510449261939794,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,JS_divergence,0.0187644168248105,-0.15252952761947233,0.1600352943493965,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,b0_centered_logit_0,0.2390530623520981,0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,b0_centered_logit_1,-0.2390530623520981,-0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,candidate_centered_logit_0,-0.24389793996135925,-0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,candidate_centered_logit_1,0.24389793996135925,0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,delta_centered_logit_0,-0.2760391231641866,-0.26159834757389905,0.26159834757389905,1.0
