comparison,task,target,feature_family,heldout_fold,evaluation_scope,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
X,WBCIC_MI,SAFE_SWITCH,F0,1,seed0,218,118,0.7029661016949151,0.741674978357761,0.5963559322033899,0.8157894736842105,0.2627118644067797
X,WBCIC_MI,SAFE_SWITCH,F0,2,seed0,170,87,0.4981304528458662,0.5321145918035682,0.48400498545907766,0.4931506849315068,0.41379310344827586
X,WBCIC_MI,SAFE_SWITCH,F0,3,seed0,180,68,0.6200105042016807,0.5113327068685086,0.6024159663865546,0.49333333333333335,0.5441176470588235
X,WBCIC_MI,SAFE_SWITCH,F0,4,seed0,156,70,0.570265780730897,0.5148682933421926,0.5166112956810631,0.46875,0.42857142857142855
X,WBCIC_MI,SAFE_SWITCH,F1,0,seed0,257,127,0.5410054512416718,0.5688871194908168,0.5188067837674137,0.5095541401273885,0.6299212598425197
X,WBCIC_MI,SAFE_SWITCH,F1,1,seed0,218,118,0.7068644067796609,0.7467815373087257,0.6048305084745763,0.825,0.2796610169491525
X,WBCIC_MI,SAFE_SWITCH,F1,2,seed0,170,87,0.4625398144301343,0.4911903077825699,0.4949452984351198,0.5063291139240507,0.45977011494252873
X,WBCIC_MI,SAFE_SWITCH,F1,3,seed0,180,68,0.6752888655462185,0.5284450683745443,0.6817226890756303,0.550561797752809,0.7205882352941176
X,WBCIC_MI,SAFE_SWITCH,F1,4,seed0,156,70,0.510797342192691,0.501621664030898,0.4883720930232558,0.4375,0.5
X,WBCIC_MI,SAFE_SWITCH,F2,0,seed0,257,127,0.6405208964264082,0.6088583049694489,0.5560266505148395,0.7058823529411765,0.1889763779527559
X,WBCIC_MI,SAFE_SWITCH,F2,1,seed0,218,118,0.5449999999999999,0.6205793888112618,0.5511016949152543,0.6071428571428571,0.4322033898305085
X,WBCIC_MI,SAFE_SWITCH,F2,2,seed0,170,87,0.5914693255781747,0.5842495630049189,0.5317823016202742,0.5294117647058824,0.9310344827586207
X,WBCIC_MI,SAFE_SWITCH,F2,3,seed0,180,68,0.5731355042016807,0.42873918269905076,0.551733193277311,0.41044776119402987,0.8088235294117647
X,WBCIC_MI,SAFE_SWITCH,F2,4,seed0,156,70,0.4287375415282392,0.4235264379406704,0.4606312292358804,0.41379310344827586,0.5142857142857142
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,pooled,6096,3783,0.6620972222079367,0.7569683829894716,0.6115194502815346,0.7284366576819407,0.5715040972772931
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,1965,1254,0.6283913978784065,0.734855337587453,0.590850207605704,0.7237798546209762,0.5558213716108453
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed1,1896,1141,0.6550150617269619,0.7450856392704527,0.6006628320689995,0.6967808930425753,0.5880806310254163
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed2,2235,1388,0.6973170266987402,0.7881202263044536,0.6396239992650787,0.761996161228407,0.5720461095100865
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,pooled,3988,2014,0.6914199388475202,0.69183983943957,0.6287804014250802,0.6444082519001085,0.5893743793445879
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,1337,639,0.6602499428279323,0.6403167279769246,0.6003919089192911,0.5875613747954174,0.5618153364632238
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed1,1358,743,0.7230673275777172,0.7448394945620125,0.6696363894998304,0.718796992481203,0.6433378196500673
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed2,1293,632,0.6875993412359486,0.6895155751183856,0.6135099293360654,0.6183745583038869,0.5537974683544303
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,pooled,3970,1988,0.6491357326603414,0.6536518069237245,0.6055662938275466,0.6671961874503575,0.4225352112676056
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,1302,682,0.6586912307255699,0.68176701864586,0.6197214076246333,0.6750972762645915,0.5087976539589443
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed1,1442,630,0.6209183673469387,0.5593528741658067,0.5751915708812261,0.581081081081081,0.3412698412698413
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed2,1226,676,0.665185583647122,0.7184303698239158,0.6174394835933297,0.7413333333333333,0.41124260355029585
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,pooled,4691,3025,0.7110370759874198,0.8163111534677425,0.6536904348516266,0.7714723926380368,0.6651239669421488
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,1688,968,0.7235852846648302,0.7766214689524417,0.6592745638200184,0.7040714995034757,0.7324380165289256
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed1,1420,1017,0.7126663104396477,0.8629557388093615,0.6612451842254868,0.8637083993660856,0.5358898721730581
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed2,1583,1040,0.7427946593001841,0.8533390274660709,0.6692112905510695,0.7814432989690722,0.7288461538461538
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,pooled,5273,2924,0.6734761830717615,0.711913397130125,0.625923858509515,0.6616590463749183,0.6928864569083447
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,1884,983,0.6731505516081939,0.6898006874202288,0.6304710601874486,0.6361940298507462,0.6937945066124109
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed1,1686,937,0.6771675645791686,0.7152201411290697,0.6343050071742757,0.6729559748427673,0.6851654215581644
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed2,1703,1004,0.6671069655569425,0.7307936428213136,0.6106888611505338,0.6776061776061776,0.6992031872509961
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,pooled,6096,3783,0.813784995541183,0.842307980306572,0.7925523872413038,0.8334600760456273,0.8691514670896114
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,1965,1254,0.7808554117681367,0.8212823502324974,0.7725388461564344,0.8237059264816204,0.8755980861244019
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed1,1896,1141,0.8311507855894968,0.8647255192430338,0.809580303091862,0.8440999138673557,0.8588957055214724
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed2,2235,1388,0.8239301960811001,0.842134805385394,0.7936121384510171,0.833907649896623,0.8717579250720461
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,pooled,3988,2014,0.8679532029592246,0.8615290627026717,0.8420906742971439,0.8491422805247225,0.8356504468718967
