"chronological_index","stage","branch","commit_sha","local_experiment_path","dataset","biological_subject_count","sessions","task","backbone","seed_count","split_protocol","training_role","validation_role","future_outer_role","intervention","primary_hypothesis","primary_metric","statistical_unit","exact_primary_result","exact_effect_size","confidence_interval","p_or_permutation","controls","protocol_frozen_before_outcome","prospective_status","evidence_class","validator_status","exact_terminal","scientific_interpretation","stronger_not_justified","manuscript_role","authoritative_source"
"21","FINAL_MODEL_V5","codex/persist-eeg-final-model-v5-local-competence","22f7e8e94aa4c5ddd274bf4b9465579b6483d40a","experiments/persist_eeg_final_model_v5","WBCIC authorized development; OpenBMI fail-closed","WBCIC=41","WBCIC S1/S2->S3","Motor imagery future-session classification","CS-LGS generic/history-conditioned stack","NOT_REPORTED","41-subject WBCIC development with subject bootstrap; OpenBMI fail-closed; outer unused","Legal cross-session history-conditioned geometry development","Five-fold WBCIC development comparison against W1_RAW_LINEAR","WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","History-conditioned generic geometry stack","Legal cross-session history-conditioned geometry beats V4 WBCIC baseline","WBCIC Delta BA versus W1_RAW_LINEAR and fold consistency","41 biological subjects; five folds are repeated partitions","WBCIC BA 0.817782; Delta versus W1_RAW_LINEAR +0.01099 in 5/5 folds; OpenBMI Delta 0; PERSIST raw increment unsupported","WBCIC Delta BA versus W1_RAW_LINEAR=+0.01099","[0.00195,0.02028]","NOT_REPORTED; 5/5 fold consistency","W1_RAW_LINEAR baseline; legality, baseline, and context audits","YES; BASELINE_LOCK and WBCIC_CSP_PROTOCOL_AUDIT present","WBCIC_S3=PROSPECTIVE_ALREADY_OBSERVED; repeated-development adaptivity; outer untouched","EXPLORATORY_GENERIC_MODEL_HISTORY_SUPERSEDED","Legality/baseline/context audits present; repeated-development adaptivity warning","READY_FOR_OUTER_FREEZE; V5_DEVELOPMENT_TARGET_REACHED","A generic WBCIC development target was reached, but it was never outer-confirmed","No PERSIST-specific result, no outer confirmation, and READY_FOR_OUTER_FREEZE is not outer success","EXPLORATORY_GENERIC_MODEL_HISTORY_ONLY","experiments/persist_eeg_final_model_v5/outputs/FINAL_DECISION.json; experiments/persist_eeg_final_model_v5/outputs/SCIENTIFIC_REPORT.md"
"22","FINAL_MODEL_V6","codex/persist-eeg-final-model-v6-persist-sa","c8413beff50912777f1f58180a99ffbdeff21637","experiments/persist_eeg_final_model_v6","OpenBMI and WBCIC development","OPENBMI=54; WBCIC=41","OpenBMI repeated sessions; WBCIC S1/S2->S3","MI constructive-controller audit","Multiple generic and PERSIST controllers","NOT_REPORTED","Development split lock; future labels scoring-only; no outer evaluation","Compare PERSIST controllers against information/capacity-matched generic baselines","Dual-dataset +5 percentage-point target gate","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","PERSIST-SA and related controllers versus strongest generic baseline","PERSIST adds at least 5 pp on both datasets beyond matched generic baselines","PERSIST-minus-strongest-generic Delta BA and dual-target gate","OpenBMI 54 and WBCIC 41 biological subjects; controllers are not replicates","PERSIST versus strongest generic: OpenBMI -0.011851852; WBCIC -0.000598362; dual +5 pp target false; PERSIST increment found on both=false","OpenBMI PERSIST-minus-generic=-0.011851852; WBCIC=-0.000598362","OpenBMI [-0.021851852,-0.001851852]; WBCIC [-0.007073171,0.004534984]","NOT_REPORTED","Information-matched and capacity-matched generic baselines; suppression disabled","YES; DEVELOPMENT_SPLIT_LOCK and legality/baseline/prediction-integrity audits","EXPLORATORY_DEVELOPMENT; WBCIC_S3 already observed; outer=false","NEGATIVE_PERSIST_SPECIFIC_MATCHED_BASELINE_WARNING","Split, legality, baseline, and prediction-integrity audits present; dual target false","V6_OPENBMI_TARGET_ONLY; PERSIST_INCREMENT_FOUND_ON_BOTH=false","PERSIST did not add the required matched-baseline benefit on either dataset as a dual claim","No dual-dataset constructive success; terminal wording does not authorize a positive PERSIST claim","HISTORICAL_NEGATIVE_PERSIST_SPECIFIC_EVIDENCE","experiments/persist_eeg_final_model_v6/outputs/FINAL_DECISION.json; experiments/persist_eeg_final_model_v6/outputs/protocol/DEVELOPMENT_SPLIT_LOCK.json"
"23","FINAL_MODEL_V7","codex/persist-eeg-final-model-v7-future-utility-meta","9feee89daa3fdcdae1602104a8b6ef5fc05afd64","experiments/persist_eeg_final_model_v7","OpenBMI and WBCIC development","OPENBMI=54; WBCIC=41","OpenBMI repeated sessions; WBCIC S1/S2->S3","MI future-utility meta prediction","Generic and PERSIST meta controllers","1","One-seed, heavily reused adaptive development; 20,000 subject-bootstrap draws; outer=false","Future-utility meta-controller development","PERSIST versus capacity-matched controller on already-reused development outcomes","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Meta-predict future utility to select PERSIST action","Future-utility meta prediction yields a PERSIST-specific increment over capacity-matched controls","PERSIST-minus-capacity-matched Delta BA with subject-bootstrap CI","OpenBMI 54 and WBCIC 41 biological subjects; one seed and controller variants are not biological replications","PERSIST versus capacity-matched: OpenBMI +0.000925926; WBCIC +0.002326004; strongest generic gains also unresolved; ready=false","OpenBMI +0.000925926; WBCIC +0.002326004","OpenBMI [-0.001296296,0.003333333]; WBCIC [-0.003161801,0.008432719]","NOT_REPORTED","Capacity-matched generic meta controllers; outcome labels excluded within-run but observed between adaptive iterations","PARTIAL; baseline/split/outer locks exist, but development was adaptively reused across iterations","ADAPTIVE_EXPLORATORY_DEVELOPMENT; outer=false","ADAPTIVELY_SELECTED_WEAK_SIGNAL_SUPERSEDED","Locks present; ready=false; one-seed and repeated-development limitations","V7_SCIENTIFIC_EXHAUSTION; V7_PERSIST_UTILITY_SIGNAL_FOUND; ready=false","Small favorable point estimates were statistically unresolved and adaptively selected","No confirmatory PERSIST benefit, cross-dataset replication, or outer-ready success","HISTORY_ONLY_WEAK_SIGNAL","experiments/persist_eeg_final_model_v7/outputs/FINAL_DECISION.json; experiments/persist_eeg_final_model_v7/outputs/protocol/BASELINE_LOCK.json; experiments/persist_eeg_final_model_v7/outputs/protocol/SPLIT_LOCK.json"
"24","FINAL_MODEL_V8_HEADROOM_SCREEN","codex/persist-eeg-final-model-v8-headroom-first","b147226d2d82bb47948d1cca6c7b403c590eb8fa","experiments/persist_eeg_final_model_v8","OpenBMI and WBCIC development screening","OPENBMI=18_SCREENING; WBCIC=12_SCREENING","OpenBMI development sessions; WBCIC development screening sessions","MI oracle/headroom screening","Multi-backbone screening panel","NOT_REPORTED","Phase-A screening only; OpenBMI 18 and WBCIC 12 screening subjects; phase B/C not started; no sealed/outer outcome read","Headroom screen before any new-model phase","Oracle headroom versus updated screening baseline and +8 pp authorization gate","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION project-globally; no outcome content opened; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Multi-backbone oracle/headroom analysis","At least 8 pp oracle headroom on both datasets justifies a new model phase","Oracle headroom in percentage points versus +8 pp gate","18 OpenBMI and 12 WBCIC biological screening subjects; backbone/oracle rows are not subjects","Oracle headroom versus updated screening baseline: OpenBMI 2.055556 pp, WBCIC 2.083333 pp; +8 pp gate false on both; phase B/C not started","OpenBMI headroom=2.055556 pp; WBCIC=2.083333 pp","NOT_REPORTED","NOT_REPORTED","Updated screening baseline; predeclared +8 pp gate; internal and outer locks","YES for Phase-A screen; V8_INTERNAL_HOLDOUT_LOCK and OUTER_LOCK exist","DEVELOPMENT_SCREEN_ONLY; OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED","TERMINAL_HEADROOM_SCREEN_HISTORY","Decision reports internal_holdout_used=false and outer=false; outcome artifact content not opened during closure","V8_SCIENTIFIC_EXHAUSTION_PHASE_A_HEADROOM; success=false","The predeclared headroom gate failed, so no new-model phase was authorized","Screening oracle is not performance; do not claim sealed OpenBMI confirmation or infer any inaccessible outcome","HISTORICAL_STOPPING_EVIDENCE_ONLY","experiments/persist_eeg_final_model_v8/outputs/FINAL_DECISION.json; experiments/persist_eeg_final_model_v8/outputs/protocol/V8_INTERNAL_HOLDOUT_LOCK.json; paper_closure/protocol/FINAL_PAPER_DATA_STATUS.json"
"25","INVARIANCE_RESCUE_V1","codex/persist-eeg-invariance-rescue-v1","e96e39075926af380427bdd396ba0f7c48fe5f02","experiments/persist_eeg_invariance_rescue_v1","OpenBMI MI development","NOT_REPORTED","2 repeated MI sessions","MI invariance/protected-loss audit","A Subject-GRL/EEGNet; B EEG-DG; C SCLDGN","NOT_REPORTED","66 ledger rows; exact biological n not reported; development exploratory; outer=false","Train invariance families under frozen V1 protocol","Identity reduction, protected loss, task harm, and selective-rescue eligibility","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Subject-GRL, EEG-DG, and SCLDGN invariance methods","Invariance exposes protected loss eligible for selective rescue","Mean Delta BA under each invariance family and eligibility chain","Biological subject intended; 66 ledger rows are not 66 people","Mean Delta BA under invariance: A -0.009444444, B -0.076111111, C -0.001481481; no eligible protected-loss family","Most negative family B Delta BA=-0.076111111","NOT_REPORTED_IN_V1_FINAL","NOT_REPORTED","Three invariance families; claim/license/data-access audits","YES; PROTOCOL_FROZEN and protocol config present","EXPLORATORY_DEVELOPMENT; no outcome-based assignment/selection; outer=false","SUPERSEDED_MEASUREMENT_VERSION_HISTORY","Protocol/claim/license/data-access audits present; protected-loss measurement superseded by V1.1","NO_ELIGIBLE_PROTECTED_LOSS_OBSERVED","V1 did not find an eligible protected-loss family, but its measurement was repaired in V1.1","Do not use V1 protected-loss measurements as authoritative or infer selective rescue","SUPERSEDED_HISTORY_ONLY","experiments/persist_eeg_invariance_rescue_v1/outputs/FINAL_DECISION.json; experiments/persist_eeg_invariance_rescue_v1/PROTOCOL_FROZEN.json"
"26","INVARIANCE_RESCUE_V1_1","codex/persist-eeg-invariance-rescue-v1-1","deed274477613d285fd848844ec24b01b2e53b3a","experiments/persist_eeg_invariance_rescue_v1_1","OpenBMI MI development","23","2 repeated MI sessions","MI invariance/protected-loss audit","A Subject-GRL/EEGNet; B EEG-DG; C SCLDGN","2","23 distinct subjects; 54 subject-run units per family; 10,000-draw subject bootstrap; outer membership not enumerated","Measurement-repaired invariance-family evaluation","Identity reduction, protected loss, task harm, and selective-rescue chain","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Measurement-repaired A/B/C invariance methods","Measured invariance yields selective protected loss and rescue eligibility","Family task-harm Delta BA with subject-bootstrap CI and full eligibility chain","23 biological subjects; 54 subject-run units per family are repeated measurements","Task-harm mean: A -0.000370370, B -0.052777778, C +0.007962963; no family satisfied the selective protected-loss/rescue chain; ready for Exp2=false","Family B task-harm mean=-0.052777778","A [-0.005925926,0.004444444]; B [-0.100925926,-0.020925926]; C [-0.011296296,0.025740741]","NOT_REPORTED","Three method families; identity reduction and protected-loss gates; claim/license/data-access audits","YES; PROTOCOL_FROZEN, PROTOCOL.md, and v1.1 config present","FROZEN_DEVELOPMENT_REPAIR; outer membership not enumerated; outer=false","AUTHORITATIVE_MEASUREMENT_REPAIR_NEGATIVE_BOUNDARY","Protocol/claim/license/data-access audits present; ready_for_Exp2=false","V1_1_INVARIANCE_WITHOUT_SELECTIVE_PROTECTED_LOSS; ready for Exp2=false","Invariance and identity suppression did not establish useful selective protected loss","No selective rescue, useful protected-loss, or prospective actionability claim","HISTORICAL_NEGATIVE_BOUNDARY","experiments/persist_eeg_invariance_rescue_v1_1/outputs/FINAL_DECISION.json; experiments/persist_eeg_invariance_rescue_v1_1/PROTOCOL_FROZEN.json"
"27","MATCHED_IDENTITY_CAUSAL_V1","codex/persist-eeg-matched-identity-causal-v1","99e6a4d8bba44a7f50c2de209bbd36b037184224..ab496f203625388249601986c3367e53f55bb9d8","experiments/persist_eeg_matched_identity_causal_v1","OpenBMI nm000273 MI","UNKNOWN","S1-to-S2 cross-session identity; validation Session 2 task outcome planned","motor imagery","Signed-V3.1 frozen EEGNet","2","folds 0-2 x seeds 0-1; train-only exact-rank structural matching; subject aggregation planned","reused OpenBMI development-train subjects construct protected and control blocks","validation outcome was not evaluated after G1 construction failure","Full OpenBMI 54 had already been observed; later internal-14 partition is INVALID_FOR_CONFIRMATION; no outer outcome used","continuous suppression of protected versus structurally matched non-protected persistent coordinates","protected erasure causes more task harm than identity-matched non-protected erasure","Delta_H at MEDIUM identity dose","unique outcome subject after run/control aggregation; completed primary n=0","G0 true; G1 false because one assignment had 1 accepted control versus 20 required; G2/G3 not evaluated","NOT_EVALUATED","NOT_APPLICABLE","NOT_APPLICABLE","exact-rank non-protected controls; random controls secondary","TRUE","PROSPECTIVELY_FROZEN_REUSED_DEVELOPMENT; TRAIN_ONLY_STOP; NOT_CONFIRMATION","SUPERSEDED_FEASIBILITY_FAILURE","NO_STANDALONE_VALIDATOR_IDENTIFIED","MATCHED_NONPROTECTED_CONTROL_UNAVAILABLE","The intended matched causal estimand was not identified.","Identity-equivalent causal utility effect or readiness for Experiment 4","HISTORY_ONLY; feasibility failure","experiments/persist_eeg_matched_identity_causal_v1/outputs/FINAL_DECISION.json"
"28","MATCHED_IDENTITY_CAUSAL_V1_1","codex/persist-eeg-matched-identity-causal-v1-1","0253c7dbd413baff3641bf1997bc1b0fbac7d8d9..cc2cc91b67b73a739267325c02a2f9cab128798c","experiments/persist_eeg_matched_identity_causal_v1_1","OpenBMI nm000273 MI","23","S1-to-S2 symmetric identity; validation Session 2 task outcome","motor imagery","Signed-V3.1 frozen EEGNet","2","folds 0-2 x seeds 0-1; block-wise matching; repeated measures averaged within subject","development-train constructs blocks, controls, identity calibration, and probes","23 development-validation outcome subjects; no outer","Full OpenBMI 54 already observed; later internal-14 partition INVALID_FOR_CONFIRMATION; no outer access","block-wise protected versus matched non-protected suppression with intervention-specific ridge probes","task harm remains greater after matching measurable identity reduction","Delta_H=H_P-H_N at MEDIUM dose","biological subject; six runs are repeated algorithmic units","G0/G1 true; G2 false because protected identity drop was zero; G3 false; 1/6 run means positive","mean Delta_H=-0.000109269; identity drop P=0, N=0.002874736","Delta_H 95% CI [-0.000624011,0.000349857]","bootstrap sign probability 0.3506; no confirmatory p","matched non-protected ensemble; random controls secondary; neutral-only secondary","TRUE_WITH_REPORTED_SEMANTIC_REPAIR","PROSPECTIVELY_FROZEN_REUSED_DEVELOPMENT; NOT_CONFIRMATION","SUPERSEDED_NEGATIVE_MEASUREMENT_ATTEMPT","PROTOCOL_FREEZE_AUDIT_PASS","IDENTITY_MATCH_FAILED","Top-1 identity matching failed and the causal utility contrast remains unsupported.","Protected causal effect, identity match, or independent replication","HISTORY_OR_NEGATIVE_BOUNDARY","experiments/persist_eeg_matched_identity_causal_v1_1/outputs/FINAL_DECISION.json"
"29","MATCHED_IDENTITY_CAUSAL_V1_2","codex/persist-eeg-matched-identity-causal-v1-2","f52159744d8ae01efeac325ca9ed5b2c1e103ef1..96a96a89d63aaca6560544e56fad070a1316f840","experiments/persist_eeg_matched_identity_causal_v1_2","OpenBMI nm000273 MI","0 heldout evaluated","train-only S1-to-S2 continuous identity audit; heldout not authorized","motor imagery","Signed-V3.1 frozen EEGNet","2","folds 0-2 x seeds 0-1; ten protected blocks; V1.1 control membership fixed","reused development-train only for continuous IdentitySkill curves and measurability","none; heldout task and identity outcomes not opened","Full OpenBMI 54 already observed; later internal-14 partition INVALID_FOR_CONFIRMATION; no outer use","continuous log-loss IdentitySkill suppression with fixed V1.1 blocks and controls","protected persistence is sufficiently identity-bearing to permit a matched continuous causal contrast","train-only continuous identity measurability and G1 feasibility","block/run for train-only feasibility; no biological heldout inference","0/10 blocks and 0/6 runs passed protected measurability; G0/G1/G2 false; G3 not evaluated","protected measurable block fraction=0; MEDIUM eligible blocks=0","NOT_APPLICABLE","NOT_APPLICABLE","fixed V1.1 non-protected controls; secondary top-1 and margin metrics","TRUE","FROZEN_BEFORE_VALIDATION; HELDOUT_NOT_AUTHORIZED; NOT_CONFIRMATION","AUTHORITATIVE_NEGATIVE_IDENTIFICATION_REPAIR","FREEZE_AUDIT_PASS","PROTECTED_PERSISTENCE_NOT_IDENTITY_BEARING_UNDER_OPERATIONAL_METRICS","The direct utility-versus-identity causal contrast is NOT_IDENTIFIABLE under the operational metrics.","Identity-causal equivalence, matched effect estimate, or positive non-identity theorem","PRIMARY_NEGATIVE_IDENTIFICATION_BOUNDARY","experiments/persist_eeg_matched_identity_causal_v1_2/outputs/FINAL_DECISION.json"
"30","DECISION_GROUNDING_CLOSURE","codex/persist-eeg-exp3-decision-grounding-closure-v1","174ffd0b21433458724db1ab9b64bb4518e50897..de52f7d9c6e9fb8745869f58163ab95b42a668df","experiments/persist_eeg_exp3_decision_grounding_closure_v1","OpenBMI MI development resource","UNKNOWN","development S1/S2 source roles; held-run block consequences","motor imagery","frozen EEGNet lineage","NOT_APPLICABLE model comparison over 6 runs","six leave-one-run-out units; 215 run x audit-fold x block cells; no outer","frozen DDA cell metrics and continuous identity evidence supply predictors","one complete run held out per model comparison; per-run outcome subject counts 6 or 7","Later OpenBMI internal-14 is INVALID_FOR_CONFIRMATION; no outer used","compare continuous finite centered-logit decision response D with continuous identity evidence I","D predicts frozen intervention consequence better than I","leave-one-run-out RMSE difference RMSE(MI)-RMSE(MD)","run for primary inference; 215 cells are nested training rows, not people","MI RMSE 0.045744162 versus MD 0.031492843; 6/6 runs favor D","0.014281184","95% run-cluster CI [0.009317051,0.019155177]","exact six-run sign-flip p=0.015625","M0 geometry/persistence; MI identity; MD decision; MID identity+decision","TRUE","PROSPECTIVELY_FROZEN_DEVELOPMENT_COMPARISON; NOT_INDEPENDENT_CONFIRMATION","PRIMARY_MECHANISTIC_STRONG","NO_STANDALONE_VALIDATOR; REPORTING_REPAIR_DOCUMENTED","EXP3_DECISION_GROUNDED_IDENTITY_INSUFFICIENT","Finite decision response predicts frozen block consequence better than measured identity in this development analysis.","Deployment benefit, identity irrelevance, biological causality, or guaranteed actionability","CORE_MAIN_TEXT_MECHANISM_EVIDENCE","experiments/persist_eeg_exp3_decision_grounding_closure_v1/EXP3_FINAL_REPORT.json"
"31","EXP4_PROTECTION_FIRST","codex/persist-eeg-exp4-protection-first-final","7735c37c3ea859a9cab886510ea1bcb56cb1acc2..742797727d6972dcbf852004624d283b16ddfde2","experiments/persist_eeg_exp4_protection_first_final","WBCIC nm000348 development","41","S1 anchor; S2 legal adaptation; development S3 outcome","motor imagery","EEGNet","NOT_REPORTED for primary; matched development folds","five subject-disjoint development folds; subject bootstrap","S1 trains anchor; S1/S2 discovery subjects define basis; S2 fits adapter","held development subjects scored on S3","WBCIC S3 is PROSPECTIVE_ALREADY_OBSERVED project-global; outer-10 remains OUTER_UNTOUCHED and unenumerated","project adapter update away from frozen P01_04 protected coordinates; exact and soft response variants","protection-first updating improves future-session BA and reduces negative transfer","paired S3 BA Guard minus Generic","biological subject","V1 delta small and uncertain; negative-transfer 17.1% versus Generic 14.6%; V2 harmful; V3 uncertain","V1 Guard-Generic=0.001340232","95% subject-bootstrap CI [-0.000854890,0.003535354]","Monte Carlo sign-flip p=0.13663; exact positive-sign p=0.82556","Frozen; Generic; RandomGuard; PCAGuard; PersistenceGuard; IdentityGuard","TRUE_FOR_DEVELOPMENT; FINAL_OUTER_LOCK_REFUSED","PROSPECTIVELY_LOCKED_DEVELOPMENT; WBCIC_S3_ALREADY_OBSERVED; OUTER10_UNTOUCHED","VALID_NEGATIVE_METHOD_RESULT","NO_STANDALONE_VALIDATOR; OUTER_LOCK_SEALED_LOCAL_BUT_PROJECT_STATUS_USED","EXP4_PROTECTION_FAILED","Coordinate protection was implementable but did not establish safer future-session performance.","PERSISTGuard improves generalization, reduces harm, or transfers to outer/backbones","APPENDIX_NEGATIVE_METHOD_HISTORY","experiments/persist_eeg_exp4_protection_first_final/EXP4_FINAL_REPORT.json"
"32","EXP4_UTILITY_PRESERVATION_V2","codex/persist-eeg-exp4-utility-preservation-v2","d3c5c375aa3af235db850e31da5931d89a48502f..4a094e7605cb36e3da22dc45a2f8963d49440357","experiments/persist_eeg_exp4_utility_preservation_v2","WBCIC nm000348 development","41","S1 anchor; S2 adapter; development S3 outcome","motor imagery","EEGNet","3 for Generic robustness","five deterministic development folds; inner four-way subject-disjoint certification","legal S1/S2 non-outcome subjects construct deployment-matched directions and select Generic","held development S3 provides baseline endpoint only after direction gate","WBCIC S3 PROSPECTIVE_ALREADY_OBSERVED; outer-10 OUTER_UNTOUCHED","certify persistence, signed utility, and decision dependence before utility-preserving Guard training","a deployment-matched protected direction exists and can support a utility-preserving Guard","prospective direction certification then subject BA Guard versus Generic","biological subject for any performance inference","zero directions passed signed utility; protected rank zero; Guard not run; Generic retained headroom","Generic BA 0.772991962 versus Frozen 0.701158845; certified protected rank=0","NOT_APPLICABLE for unrun Guard comparison","NOT_APPLICABLE","Frozen; Generic; historical hard Guard; utility/persistence/identity/PCA/random controls planned","TRUE","PROSPECTIVELY_FROZEN_DEVELOPMENT_DISCOVERY; NOT_CONFIRMATION","VALID_NEGATIVE_GATE_STOP","NO_STANDALONE_VALIDATOR; OUTER_EVALUATION_COUNT_0","EXP4_V2_NO_DEPLOYMENT_MATCHED_PROTECTED_DIRECTION","The deployment-matched direction gate failed before method training.","Generic headroom as PERSIST benefit or an unrun Guard effect","APPENDIX_NEGATIVE_GATE","experiments/persist_eeg_exp4_utility_preservation_v2/EXP4_V2_FINAL_REPORT.json"
"33","EXP4_EMERGENCE_TRIGGERED_V3","codex/persist-eeg-exp4-emergence-triggered-v3","ceb67ad7fbd2829b66ad0bd192ab3c88c0d22b04..c42cbd3db76a4cd20fd55b9edc55adf90496ce26","experiments/persist_eeg_exp4_emergence_triggered_v3","WBCIC nm000348 development","41","S1 anchor; S2 trajectory; development S3 baseline outcome","motor imagery","EEGNet","1 trajectory seed; 3 Generic endpoint seeds","five folds; checkpoints 0,5,10,15,20,25; two consecutive passing checkpoints required","S1/S2 training-side trajectory defines emergence without S3 selection","development S3 used only for predeclared baseline endpoint","WBCIC S3 PROSPECTIVE_ALREADY_OBSERVED; outer-10 OUTER_UNTOUCHED","trigger Guard only after persistent, utility-positive, decision-dependent subspace emergence","a protected subspace emerges prospectively before final adaptation and later collapses","full emergence gate across ranks and checkpoints","biological subject for performance; fold/rank/checkpoint for emergence diagnostics","no rank in any fold emerged; utility remained negative; Guard and collapse phases not authorized","Generic-Frozen BA=0.069759947; emergent folds=0/5","NOT_APPLICABLE","Holm-corrected emergence tests; no final p because gate failed","Frozen; Generic; energy-matched random diagnostics","TRUE","PROSPECTIVELY_FROZEN_DEVELOPMENT_TRAJECTORY; NOT_CONFIRMATION","VALID_NEGATIVE_EMERGENCE_RESULT","DECISION_METRIC_REPAIR_PASS; NO_STANDALONE_FINAL_VALIDATOR","EXP4_V3_NO_PROTECTED_EMERGENCE","No prospectively protected subspace emerged under the repaired measurement.","Guard efficacy, utility collapse, or universal absence of protected structure","APPENDIX_NEGATIVE_EMERGENCE","experiments/persist_eeg_exp4_emergence_triggered_v3/EXP4_V3_FINAL_REPORT.json"
"34","EXP4_OPENBMI_CACHED_ACTIONABILITY_V1","codex/persist-eeg-exp4-openbmi-final-v1","a0e6390574adb6584640ed85e2e6c4b4dd3cadf8","experiments/persist_eeg_exp4_openbmi_final_v1","OpenBMI V8_SEARCH MI","40","target S1 adaptation/history; target S2 future outcome","motor imagery","cached MI-specific feature/head surrogate; Generic Conformer context audit","3","five subject-only development folds; cached representation","V8_SEARCH development subjects only; source and target S1 roles","target S2 scored development outcome","OpenBMI internal-14 is INVALID_FOR_CONFIRMATION project-global, not sealed; historical outer not used","P/U/D guard compared with utility-only, decision-only, and random controls","combined persistence/utility/decision grounding provides prospective actionability beyond simpler controls","development BA and control specificity","biological subject","DGUG gave only +0.00225 over MI Generic and was weaker than decision-only; specificity failed","DGUG-Generic=0.00225","NOT_REPORTED","NOT_REPORTED","NoAdapt; Generic; decision-only; utility-only; random matched; strongest fair Generic","TRUE_FOR_LOCAL_DEVELOPMENT","DEVELOPMENT_ALREADY_OBSERVED; INTERNAL14_INVALID_FOR_CONFIRMATION","SUPERSEDED_INVALID_BASELINE_CHAIN","NO_STANDALONE_VALIDATOR","EXP4_OPENBMI_MECHANISM_NOT_ACTIONABLE","Negative specificity conclusion is retained, but cached baseline numerics are superseded by fold-correct repair.","Valid vanilla baseline, independent confirmation, or complete P-to-action chain","HISTORY_ONLY_AFTER_FOLD_REPAIR","experiments/persist_eeg_exp4_openbmi_final_v1/EXP4_OPENBMI_FINAL_REPORT.json"
"35","EXP4_OPENBMI_DYNAMIC_ACTIONABILITY_V2","codex/persist-eeg-openbmi-dynamic-actionability-v2","ac98dac3eb50a6952d5c5c4fd55e569bcbf324c2..7f174873efc3a91949ab5b7f583ba2785b65f81f","experiments/persist_eeg_exp4_openbmi_dynamic_actionability_v2","OpenBMI V8_SEARCH MI","40","target S1 trajectory features; target S2 future outcome","motor imagery","cached MI-specific residual-head surrogate","NOT_REPORTED","five folds intended, but fold-0 cache was incorrectly reused across folds","development source/target S1 features construct predictors","target S2 scores FutureDeltaBA","OpenBMI internal-14 INVALID_FOR_CONFIRMATION project-global; outer and WBCIC not used","dynamic trajectory and gradient features predict adaptation harm","dynamic signals improve prospective held-subject prediction beyond static features","dynamic-versus-static held-fold RMSE and negative-transfer AUROC","biological subject intended","original report: dynamic RMSE reduction -0.070612, 2/5 folds improved, dynamic AUROC 0.357843; implementation later invalidated","dynamic RMSE reduction=-7.061%","NOT_REPORTED","NOT_REPORTED","static predictor; gradient predictor; no Phase-B intervention","TRUE_LOCALLY_BUT_IMPLEMENTATION_INVALID","DEVELOPMENT_ONLY; INTERNAL14_INVALID_FOR_CONFIRMATION","INVALID_IMPLEMENTATION_SUPERSEDED","NO_STANDALONE_VALIDATOR","EXP4_OPENBMI_DYNAMIC_ACTIONABILITY_NOT_SUPPORTED","The original numbers cannot support inference because the evaluation fold loaded the fold-0 cache.","Any dynamic actionability conclusion from V2 numerics","INVALID_HISTORY_ONLY","experiments/persist_eeg_exp4_openbmi_dynamic_actionability_v2/EXP4_OPENBMI_DYNAMIC_FINAL_REPORT.json"
