dataset,fold,seed,subject_id,method,checkpoint_variant,primary,trials,BA,macro_F1,accuracy
WBCIC,0,0,sub-6,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.8300000000000001,0.8255336617405583,0.83
WBCIC,0,0,sub-6,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.835,0.830938292476754,0.835
WBCIC,0,0,sub-22,EEGNet,selected_best,True,200,0.72,0.7177134791813691,0.72
WBCIC,0,0,sub-22,LiteBN,selected_best,True,200,0.78,0.7794486215538847,0.78
WBCIC,0,0,sub-22,FROZEN-LOGIT50,selected_best,True,200,0.765,0.7628598097832942,0.765
WBCIC,0,0,sub-22,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.54,0.4470489241495372,0.54
WBCIC,0,0,sub-22,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.5549999999999999,0.472733197073373,0.555
WBCIC,0,0,sub-44,EEGNet,selected_best,True,200,0.77,0.7685185185185186,0.77
WBCIC,0,0,sub-44,LiteBN,selected_best,True,200,0.785,0.7826032002831214,0.785
WBCIC,0,0,sub-44,FROZEN-LOGIT50,selected_best,True,200,0.795,0.7922525398393758,0.795
WBCIC,0,0,sub-44,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.6699999999999999,0.6323529411764706,0.67
WBCIC,0,0,sub-44,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.685,0.6526916397916149,0.685
WBCIC,0,0,sub-35,EEGNet,selected_best,True,200,0.925,0.9249080123150859,0.925
WBCIC,0,0,sub-35,LiteBN,selected_best,True,200,0.885,0.8841630782402861,0.885
WBCIC,0,0,sub-35,FROZEN-LOGIT50,selected_best,True,200,0.9299999999999999,0.9299719887955182,0.93
WBCIC,0,0,sub-35,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.85,0.8465473145780051,0.85
WBCIC,0,0,sub-35,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.85,0.8465473145780051,0.85
WBCIC,0,0,sub-18,EEGNet,selected_best,True,200,0.61,0.5953937130407718,0.61
WBCIC,0,0,sub-18,LiteBN,selected_best,True,200,0.645,0.6410424934907354,0.645
WBCIC,0,0,sub-18,FROZEN-LOGIT50,selected_best,True,200,0.675,0.6743405395926751,0.675
WBCIC,0,0,sub-18,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.545,0.4326506437233081,0.545
WBCIC,0,0,sub-18,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.55,0.4479205005520795,0.55
WBCIC,0,0,sub-9,EEGNet,selected_best,True,200,0.5900000000000001,0.5729166666666666,0.59
WBCIC,0,0,sub-9,LiteBN,selected_best,True,200,0.55,0.5471014492753623,0.55
WBCIC,0,0,sub-9,FROZEN-LOGIT50,selected_best,True,200,0.6,0.5931237920862578,0.6
WBCIC,0,0,sub-9,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.54,0.4356520672310146,0.54
WBCIC,0,0,sub-9,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.5449999999999999,0.444698703279939,0.545
WBCIC,0,0,sub-49,EEGNet,selected_best,True,200,0.875,0.8749968749218731,0.875
WBCIC,0,0,sub-49,LiteBN,selected_best,True,200,0.875,0.8744696342045141,0.875
WBCIC,0,0,sub-49,FROZEN-LOGIT50,selected_best,True,200,0.895,0.8947869435607105,0.895
WBCIC,0,0,sub-49,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.76,0.7489277121037765,0.76
WBCIC,0,0,sub-49,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.77,0.7604166666666667,0.77
WBCIC,1,0,sub-28,EEGNet,selected_best,True,200,0.675,0.6747967479674797,0.675
WBCIC,1,0,sub-28,LiteBN,selected_best,True,200,0.545,0.4326506437233081,0.545
WBCIC,1,0,sub-28,FROZEN-LOGIT50,selected_best,True,200,0.575,0.49161159125571935,0.575
WBCIC,1,0,sub-28,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.5700000000000001,0.4724573671942093,0.57
WBCIC,1,0,sub-28,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.565,0.4634763035367396,0.565
WBCIC,1,0,sub-37,EEGNet,selected_best,True,200,0.885,0.8849280800500312,0.885
WBCIC,1,0,sub-37,LiteBN,selected_best,True,200,0.855,0.8547057792028858,0.855
WBCIC,1,0,sub-37,FROZEN-LOGIT50,selected_best,True,200,0.8999999999999999,0.899749373433584,0.9
WBCIC,1,0,sub-37,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.8899999999999999,0.8897243107769424,0.89
WBCIC,1,0,sub-37,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.88,0.8798076923076923,0.88
WBCIC,1,0,sub-12,EEGNet,selected_best,True,200,0.715,0.7148217636022514,0.715
WBCIC,1,0,sub-12,LiteBN,selected_best,True,200,0.75,0.74997499749975,0.75
WBCIC,1,0,sub-12,FROZEN-LOGIT50,selected_best,True,200,0.73,0.72997299729973,0.73
WBCIC,1,0,sub-12,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.75,0.75,0.75
WBCIC,1,0,sub-12,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.75,0.75,0.75
WBCIC,1,0,sub-30,EEGNet,selected_best,True,200,0.835,0.8342999171499585,0.835
WBCIC,1,0,sub-30,LiteBN,selected_best,True,200,0.77,0.7622984704423315,0.77
WBCIC,1,0,sub-30,FROZEN-LOGIT50,selected_best,True,200,0.8049999999999999,0.8013801532937791,0.805
WBCIC,1,0,sub-30,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.855,0.8548221571424997,0.855
WBCIC,1,0,sub-30,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.845,0.8448098921178444,0.845
WBCIC,1,0,sub-45,EEGNet,selected_best,True,200,0.935,0.9349853717086345,0.935
WBCIC,1,0,sub-45,LiteBN,selected_best,True,200,0.925,0.9249981249531238,0.925
WBCIC,1,0,sub-45,FROZEN-LOGIT50,selected_best,True,200,0.92,0.92,0.92
WBCIC,1,0,sub-45,JOINT-CE,EMA_epoch20_PRIMARY,True,200,0.94,0.9399759903961584,0.94
WBCIC,1,0,sub-45,NRRF-v1,EMA_epoch20_PRIMARY,True,200,0.9450000000000001,0.9449656035021888,0.945
WBCIC,1,0,sub-7,EEGNet,selected_best,True,200,0.8300000000000001,0.8289049919484701,0.83
