block,draw,subject,u_random,finite_logit_rms,delta_BA_random,persistence_random
P01_04,16,S015,-0.07819653693046232,0.448266318387684,-0.01785714285714285,30.451703594870033
P01_04,16,S018,-0.054886806420646465,0.41885808547491565,-0.016666666666666663,29.327296232875945
P01_04,16,S030,-0.031606408199293626,0.6574900774555179,0.1160714285714286,40.9659672624887
P01_04,16,S043,-0.16617863473408592,0.65147763361564,-0.08333333333333331,10.0956260049361
P01_04,16,S044,-0.3647303246292698,1.3820323042999711,0.016666666666666663,30.30345010377866
P01_04,16,S066,-0.17435840018418722,0.6508186419149581,0.0,3.778013284488835
P01_04,16,S072,-0.02508128996774839,0.5085626283396122,-0.04999999999999999,43.37854388521681
P01_04,16,S077,0.051460214714630345,0.8552370946138237,-0.012202380952380965,30.045298375480932
P01_04,16,S083,-0.13008428382299866,0.6306948676767117,-0.08705357142857142,31.440196379843968
P01_04,16,S088,-0.2129611882548771,0.9146784348259369,0.05263157894736842,24.738618167039974
P01_04,16,S095,-0.19416807230757585,0.9086601074977249,0.03348214285714285,22.861697737072003
P01_04,16,S097,0.04172727158919024,0.5362018652091535,-0.016666666666666663,25.36625462284979
P01_04,16,S102,0.03339384025583456,0.5907251307114398,-0.06666666666666665,34.46326866349645
P01_04,16,S106,-0.03008862446460375,0.7685090323351554,-0.0379464285714286,20.516151212537828
P01_04,17,S002,-0.008176370926070006,0.21399887427898218,-0.0625,29.007353459880548
P01_04,17,S015,0.037403943987807,0.225038887524722,0.0,30.076261120497982
P01_04,17,S018,-8.882758383286042e-05,0.27500801563476546,0.0,16.50900845497781
P01_04,17,S030,0.0027354402458708033,0.3512293862005608,0.046875,33.11764113220026
P01_04,17,S043,0.009813110819665108,0.3129880726370972,-0.04999999999999999,29.25159055527002
P01_04,17,S044,-0.04273528485571696,0.47293821202937747,0.016666666666666663,18.202877812790355
P01_04,17,S066,-0.012742347576919699,0.2895734617706915,-0.033333333333333354,20.453146540403115
P01_04,17,S072,0.021228875675200518,0.22232775490135098,-0.016666666666666663,44.60916056796625
P01_04,17,S077,-0.008759699894334779,0.2622244579093645,0.01785714285714285,25.174897529095144
P01_04,17,S083,0.023844047377223322,0.4250579818401744,-0.07142857142857142,33.255691345488835
