fold,seed,inner_fold,run,kind,draw,subject,n_trials,n_shifts,rescue_rate,harm_rate,net_rescue,stable_correct_rate,stable_wrong_rate,true_margin_change,correct_probability_change,prediction_flip_rate,ce_change,ba_change,confidence_change
0,0,0,0_0,matched_random,11,42,200,12,0.002916666666666667,0.0020833333333333333,0.0008333333333333335,0.7729166666666667,0.22208333333333333,-0.0002984018150406579,-0.00020597621478589525,0.005,0.0009243482875033635,0.000833333333333334,0.0003014650491774652
0,0,0,0_0,matched_random,11,43,200,12,0.0,0.005833333333333334,-0.005833333333333334,0.8441666666666666,0.15,-0.0005804930076313516,8.355891619315878e-05,0.005833333333333334,-0.0005912368649492861,-0.0058333333333334125,-0.00023600771957519608
0,0,0,0_0,matched_random,12,7,200,12,0.005,0.0004166666666666667,0.004583333333333333,0.7995833333333333,0.195,-0.00018506338315395018,0.00010590039597733488,0.005416666666666667,-0.0003389561118241545,0.00458333333333331,-1.4528119980657857e-05
0,0,0,0_0,matched_random,12,16,200,12,0.0016666666666666668,0.0,0.0016666666666666668,0.905,0.09333333333333334,-0.0005270445587423941,-3.200398396272251e-05,0.0016666666666666668,4.436348980559065e-05,0.001666666666666668,-3.782677412507924e-05
0,0,0,0_0,matched_random,12,24,200,12,0.002916666666666667,0.004166666666666667,-0.0012499999999999998,0.7058333333333333,0.28708333333333336,-0.00013677482570831974,-0.00013278017941983537,0.007083333333333333,0.0005956735391174695,-0.0012500000000000011,0.00017898191715440354
0,0,0,0_0,matched_random,12,37,200,12,0.0,0.0008333333333333334,-0.0008333333333333334,0.9741666666666666,0.025,-0.0006759196861336629,-5.527579482511119e-05,0.0008333333333333334,7.759830134249967e-05,-0.000833333333333334,-6.652622957273549e-05
0,0,0,0_0,matched_random,12,41,200,12,0.006666666666666667,0.005833333333333334,0.0008333333333333335,0.7191666666666666,0.2683333333333333,-0.00013441828778013588,-3.127739952268596e-05,0.0125,4.530806651885647e-05,0.000833333333333334,1.5980631131272867e-05
0,0,0,0_0,matched_random,12,42,200,12,0.0016666666666666668,0.0008333333333333334,0.0008333333333333334,0.7741666666666667,0.22333333333333333,-0.00019100153430675468,-9.209796693618357e-05,0.0025,0.00037822928605349415,0.000833333333333334,0.0001079085273751626
0,0,0,0_0,matched_random,12,43,200,12,0.0,0.005833333333333334,-0.005833333333333334,0.8441666666666666,0.15,-0.0003502448469710847,2.0502222500522033e-05,0.005833333333333334,-0.00021995140641235694,-0.005833333333333431,-9.703626532193717e-05
0,0,0,0_0,matched_random,13,7,200,12,0.007083333333333333,0.0004166666666666667,0.006666666666666666,0.7995833333333333,0.19291666666666665,0.00021629599194663266,-0.0001085051967206836,0.0075,0.000380685139402373,0.006666666666666636,7.879952055751867e-05
0,0,0,0_0,matched_random,13,16,200,12,0.0008333333333333334,0.0,0.0008333333333333334,0.905,0.09416666666666666,0.0004868413453611235,7.186385524811494e-06,0.0008333333333333334,1.5566578013716243e-05,0.000833333333333334,2.0841205820687028e-05
0,0,0,0_0,matched_random,13,24,200,12,0.004583333333333333,0.00375,0.0008333333333333335,0.70625,0.28541666666666665,0.00015763504818702738,0.00010729050315548003,0.008333333333333333,-0.0004341447587748732,0.000833333333333334,-6.498043939589022e-05
0,0,0,0_0,matched_random,13,37,200,12,0.0,0.0,0.0,0.975,0.025,0.0007196446352948745,3.4400512458501126e-05,0.0,-3.796088926742046e-05,0.0,4.696167016218731e-05
0,0,0,0_0,matched_random,13,41,200,12,0.01125,0.005833333333333334,0.005416666666666666,0.7191666666666666,0.26375,0.00013876133831217886,1.1338503305189552e-05,0.017083333333333332,6.261221429188296e-05,0.005416666666666671,0.00016637651577335096
0,0,0,0_0,matched_random,13,42,200,12,0.0008333333333333334,0.0004166666666666667,0.0004166666666666667,0.7745833333333333,0.22416666666666665,0.0002061554657605787,6.571054441052696e-05,0.00125,-0.0002528005520008885,0.000416666666666667,-9.719248366141955e-05
0,0,0,0_0,matched_random,13,43,200,12,0.0,0.0033333333333333335,-0.0033333333333333335,0.8466666666666667,0.15,0.00030436419105778136,-4.20275119463908e-05,0.0033333333333333335,0.0002678661653344369,-0.0033333333333333917,0.0001199240131266921
0,0,0,0_0,matched_random,14,7,200,12,0.008333333333333333,0.0008333333333333334,0.0075,0.7991666666666667,0.19166666666666668,-0.00018185268233840665,0.00019862578827364215,0.009166666666666667,-0.0006022928556215131,0.007499999999999951,-7.789527544731685e-06
