setting_id,fold,seed,method,lambda,I_ERM,I_method,S_I_abs,S_I_rel,checkpoint_sha256,task_outcome_accessed_for_selection
S4,2,1,MMD,0.1,0.07784878692184272,0.06813218483499184,0.009716602086850878,0.12481378928204971,f59ed96c24ce33a1ef61ff75d85ad1f8226f76074967ee63e32ad6917b843b02,False
S4,2,1,MMD,1.0,0.07784878692184272,0.07732650698716736,0.0005222799346753515,0.006708902672985671,f446ced8ff8e101b77b4324684d87e20e0a656150d0a8f5258b9e38b9a9dee47,False
S4,2,1,CORAL,0.01,0.07784878692184272,0.07826307362636187,-0.00041428670451915117,-0.005321684780133541,75e095bcb79b6f098fec09978576026f05cf84700803d22f6cfe43a90485bcdb,False
S4,2,1,CORAL,0.1,0.07784878692184272,0.08430417611008423,-0.0064553891882415115,-0.08292215516009979,0b8b98ea31ab6f435621db7f5ebb2627218bd0e81ae73fe2c11d81b1d43e032e,False
S4,2,1,CORAL,1.0,0.07784878692184272,0.08131178193929545,-0.00346299501745273,-0.04448360924217052,fb424caa7bf1446a7db8f4ed8126e6d061ecf09e3c60fda4cafed025eaf2cf2b,False
S4,2,2,DANN,0.01,0.07688820012576669,0.07059358049128739,0.006294619634479304,0.08186717368986753,56101d44643d3782c0e088ebb8c039acf36e22158b4054e2622066698f96a6a6,False
S4,2,2,DANN,0.1,0.07688820012576669,0.05975314465062631,0.01713505547514038,0.22285676406639204,b3ffbb74c21d5044bd6c69ac98097cb38bd7616a7e9e5fd0038676f8c0bd5c6e,False
S4,2,2,DANN,1.0,0.07688820012576669,0.07388399794568268,0.0030042021800840146,0.03907234367732555,154fa62296e41fb95c3774859470ac2eeb504921edc69e37d43aace9a5504a78,False
S4,2,2,MMD,0.01,0.07688820012576669,0.07688820012576669,0.0,0.0,a8d6b8cd468110f3d5c29f73a0a3fa7bd55cec479bc6bf4b953cb7b5b3a86a81,False
S4,2,2,MMD,0.1,0.07688820012576669,0.07688820012576669,0.0,0.0,15779af686a19d26ab4d7b542ce0fc4a7fc579e1d2a197f3fc370b8ef5c5f014,False
S4,2,2,MMD,1.0,0.07688820012576669,0.07688820012576669,0.0,0.0,a205c467bf9f9f4ffa48bd99040ea0b5a9879641b140ea16d2cc69c7111b1915,False
S4,2,2,CORAL,0.01,0.07688820012576669,0.07097907941153014,0.005909120714236549,0.07685341449655597,2dd81ed594475b452789e566cb85bc6a490bdeb2f564ee9236879bb4718421eb,False
S4,2,2,CORAL,0.1,0.07688820012576669,0.07719891412083046,-0.0003107139950637716,-0.004041114170334237,935b2d78abfb5e221ae37250754bad05d38253ebfe3865c9d32c75df0d608eb1,False
S4,2,2,CORAL,1.0,0.07688820012576669,0.07488930648725,0.0019988936385166856,0.025997404481065762,e425e116bd9faf6ff414d75d15196e31dd16f0e38a2e38cb77601fd5d3162360,False
S4,3,0,DANN,0.01,0.08716338040707416,0.07738013666850652,0.009783243738567649,0.11224029739054729,9cf17a3d7a7cc4b5a5234c1c608a1820fe2b2abb37844237e8342d67f2b2b678,False
S4,3,0,DANN,0.1,0.08716338040707416,0.06497809453943981,0.022185285867634352,0.2545253036741938,239e6b035196fb44081e203c7cb37bf1881193ad592aa2e59c5bbbe7e2ac2c14,False
S4,3,0,DANN,1.0,0.08716338040707416,0.0884929620604682,-0.0013295816533940297,-0.015253901892851175,51835deee0afd8db437499ac7c7715dfa34efc6f3c2d4a117f6363598c55a2a4,False
S4,3,0,MMD,0.01,0.08716338040707416,0.08716338040707416,0.0,0.0,12260bae192f79519fe88004347c9bdf0d4f5da4e14d8207526e913a0a21283b,False
S4,3,0,MMD,0.1,0.08716338040707416,0.0871633804009917,6.082467862711383e-12,6.978237689078827e-11,9b6358ea4724beca6274caea08f0bf0dc19390139cc45c6309ab4f5718c3ab5f,False
S4,3,0,MMD,1.0,0.08716338040707416,0.0873679386950057,-0.0002045582879315333,-0.0023468374789257776,e6b40e096500c52dd6f984cf560154beeab5df190bd3a214369c649f2effcb66,False
S4,3,0,CORAL,0.01,0.08716338040707416,0.08338238781131668,0.003780992595757482,0.043378223493122335,aba93435d8c9c82502a95af8139c14c47aa4e08a55f4e725ed773508ac88f0e3,False
S4,3,0,CORAL,0.1,0.08716338040707416,0.08864342628626276,-0.0014800458791885962,-0.01698013399961592,3cd53284d56465bad7bdff148e7992df690c866f9c8c71d3243e71209ba57414,False
S4,3,0,CORAL,1.0,0.08716338040707416,0.08295782605632795,0.00420555435074621,0.048249096479014465,568d393b850badbae78a5cde1b9a3890f8aae33097d1cd231e76a484b00134b6,False
S4,3,1,DANN,0.01,0.0881175746113203,0.0796030625091233,0.008514512102197003,0.09662671878631725,4a7116056923539d2fb25d01c783297ef763f5cf3ab9fffea768a6967c658ec1,False
S4,3,1,DANN,0.1,0.0881175746113203,0.064903211570986,0.023214363040334307,0.26344759422246455,cf3fa8a4c584fadbbb676ccb8ff9346cb8805be56f12535c421a5c0c937b1dba,False
S4,3,1,DANN,1.0,0.0881175746113203,0.12779863517111778,-0.039681060559797476,-0.4503194820599318,a385c53190787a7577c6611aaee4a3620e31b16b37862fa8e489ad6d3caa0e22,False
S4,3,1,MMD,0.01,0.0881175746113203,0.0881545324244144,-3.695781309409618e-05,-0.0004194147791367928,0a0d67037103f48ebd61982060ca7886fa0d84b2956efa191c29fd3331f61b96,False
S4,3,1,MMD,0.1,0.0881175746113203,0.08371793066433386,0.004399643946986442,0.04992924472039768,c0baa5fb41b5669de7234196b592554c7496ece574fd8836cc6bbf71f0e7b004,False
S4,3,1,MMD,1.0,0.0881175746113203,0.08053117654852171,0.007586398062798594,0.08609404078783948,45ecc00ad07fe0b320c40cda62291bb9ed6a8e67bb70742b60852cebcfc58933,False
S4,3,1,CORAL,0.01,0.0881175746113203,0.08409267130262243,0.004024903308697869,0.04567651034888017,564798bcf609ad9fb5f98b8eb8934baa4f298c9a4a84eca1a25d95844630d4b5,False
S4,3,1,CORAL,0.1,0.0881175746113203,0.07513660289314394,0.01298097171817636,0.14731421938571382,3029a8ba3b0071cca9e5617a4f6eed6948904d35049662d374a7f17d8be8dfbd,False
S4,3,1,CORAL,1.0,0.0881175746113203,0.09020124888318404,-0.0020836742718637336,-0.02364652319393731,455b99b056b30c92b8d3e7600dc3cf88be41df171f2c6856c333a1dd6c97be56,False
S4,3,2,DANN,0.01,0.08779341538198238,0.07195347042860245,0.015839944953379925,0.18042292675687718,a03b37d58f4cef787f23477c993e5c8c2dc4c6045ecd2005fe1135253f6ac5d3,False
S4,3,2,DANN,0.1,0.08779341538198238,0.05634968627191972,0.03144372911006266,0.3581558932739461,fe1d88fdb428736d34fe6de5e1938fc3a6f45772b230e46b36bfff392b4dd06d,False
S4,3,2,DANN,1.0,0.08779341538198238,0.11216616053338258,-0.0243727451514002,-0.2776147282239636,52e7a558a6369f612054edf7f780850f5b9d2f149c6fa292fee89cbc3a9df193,False
S4,3,2,MMD,0.01,0.08779341538198238,0.08779341538198238,0.0,0.0,a654927f60599359e67c3fc2b48cffe56864cda51e17de57a83065abdc216a50,False
S4,3,2,MMD,0.1,0.08779341538198238,0.08779341538198238,0.0,0.0,21189fe72ef37f63bf9357371c6deb59918eefe1bd58a0e055e64a0ab44d9ee5,False
S4,3,2,MMD,1.0,0.08779341538198238,0.08779341538198238,0.0,0.0,5092f25e0fed1d0e08cbf4dce40ba07581d4295dbfbd7054a34cfc1a4302525d,False
S4,3,2,CORAL,0.01,0.08779341538198238,0.09016771835212167,-0.002374302970139297,-0.02704420325581188,f524d770dc9cca86de689f6690e6eec558c02aaa472b43028a8749cc9c905baa,False
S4,3,2,CORAL,0.1,0.08779341538198238,0.0863701759867348,0.0014232393952475775,0.016211231662864024,8888de73ee8c6100d3cbd16fe5580030e243419d61e8aa3a2b5155b177cd0312,False
S4,3,2,CORAL,1.0,0.08779341538198238,0.06935308607023516,0.018440329311747217,0.21004228200150005,b23695e287839a6a80a39eecde8f8d74692a37cc1aa19a2598ee95249ac991e5,False
S4,4,0,DANN,0.01,0.0811204581734215,0.07697042995042502,0.0041500282229964824,0.05115883608637024,752a83e56acc3bbc883a21e4931da85afd9abe87369948e66b5170d0b3986186,False
S4,4,0,DANN,0.1,0.0811204581734215,0.07328807647857527,0.007832381694846235,0.09655248344388545,513a8a4e8ea2c1ebcd6d4d8d5257b87505a0c0a5e53122172c68c2db7d6a1019,False
S4,4,0,DANN,1.0,0.0811204581734215,0.08785596271685336,-0.006735504543431858,-0.08303089867847496,d254f146135f686497d5637ef9ea437cc2d5462f4d47247d52f8e1c400b47141,False
S4,4,0,MMD,0.01,0.0811204581734215,0.07230359886708837,0.008816859306333136,0.10868848012884157,34dcb5ce0b6ed845653efa34b58479bca09a08399e8751f18ba62b8535172a9b,False
S4,4,0,MMD,0.1,0.0811204581734215,0.07206341349802803,0.009057044675393477,0.11164932840886369,86d9c8be663914a3346bc5faf06816ae77666d84f7df03d66dbaa083a1d5469a,False
S4,4,0,MMD,1.0,0.0811204581734215,0.06414835981440636,0.016972098359015142,0.20922093810814665,abd1fcb3c59ff229ae0e4dd71e1787579467dc6481909402f4232e853802c59d,False
