dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,baseline,baseline_BA,delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-37,0.855,0.855,0.8549093183239524,0.3853028302903327,0.12115562386282037,0.11497304499096496,current,0.845,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-38,0.48,0.48,0.4736309343050916,0.7108363135490456,0.25931379586713055,0.1234518404549452,current,0.515,-0.03500000000000003,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-41,0.875,0.875,0.8749968749218731,0.240702347906213,0.07803406156572916,0.056007773341893205,current,0.89,-0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-42,0.69,0.69,0.6899689968996899,0.5552206314742107,0.19223118338163248,0.10928508474259661,current,0.69,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-44,0.86,0.86,0.86,0.34444285497396265,0.10788462964442908,0.07852394173263635,current,0.845,0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-45,0.955,0.955,0.9549988749718743,0.19194607340243522,0.04966514161385364,0.08219641663589573,current,0.945,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-47,0.97,0.97,0.96999699969997,0.16990850016540765,0.04303927654156347,0.09416592424093653,current,0.965,0.0050000000000000044,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-48,0.84,0.84,0.8399359743897559,0.3687401249467054,0.11931368486147431,0.07897501670477425,current,0.835,0.0050000000000000044,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-49,0.885,0.885,0.8849971249281232,0.2768863751931035,0.08357760059855458,0.07758009715159261,current,0.895,-0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-5,0.785,0.785,0.7849946248656217,0.36632911898563336,0.12676271873328296,0.08169956907854517,current,0.81,-0.025000000000000022,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-50,0.965,0.965,0.9649991249781245,0.09473974797542968,0.02635308480276478,0.03068495398507707,current,0.965,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-6,0.925,0.925,0.9249831212022706,0.15289030551919955,0.04978217461525944,0.04840440921133607,current,0.9199999999999999,0.0050000000000001155,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-7,0.8200000000000001,0.82,0.818840579710145,0.3732509598655771,0.12359999049184,0.10257177706875295,current,0.8049999999999999,0.015000000000000124,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-9,0.56,0.56,0.5555555555555556,0.6710565733679823,0.2423744049523391,0.13878508468248532,current,0.5900000000000001,-0.030000000000000027,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-1,0.94,0.94,0.9399459513562206,0.25219606354741697,0.06709895901733302,0.14706717738128522,current,0.965,-0.025000000000000022,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-11,0.75,0.75,0.74997499749975,0.4822095693326645,0.16070793971642175,0.08611656845930504,current,0.75,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-12,0.76,0.76,0.7580401250126021,0.5766983430518541,0.19431108696967736,0.17811987788710665,current,0.7350000000000001,0.02499999999999991,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-13,0.845,0.845,0.8446854881134297,0.3345700838318759,0.10150521769867737,0.10445245494423207,current,0.865,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-14,0.49,0.49,0.4729226953286482,0.7087081813176556,0.25683559897408315,0.09050429526483962,current,0.6000000000000001,-0.1100000000000001,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-16,0.565,0.565,0.5569249573476611,0.7447773099836584,0.2643209532781929,0.14369861229567027,current,0.5700000000000001,-0.0050000000000001155,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-17,0.865,0.865,0.8649966249156229,0.3103237409535387,0.09774814848056117,0.07668196466293903,current,0.845,0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-18,0.62,0.62,0.6199619961996199,0.6418418247773817,0.22495962279757328,0.08191739885813051,current,0.6499999999999999,-0.029999999999999916,False
