expert,subject_id,configuration,candidate_order,history_cv_BA,history_cv_worst_session_BA,history_cv_NLL,selected,target_sessions_used,target_S3_labels_used_for_fit,OUTER_TEST_USED
EEGNet_STABLE,sub-28,"{'family': 'logistic', 'C': 0.01}",1,0.8325,0.8200000000000001,0.4134109772017478,False,"S1,S2",False,False
EEGNet_STABLE,sub-28,"{'family': 'logistic', 'C': 0.1}",2,0.8350000000000001,0.8200000000000001,0.3791832349007629,True,"S1,S2",False,False
EEGNet_STABLE,sub-28,"{'family': 'logistic', 'C': 1.0}",3,0.8025,0.79,0.41512336539063144,False,"S1,S2",False,False
EEGNet_STABLE,sub-29,"{'family': 'logistic', 'C': 0.001}",0,0.5349999999999999,0.495,0.6921503797476296,False,"S1,S2",False,False
EEGNet_STABLE,sub-29,"{'family': 'logistic', 'C': 0.01}",1,0.525,0.47,0.7257910929616995,False,"S1,S2",False,False
EEGNet_STABLE,sub-29,"{'family': 'logistic', 'C': 0.1}",2,0.5525,0.49,0.8509976062794578,False,"S1,S2",False,False
EEGNet_STABLE,sub-29,"{'family': 'logistic', 'C': 1.0}",3,0.5625,0.505,1.1364431824006849,True,"S1,S2",False,False
EEGNet_STABLE,sub-3,"{'family': 'logistic', 'C': 0.001}",0,0.9075,0.875,0.5423457026612388,False,"S1,S2",False,False
EEGNet_STABLE,sub-3,"{'family': 'logistic', 'C': 0.01}",1,0.9199999999999999,0.8899999999999999,0.323035122248622,False,"S1,S2",False,False
EEGNet_STABLE,sub-3,"{'family': 'logistic', 'C': 0.1}",2,0.9225,0.895,0.22385854924480303,True,"S1,S2",False,False
EEGNet_STABLE,sub-3,"{'family': 'logistic', 'C': 1.0}",3,0.8975,0.865,0.2507763486866479,False,"S1,S2",False,False
EEGNet_STABLE,sub-30,"{'family': 'logistic', 'C': 0.001}",0,0.9349999999999999,0.9299999999999999,0.5251680865294416,False,"S1,S2",False,False
EEGNet_STABLE,sub-30,"{'family': 'logistic', 'C': 0.01}",1,0.9400000000000001,0.925,0.2696506742229541,False,"S1,S2",False,False
EEGNet_STABLE,sub-30,"{'family': 'logistic', 'C': 0.1}",2,0.95,0.94,0.16685167118580957,True,"S1,S2",False,False
EEGNet_STABLE,sub-30,"{'family': 'logistic', 'C': 1.0}",3,0.945,0.94,0.18554678579320563,False,"S1,S2",False,False
EEGNet_STABLE,sub-31,"{'family': 'logistic', 'C': 0.001}",0,0.645,0.585,0.6665567322954647,True,"S1,S2",False,False
EEGNet_STABLE,sub-31,"{'family': 'logistic', 'C': 0.01}",1,0.6175,0.5700000000000001,0.658890360428126,False,"S1,S2",False,False
EEGNet_STABLE,sub-31,"{'family': 'logistic', 'C': 0.1}",2,0.58,0.565,0.7699333566227361,False,"S1,S2",False,False
EEGNet_STABLE,sub-31,"{'family': 'logistic', 'C': 1.0}",3,0.5375000000000001,0.525,0.9410305747399803,False,"S1,S2",False,False
EEGNet_STABLE,sub-32,"{'family': 'logistic', 'C': 0.001}",0,0.5887626262626262,0.5825252525252526,0.6867538324466846,True,"S1,S2",False,False
EEGNet_STABLE,sub-32,"{'family': 'logistic', 'C': 0.01}",1,0.5712373737373737,0.5574747474747475,0.6808270823489116,False,"S1,S2",False,False
EEGNet_STABLE,sub-32,"{'family': 'logistic', 'C': 0.1}",2,0.5837626262626263,0.5725252525252525,0.7117577612994961,False,"S1,S2",False,False
EEGNet_STABLE,sub-32,"{'family': 'logistic', 'C': 1.0}",3,0.5887373737373738,0.5700000000000001,0.79943717415125,False,"S1,S2",False,False
EEGNet_STABLE,sub-33,"{'family': 'logistic', 'C': 0.001}",0,0.9425,0.925,0.4996850952734192,False,"S1,S2",False,False
EEGNet_STABLE,sub-33,"{'family': 'logistic', 'C': 0.01}",1,0.945,0.9299999999999999,0.265032668648217,False,"S1,S2",False,False
EEGNet_STABLE,sub-33,"{'family': 'logistic', 'C': 0.1}",2,0.9475,0.935,0.17281931067425277,True,"S1,S2",False,False
EEGNet_STABLE,sub-33,"{'family': 'logistic', 'C': 1.0}",3,0.9299999999999999,0.9099999999999999,0.19769861505182815,False,"S1,S2",False,False
EEGNet_STABLE,sub-34,"{'family': 'logistic', 'C': 0.001}",0,0.4675,0.45,0.6945551097120093,False,"S1,S2",False,False
EEGNet_STABLE,sub-34,"{'family': 'logistic', 'C': 0.01}",1,0.49,0.47,0.7124971493974537,True,"S1,S2",False,False
EEGNet_STABLE,sub-34,"{'family': 'logistic', 'C': 0.1}",2,0.475,0.475,0.7751124127901317,False,"S1,S2",False,False
EEGNet_STABLE,sub-34,"{'family': 'logistic', 'C': 1.0}",3,0.45499999999999996,0.445,0.8613893855395718,False,"S1,S2",False,False
EEGNet_STABLE,sub-35,"{'family': 'logistic', 'C': 0.001}",0,0.965,0.96,0.393496360104167,False,"S1,S2",False,False
