benchmark,outer_fold,subject_id,component_id,P_persistence,G_task_overlap,R_history_transfer,future_ce_gain,future_ba_gain,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_01,-0.39441973446006656,0.33069332942078355,-0.020298351699114467,-0.009882540869041709,0.0,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_02,-0.6485543530248893,0.26461678118046145,-0.017018809486466543,-0.015268137481582011,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_03,-0.7521781058615151,0.2617871244814453,-0.02647729701283283,-0.002135553181070074,0.0,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_04,0.13536873940704486,0.46234684296466233,-0.00026865293985652017,-0.0017918610168413257,0.0,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_05,0.16436625587108009,0.30784103257367657,-0.006418113393293193,-0.006921867564045586,0.0,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_06,0.3610968459089305,0.4294336164571696,0.003039836707611182,0.001671354647874157,0.0,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_07,0.07602351478116609,0.35919281922127844,-0.0002910663775900213,-0.0017149626290825781,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_FULL_S025,0.7061417678946583,0.2770270981000445,0.00340386793679584,0.009059487179011005,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_FULL_S050,0.706141767894658,0.2770270981000445,0.0044028460690387905,0.016008194870124615,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_00,0.7644537312200536,0.19840839382776998,0.005175304184313556,0.013613060136383748,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_01,-0.19421599085595298,0.23774717577597448,-0.014981084332632774,0.003618591714434072,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_02,0.26052551020490994,0.46297963711029344,0.012279658810111303,0.002449024915923248,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_03,0.06395857691116512,0.2951385809099578,-0.007890748271928358,0.009346936436313569,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_04,0.0458600668582009,0.37117430743972907,-0.0020980811576923886,-0.004098278228736596,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_05,-0.07834849977666318,0.2944787373771877,-0.015172850672031155,-0.0052587051687794095,0.0,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_06,0.10284242346020657,0.23926669550122995,-0.010950662365976527,-0.001208956981596565,0.0,False
OpenBMI_MI_S1_to_S2,0,39,META_SGD_PC_GROUP_07,-0.055285044387411615,0.24795703515075262,-0.012840398059030797,0.005880435387290883,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_FULL_S025,0.891208487452805,0.2889888551946903,0.005738841253593217,0.004044098224192355,0.0,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_FULL_S050,0.8912084874528049,0.28898885519469036,0.010435687110013081,0.006965515132587863,0.0,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_00,0.9068044854611003,0.24447400884898948,0.00972338356939341,0.005936461479327776,0.0,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_01,0.153692730969011,0.28776147034629174,0.00041163369123632665,0.009214739390169618,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_02,0.5832054247041358,0.38872093414760145,0.007419133022326253,-0.0027995245901266674,-0.01000000000000012,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_03,0.10916595087416557,0.3611890130976618,-0.0027929335605248948,-0.04386773488989937,-0.01000000000000012,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_04,-0.08961976970760335,0.339536399965517,-0.012180484248570628,-0.008431037405592534,0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_05,0.7927433486472567,0.37193129509481676,0.014007168005774277,-0.016981952382961296,0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_06,0.14445469513875608,0.3226375935281346,0.002574412941203419,-0.0497631711705937,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,5,META_SGD_PC_GROUP_07,-0.31236327515738915,0.1673364236717651,-0.01502569175333715,0.01021457200409212,0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,18,META_SGD_FULL_S025,-0.4306764689161919,0.27692320508282864,-0.002834486263797488,0.0127914903981238,0.0,False
OpenBMI_MI_S1_to_S2,0,18,META_SGD_FULL_S050,-0.4306764689161917,0.27692320508282864,-0.007947829619366555,0.02349855403047585,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,18,META_SGD_PC_GROUP_00,-0.7754272791587771,0.16821799519334277,-0.015865769784037843,0.022604109508850445,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,18,META_SGD_PC_GROUP_01,0.6969577100544408,0.3344883820825416,0.01490928916171979,0.005586519568314019,0.0,False
OpenBMI_MI_S1_to_S2,0,18,META_SGD_PC_GROUP_02,-0.3351969946592374,0.26632477370618174,-0.028856791998816196,-0.006467035125678561,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,18,META_SGD_PC_GROUP_03,0.5745799161281002,0.516977478194663,0.02837983485156774,0.008713111817644281,0.0,False
