benchmark,outer_fold,subject_id,role,base_kind,component_id,family,strength,c_value,group,history_base_ce,history_base_ba,history_margin_mean,history_margin_std,history_entropy_mean,history_prototype_separation,history_gradient_norm,history_session_drift,history_samples,update_rms,update_mean_abs,history_component_ce_gain,history_component_ba_gain,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,split_update_disagreement,U_signed_utility_prior,future_ce_gain,future_ba_gain,meta_query_label_used_for_utility_target,evaluation_future_label_used_for_controller_fit,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,RIDGE_C01_A50,ridge_head,0.5,0.1,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.3353057888244045,0.2720375940647348,0.011502313561903232,0.010000000000000009,0.931839343460772,0.01,0.37480528966592336,-0.00028430020134186107,0.20766103190398227,0.0,-0.04960703297931185,-0.039999999999999925,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,RIDGE_C1_A50,ridge_head,0.5,1.0,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,1.2420233197469805,1.1658939671619486,0.02852074606129413,0.020000000000000018,0.8492759122850055,0.02,0.31329154290955147,0.010601493928792562,0.468911377188022,0.0,-0.13151137571007593,-0.05999999999999994,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,SHRINKAGE_LDA_A50,shrinkage_lda,0.5,0.1,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,5.7240716689424715,5.680560372324907,0.04438296948088263,0.020000000000000018,0.9189354315145987,0.02,0.3960269728156729,-0.10862843814374751,2.30448277362379,0.0,-0.41443063459304325,-0.020000000000000018,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.5,0.1,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.370124426686773,0.31264526407860854,0.0016168301042861072,0.010000000000000009,0.9387301800217085,0.01,0.08684257032045764,-0.002577087449031023,0.2127456195222385,0.0,-0.00202748182847845,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_FULL_S025,meta_sgd,0.25,0.1,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.25,0.2411361062483894,0.005256576297828407,0.0,0.9411585797103804,0.0,0.20676764486907917,0.0035772165490543482,0.08584206545290812,0.0,-0.006128896638003423,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_FULL_S050,meta_sgd,0.5,0.1,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.4999999999999999,0.48227221249677865,0.00972745737441192,0.0,0.9411585797103805,0.0,0.2067676448690792,0.006438536829346017,0.1716841309058162,0.0,-0.0136765648660081,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_00,projected_gradient,0.5,0.1,0,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.5000000000000001,0.4792298054478944,0.007982768610202758,0.0,0.935352594057907,0.0,0.17038923834537498,0.005788227210154543,0.18156331542994802,0.0,-0.016289710347251102,-0.019999999999999907,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_01,projected_gradient,0.5,0.1,1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.5,0.4003902453839611,0.011303495853609485,0.010000000000000009,0.8175276389106937,0.01,0.3140642112395361,0.005751077409741814,0.28998129280244384,0.0,-0.010267922799319568,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_02,projected_gradient,0.5,0.1,2,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.49999999999999994,0.3986582915589994,0.014099632211071949,0.010000000000000009,0.4074611374131608,0.01,0.33605126846510536,0.0040819744920091786,0.5259146559349575,0.0,-0.0077300283784654256,0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_03,projected_gradient,0.5,0.1,3,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.5,0.428279851560921,0.013549927865060152,0.010000000000000009,0.766939646548485,0.01,0.34118089270157137,0.005328674617067274,0.3312129967378272,0.0,0.020805803394206596,0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_04,projected_gradient,0.5,0.1,4,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.5,0.4106651614874243,0.015920448841637704,0.020000000000000018,0.6248323100819172,0.02,0.3603431888105824,0.007779665917986411,0.4180117274993599,0.0,-0.006811728655622518,-0.019999999999999907,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_05,projected_gradient,0.5,0.1,5,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.4999999999999999,0.37504717449616687,0.013318108083106295,0.010000000000000009,0.24222850271209928,0.01,0.3598028000400495,-2.3187897046878653e-05,0.6093006474871692,0.0,-0.013928477201904266,-0.030000000000000027,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_06,projected_gradient,0.5,0.1,6,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.5,0.40254669436054624,0.011754356989714658,0.0,0.4002690162365304,0.0,0.29802092546438735,0.0010242947771426543,0.5268695269232536,0.0,0.0003536654660570848,-0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,META_SGD_PC_GROUP_07,projected_gradient,0.5,0.1,7,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.5,0.3811693185368479,0.01560696819862862,0.010000000000000009,0.4832325884481271,0.01,0.41695209869425637,0.0056604349944261965,0.4993137761435371,0.0,-0.017059258022070645,-0.019999999999999907,True,False,False
OpenBMI_MI_S1_to_S2,0,27,meta_train,raw,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,0.12173008009124496,0.97,2.9152372252196073,1.356915396156595,0.2521952810762158,8.154866079103762,0.2443210447006339,0.0,100.0,0.13932283967415285,0.12251207696112822,0.006034349033815847,0.0,0.9769588424729437,0.0,0.27334118425657333,-0.008336449142745131,0.04775749351430482,0.0,0.0013190351104557518,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,27,meta_train,raw,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,0.12173008009124496,0.97,2.9152372252196073,1.356915396156595,0.2521952810762158,8.154866079103762,0.2443210447006339,0.0,100.0,1.5158888938253439,1.3790036181664909,0.04047659692861191,-0.010000000000000009,0.9782299239146747,0.01,0.2548155102730943,0.030418157793271082,0.32186347187486697,0.0,0.008042282944110801,0.0,True,False,False
