benchmark,outer_fold,subject_id,component_id,family,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,future_ce_gain,future_ba_gain,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,1,28,META_SGD_FULL_S050,meta_sgd,0.4900758064318021,0.01,0.43962025463906046,0.0020882836471480676,-0.0005145194569636247,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_00,projected_gradient,0.5740471089318144,0.01,0.3439431923704457,0.0025793589087624164,2.5243635768640305e-05,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_01,projected_gradient,0.3191776879745787,0.0,0.2680107583211944,-0.005528729411604989,-0.0005886391556948339,0.0,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_02,projected_gradient,0.19047100180371893,0.01,0.37071573239679917,-0.0037147281690783213,-0.014498325573164175,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_03,projected_gradient,0.057740211369529185,0.02,0.3739047900448903,0.001653937551857186,0.010704667638140958,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_04,projected_gradient,0.030172506153239277,0.02,0.5262613775501988,0.005948696301252082,-0.005792449863622012,0.0,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_05,projected_gradient,-0.594545432658401,0.01,0.3520061914514343,-0.02395907894473598,-0.014935269761680997,0.0,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_06,projected_gradient,-0.6495851610622908,0.01,0.26729393280153046,-0.02291941341506714,-0.00850810521486152,0.0,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_PC_GROUP_07,projected_gradient,0.7912912161106339,0.0,0.38006709825838836,0.013721081916188316,-0.014489607705515634,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,15,CALIBRATE_C01_A50,calibration,0.9999543624005384,0.0,-0.02243802541214275,-0.007319836017218837,-0.00978951833600089,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,15,CALIBRATE_C1_A50,calibration,0.9226829204930552,0.01,0.174989559661873,0.00977404428799429,0.0008275212045371627,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,15,RIDGE_C001_A50,ridge_head,0.9995794048293642,0.0,-0.06577298003468338,-0.02944188260295389,-0.048792642271087094,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,15,RIDGE_C01_A50,ridge_head,0.9405351975596129,0.02,0.2235698493134961,-0.007790422673963467,-0.01339836250799914,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,15,RIDGE_C1_A50,ridge_head,0.6809437718372443,0.03,0.3804888218820692,0.005408642021841159,0.008497878975094464,0.0,False
OpenBMI_MI_S1_to_S2,1,15,SHRINKAGE_LDA_A50,shrinkage_lda,0.9833452079833092,0.02,0.3027872804411301,-0.0006420890914209318,-0.18499844224502054,-0.040000000000000036,False
OpenBMI_MI_S1_to_S2,1,15,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.9865352936841808,0.01,0.08762492106909685,-0.0031051622451536906,-0.03987340159291411,0.0,False
OpenBMI_MI_S1_to_S2,1,15,META_SGD_FULL_S025,meta_sgd,0.33283796098548624,0.01,0.3317651066573799,0.0011359517252148635,0.0035179560902882656,0.0,False
OpenBMI_MI_S1_to_S2,1,15,META_SGD_FULL_S050,meta_sgd,0.33283796098548624,0.01,0.3317651066573799,0.0011966751113755072,0.0056644957638181115,0.0,False
OpenBMI_MI_S1_to_S2,1,15,META_SGD_PC_GROUP_00,projected_gradient,0.39868161172822886,0.01,0.22317632916285685,-0.00241543491635942,0.007511498137892078,0.0,False
OpenBMI_MI_S1_to_S2,1,15,META_SGD_PC_GROUP_01,projected_gradient,0.2132529759664275,0.02,0.3840371029067827,0.007204222454578708,-0.02275164388575021,-0.020000000000000018,False
