benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-50,4,0.945,0.10030969225176149
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-6,3,0.9199999999999999,0.15098523726961993
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-7,4,0.865,0.30925543025375835
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,sub-9,2,0.63,0.6212690174650619
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-1,0,0.965,0.16319016000016695
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-11,1,0.755,0.45302215252417866
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-12,4,0.745,0.4467896120880623
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-13,1,0.9099999999999999,0.25540319067008843
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-14,4,0.545,0.7113980657909219
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-16,0,0.575,0.7287859102580841
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-17,4,0.88,0.31093900610003083
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-18,1,0.64,0.6089870850744645
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-19,0,0.96,0.11425664438187497
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-2,1,0.76,0.46813862198520384
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-21,0,0.885,0.2597760869162143
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-22,2,0.8200000000000001,0.3856793064758627
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-23,3,0.985,0.05992960965054398
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-24,3,0.9434974747474747,0.13156842993687837
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-25,2,0.98,0.05980979671691875
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-26,2,0.76,0.4844547244119877
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-27,1,0.665,0.6204206227187657
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-28,0,0.72,0.49573997856347046
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-29,2,0.955,0.17515545842710664
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-3,0,0.8999999999999999,0.25765754318041284
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-30,3,0.895,0.29954991146881127
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-31,3,0.59,0.7604440939183595
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-32,4,0.64,0.6437390144317863
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-33,0,0.975,0.09137963389760353
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-34,2,0.5700000000000001,0.7783117762304266
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-35,2,0.96,0.14476303712937383
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-36,1,0.98,0.05087334154629126
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-37,0,0.89,0.357393818626295
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-38,3,0.505,0.7466310961992195
