benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-33,0,0.975,0.10142079984447303
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-34,2,0.5900000000000001,0.7252968348321197
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-35,2,0.95,0.12485003749415835
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-36,1,0.99,0.04661537361803467
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-37,0,0.895,0.2699362322099699
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-38,3,0.495,0.7902051864349001
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-41,3,0.875,0.2515303828190551
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-42,3,0.735,0.5163992484133655
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-44,1,0.86,0.34474415505397615
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-45,1,0.955,0.12787238588138083
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-47,4,0.965,0.11934878655064683
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-48,4,0.86,0.2969378768950461
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-49,2,0.905,0.2551888638789304
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-5,0,0.8,0.38705814098962166
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-50,4,0.95,0.09200413402694176
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-6,3,0.935,0.15045855560892396
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-7,4,0.82,0.4144530050576735
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-9,2,0.595,0.643649082902302
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-1,0,0.71,0.6644262134396643
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-11,1,0.69,0.6176441623470629
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-12,4,0.76,0.4517009057563417
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-13,1,0.71,0.5277612174164024
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-14,4,0.545,0.7346552215794031
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-16,0,0.5,0.744425027998298
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-17,4,0.725,0.5142625701049001
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-18,1,0.62,0.6364098805466384
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-19,0,0.97,0.08512591260155096
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-2,1,0.82,0.4212124716122444
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-21,0,0.77,0.44590746409609366
