scope,task,dataset,fold,seed,subject_id,model,BA,macro_F1,accuracy,trials,checkpoint_path,checkpoint_sha256,normalizer_sha256
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,13,LiteBN-G,0.76,0.7583447137454107,0.76,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold1_seed0/selected_best.pt,675a76578fa66991777502c6d6212fdd3e516bd37cc853e8c1361ee9a7d7478c,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,17,B0,0.9199999999999999,0.9190548014077426,0.92,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,17,LiteBN-G,0.9199999999999999,0.9190548014077426,0.92,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold1_seed0/selected_best.pt,675a76578fa66991777502c6d6212fdd3e516bd37cc853e8c1361ee9a7d7478c,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,18,B0,1.0,1.0,1.0,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,18,LiteBN-G,1.0,1.0,1.0,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold1_seed0/selected_best.pt,675a76578fa66991777502c6d6212fdd3e516bd37cc853e8c1361ee9a7d7478c,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,24,B0,0.94,0.9401569858712716,0.94,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,24,LiteBN-G,0.94,0.9401569858712716,0.94,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold1_seed0/selected_best.pt,675a76578fa66991777502c6d6212fdd3e516bd37cc853e8c1361ee9a7d7478c,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,25,B0,0.98,0.979779411764706,0.98,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,25,LiteBN-G,0.98,0.979779411764706,0.98,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold1_seed0/selected_best.pt,675a76578fa66991777502c6d6212fdd3e516bd37cc853e8c1361ee9a7d7478c,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,29,B0,0.96,0.9599679487179488,0.96,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,29,LiteBN-G,0.96,0.9599679487179488,0.96,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold1_seed0/selected_best.pt,675a76578fa66991777502c6d6212fdd3e516bd37cc853e8c1361ee9a7d7478c,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
