fold,seed,run,audit_fold,block,rank,assignment,fit_subject_count,identity_full_skill,identity_erased_skill,identity_evidence,identity_full_ce,identity_erased_ce,identity_full_top1_ba,identity_erased_top1_ba,identity_null_mean,identity_null_q95,identity_null_sd,identity_measurement_competent,identity_coordinates,outer_test_used,outer_membership_enumerated
1,0,1_0,0,4,4,protected,20,0.1993845282084703,0.18480560981290917,0.014578918395561136,2.7963477453455203,2.810926663741082,0.46625,0.43650000000000005,-0.0076178214507924375,0.01679371584476405,0.014846437426220252,True,"[9, 10, 11, 12]",False,False
1,0,1_0,0,5,4,uncertain,20,0.1993845282084703,0.18607537286382936,0.013309155344640944,2.7963477453455203,2.8096569006901615,0.46625,0.44775,-0.0076178214507924375,0.01679371584476405,0.014846437426220252,True,"[13, 14, 15, 16]",False,False
1,0,1_0,0,6,3,protected,20,0.1993845282084703,0.19439682576274153,0.00498770244572877,2.7963477453455203,2.8013354477912493,0.46625,0.4525,-0.0076178214507924375,0.01679371584476405,0.014846437426220252,True,"[17, 18, 19]",False,False
1,0,1_0,1,0,1,neutral,20,0.2255206989602585,0.18963539327110968,0.03588530568914883,2.7702115745937324,2.8060968802828814,0.49075,0.4417500000000001,-0.008160633034128513,0.02141277980502986,0.015560939161772216,True,[0],False,False
1,0,1_0,1,1,2,neutral,20,0.2255206989602585,0.18579059632922768,0.03973010263103083,2.7702115745937324,2.809941677224763,0.49075,0.44600000000000006,-0.008160633034128513,0.02141277980502986,0.015560939161772216,True,"[1, 2]",False,False
1,0,1_0,1,2,2,neutral,20,0.2255206989602585,0.17408765835686713,0.05143304060339138,2.7702115745937324,2.8216446151971235,0.49075,0.40375000000000005,-0.008160633034128513,0.02141277980502986,0.015560939161772216,True,"[3, 4]",False,False
1,0,1_0,1,3,4,uncertain,20,0.2255206989602585,0.18064148535780933,0.044879213602449175,2.7702115745937324,2.8150907881961817,0.49075,0.436,-0.008160633034128513,0.02141277980502986,0.015560939161772216,True,"[5, 6, 7, 8]",False,False
1,0,1_0,1,4,4,protected,20,0.2255206989602585,0.20666773345978617,0.01885296550047233,2.7702115745937324,2.7890645400942047,0.49075,0.4774999999999999,-0.008160633034128513,0.02141277980502986,0.015560939161772216,True,"[9, 10, 11, 12]",False,False
1,0,1_0,1,5,4,uncertain,20,0.2255206989602585,0.22119623040257652,0.004324468557681982,2.7702115745937324,2.7745360431514143,0.49075,0.4882500000000001,-0.008160633034128513,0.02141277980502986,0.015560939161772216,True,"[13, 14, 15, 16]",False,False
1,0,1_0,1,6,3,protected,20,0.2255206989602585,0.21672640587985081,0.008794293080407689,2.7702115745937324,2.7790058676741403,0.49075,0.47250000000000003,-0.008160633034128513,0.02141277980502986,0.015560939161772216,True,"[17, 18, 19]",False,False
1,0,1_0,2,0,1,neutral,20,0.22507295281585504,0.1869246745723503,0.03814827824350475,2.770659320738136,2.8088075989816406,0.534,0.45674999999999993,-0.007908452483452484,0.016203301371302277,0.014840086739191193,True,[0],False,False
1,0,1_0,2,1,2,neutral,20,0.22507295281585504,0.183464641783595,0.04160831103226004,2.770659320738136,2.812267631770396,0.534,0.47475,-0.007908452483452484,0.016203301371302277,0.014840086739191193,True,"[1, 2]",False,False
1,0,1_0,2,2,2,neutral,20,0.22507295281585504,0.17533182897385124,0.0497411238420038,2.770659320738136,2.8204004445801396,0.534,0.43399999999999994,-0.007908452483452484,0.016203301371302277,0.014840086739191193,True,"[3, 4]",False,False
1,0,1_0,2,3,4,uncertain,20,0.22507295281585504,0.18532335622508356,0.039749596590771485,2.770659320738136,2.8104089173289073,0.534,0.479,-0.007908452483452484,0.016203301371302277,0.014840086739191193,True,"[5, 6, 7, 8]",False,False
1,0,1_0,2,4,4,protected,20,0.22507295281585504,0.20861207880479604,0.016460874011059,2.770659320738136,2.787120194749195,0.534,0.5117499999999999,-0.007908452483452484,0.016203301371302277,0.014840086739191193,True,"[9, 10, 11, 12]",False,False
