model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,BA,CE,MacroF1,feature_family,n_trials,policy,selected_alpha,selected_tau,subject_id,train_lso_BA,ridge_lambdas,ridge_lso_mse,selected_delta,train_nested_subject_BA
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8200000000000001,0.477030485868454,0.8199279711884754,C,100,one_d_gain,,,15,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.66,0.9546454548835754,0.6598639455782312,C,100,one_d_gain,,,32,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6044777631759644,0.7237851662404092,C,100,one_d_gain,,,33,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.5672472715377808,0.7253585596582239,C,100,one_d_gain,,,38,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.84,0.3950155973434448,0.8399359743897559,C,100,one_d_gain,,,47,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.28542622923851013,0.8899889988998899,D,100,one_d_gain,,,3,,"[10.0, 10.0, 10.0, 10.0]","[0.34187471866607666, 0.19048403203487396, 0.08421889692544937, 0.021042050793766975]",0.1,0.8009375000000001
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5985300540924072,0.7390606182256123,D,100,one_d_gain,,,5,,"[10.0, 10.0, 10.0, 10.0]","[0.34187471866607666, 0.19048403203487396, 0.08421889692544937, 0.021042050793766975]",0.1,0.8009375000000001
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.22205591201782227,0.8891017239641092,D,100,one_d_gain,,,6,,"[10.0, 10.0, 10.0, 10.0]","[0.34187471866607666, 0.19048403203487396, 0.08421889692544937, 0.021042050793766975]",0.1,0.8009375000000001
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8200000000000001,0.4769517183303833,0.8199279711884754,D,100,one_d_gain,,,15,,"[10.0, 10.0, 10.0, 10.0]","[0.34187471866607666, 0.19048403203487396, 0.08421889692544937, 0.021042050793766975]",0.1,0.8009375000000001
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.66,0.9525960683822632,0.6598639455782312,D,100,one_d_gain,,,32,,"[10.0, 10.0, 10.0, 10.0]","[0.34187471866607666, 0.19048403203487396, 0.08421889692544937, 0.021042050793766975]",0.1,0.8009375000000001
