model,task,policy,metric,unit,subjects,delta_mean,ci_low,ci_high,positive_folds,folds
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.5,CE,biological_subject,40,-0.035538406006526205,-0.11214947566884803,0.03705156908195931,3,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.75,BA,biological_subject,40,-0.003999999999999998,-0.01125,0.0030000000000000053,1,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.75,MacroF1,biological_subject,40,-0.00599215776096382,-0.012782358342247616,0.0010197257905946425,1,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.75,CE,biological_subject,40,-0.054322655906435105,-0.09558009849453811,-0.0198129472442088,1,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0,BA,biological_subject,40,-0.22199999999999998,-0.26426875,-0.17899375000000003,0,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0,MacroF1,biological_subject,40,-0.24899448764013782,-0.2977427754606697,-0.20493879900238768,0,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0,CE,biological_subject,40,0.6564871673705056,0.48221978712186686,0.8431376206979619,5,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_1,BA,biological_subject,40,0.0,0.0,0.0,0,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_1,MacroF1,biological_subject,40,0.0,0.0,0.0,0,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_1,CE,biological_subject,40,1.2665987014770507e-08,-6.7055225372314455e-09,4.0978193283081055e-08,2,5
EEGConformer,OpenBMI_SSVEP,gain_2d_A,BA,biological_subject,40,0.0044999999999999945,-0.000506250000000023,0.010249999999999987,4,5
EEGConformer,OpenBMI_SSVEP,gain_2d_A,MacroF1,biological_subject,40,0.003902656474532805,-0.0008911818506164792,0.009230571493583847,4,5
EEGConformer,OpenBMI_SSVEP,gain_2d_A,CE,biological_subject,40,-0.1813025307143107,-0.2953787196194753,-0.08721554889110865,1,5
EEGConformer,OpenBMI_SSVEP,gain_2d_C,BA,biological_subject,40,0.006249999999999999,-0.0004999999999999976,0.013749999999999984,5,5
EEGConformer,OpenBMI_SSVEP,gain_2d_C,MacroF1,biological_subject,40,0.005938912217959229,-0.0004989129724844954,0.012996919911243418,5,5
EEGConformer,OpenBMI_SSVEP,gain_2d_C,CE,biological_subject,40,-0.15452208973001688,-0.24643495992699171,-0.081487080398947,1,5
EEGConformer,OpenBMI_SSVEP,gain_2d_D,BA,biological_subject,40,0.0055000000000000005,-0.0007500000000000036,0.012750000000000006,3,5
