analysis,analysis_role,dataset,subject_cluster,fold,RMSE_M0,RMSE_MI,RMSE_MD,RMSE_MID,Delta_MI_minus_MD,backbone_count,repeated_backbone_rows
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S007,4,0.027869239928749717,0.02806885240144245,0.02867811863027589,0.029054267496901768,-0.000609266228833439,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S008,2,0.05180215616370457,0.05320696200962255,0.06176153041242834,0.061822129918067736,-0.008554568402805798,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S009,2,0.02328496164470358,0.023785172429803582,0.019913267234889995,0.020092921068825945,0.003871905194913587,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S010,4,0.059741667378426934,0.06116847566822378,0.0636207424252614,0.06381450480227935,-0.00245226675703762,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S011,1,0.02854023340235614,0.029146428582566667,0.028854210474873757,0.028787354392121687,0.00029221810769290875,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S012,0,0.04327538094939064,0.04384521405678512,0.03850632627281522,0.03902153964485708,0.0053388877839698964,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S013,2,0.050574605438918355,0.0502358626086524,0.04503086927589354,0.045120831251909035,0.005204993332758857,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S014,0,0.023298700967043104,0.02374596682196965,0.024398426408704016,0.024636834470406967,-0.000652459586734367,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S015,3,0.06043640042126583,0.05629576014832702,0.05020388992062791,0.050119278880583824,0.006091870227699109,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S016,2,0.04853001180359265,0.04816332820584408,0.04349814645196999,0.043659890045778416,0.004665181753874089,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S017,2,0.03347957285736861,0.03404711430540723,0.037952713651419785,0.03800474985638902,-0.003905599346012553,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S018,3,0.05351297241791693,0.05832062456903518,0.06375977950798542,0.06380923072746977,-0.005439154938950232,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S019,3,0.05943235139698859,0.0553401304345124,0.050116831968098165,0.049844895023495685,0.005223298466414238,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S020,4,0.04448037594107061,0.04406436565097237,0.04177003734429448,0.04175087290438721,0.002294328306677893,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S021,4,0.06596247405214307,0.06572744552180373,0.06386046906460278,0.06402588782123006,0.001866976457200957,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S022,4,0.03524209954597761,0.036047943671029134,0.03996104874964442,0.04003549142945434,-0.003913105078615288,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S023,2,0.028296938733729255,0.028002817402686855,0.023884909745894627,0.024025573951821415,0.0041179076567922305,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S024,0,0.05018612775761034,0.05203242160585178,0.055356602549499846,0.05554300773740309,-0.0033241809436480654,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S025,0,0.04952417824924148,0.04982187792642877,0.04318806107195901,0.04374249107540784,0.006633816854469761,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S026,1,0.04547636109907435,0.044361135483540676,0.04255726497821673,0.04251920549062994,0.0018038705053239484,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S027,3,0.05834842569985905,0.05834729794392,0.055227962934023156,0.05483785340449889,0.0031193350098968377,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S028,4,0.05920344396123742,0.05994306207825761,0.06346217420787437,0.06366525077393134,-0.003519112129616765,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S029,1,0.06064302421027709,0.06281921707902227,0.06621222985733893,0.06620095553438005,-0.0033930127783166654,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S030,0,0.05745380315393327,0.05880244692824266,0.05597101021674211,0.056296524249104536,0.0028314367115005457,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S031,1,0.06032804028811829,0.06290838622844686,0.06601235201021173,0.06603423839604414,-0.0031039657817648753,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S032,1,0.05005103599779951,0.05195936698999451,0.054326398628712524,0.05440585085285501,-0.002367031638718018,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S033,2,0.029280727039636238,0.02948678022464187,0.024408093104268704,0.024661834899899527,0.005078687120373165,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S034,0,0.04599922889601897,0.04665945222921,0.05076224057271002,0.05071675549891124,-0.00410278834350002,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S035,0,0.05764239747386422,0.057414673694948334,0.05106278254254416,0.05162679592150453,0.006351891152404171,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S036,1,0.03745086404666352,0.03577451675986247,0.03248913901380552,0.03264754201006243,0.003285377746056948,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S037,0,0.037672163245014906,0.03710816988198459,0.030580688305220843,0.031110099885077187,0.006527481576763744,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S038,1,0.11195923712890701,0.11190508303809137,0.11304956775973246,0.11303337037826644,-0.0011444847216410987,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S039,4,0.03823905791031004,0.03788593841060102,0.03698382117660164,0.036574490439913385,0.0009021172339993763,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S040,2,0.025585314775847825,0.02631005717340361,0.024985767380131835,0.025197643754886707,0.0013242897932717757,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S001,3,0.03814176603264667,0.04009035537445746,0.04151525088824324,0.04159577664849474,-0.001424895513785775,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S002,1,0.03632040181097316,0.033810902663635095,0.028104498686154625,0.027844731257077003,0.005706403977480469,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S003,4,0.06270984267144655,0.06286976587860871,0.06340557037088088,0.06421652371630263,-0.0005358044922721805,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S004,3,0.024060019269327666,0.025007566357986875,0.02269212339333904,0.02285282397689969,0.0023154429646478356,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S005,3,0.03662555908136147,0.035730919628997104,0.03730625579858429,0.03719750133223561,-0.0015753361695871847,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S006,3,0.054721857865804927,0.05523091437617349,0.05250180680164568,0.05271250285155962,0.0027291075745278053,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S007,4,0.026134241584383138,0.027420193695290106,0.029104268684021897,0.029958066144411783,-0.0016840749887317916,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S008,2,0.04144852057305938,0.04179066079018115,0.039405710512982514,0.039586421685740336,0.0023849502771986324,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S009,2,0.02223615001524943,0.021931562460445746,0.02742460440268132,0.027140342767867812,-0.005493041942235573,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S010,4,0.040340860158468606,0.04009592623177403,0.04143677144996183,0.04051679453948772,-0.0013408452181878005,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S011,1,0.024547864179698817,0.027796925141362804,0.038498757163177376,0.03860932869124767,-0.010701832021814572,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S012,0,0.03064781905759839,0.03338745576716798,0.033484793777740204,0.03473690919686555,-9.733801057222602e-05,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S013,2,0.039857240402180825,0.03982388121366148,0.048008948967782274,0.04786543070380654,-0.008185067754120794,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S014,0,0.015028618442979568,0.017546626612489635,0.017050420825532996,0.01907864398281902,0.0004962057869566374,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S015,3,0.030827477613400142,0.029499354112071316,0.031175028788601615,0.03104712340685046,-0.001675674676530299,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S016,2,0.03332866726755453,0.033699801957623184,0.04014838947808084,0.04078220510846828,-0.006448587520457655,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S017,2,0.020280636567595933,0.020633015167558638,0.021209877383169116,0.021551844223991708,-0.0005768622156104783,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S018,3,0.0379631037458088,0.039323431715225024,0.03730769129906772,0.03750888818817347,0.002015740416157298,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S019,3,0.03488069907975618,0.034465395432808174,0.03169353158740498,0.03175426028142174,0.0027718638454031844,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S020,4,0.03966172262824435,0.039450674013686904,0.04007017557530973,0.04019475363160727,-0.0006195015616228261,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S021,4,0.06276246818744964,0.06262355420527278,0.06340818361389522,0.06407817485798407,-0.0007846294086224399,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S022,4,0.02895382940596819,0.028767727498217696,0.03189802200235795,0.03081367986341655,-0.0031302945041402587,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S023,2,0.019722757420487562,0.020240659878775963,0.024802108227274584,0.025329275851843247,-0.004561448348498622,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S024,0,0.03575444767674299,0.03914685768555508,0.037409726392511056,0.03940036754790909,0.001737131293044019,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S025,0,0.035902087965270196,0.038251751430924866,0.04000148384788674,0.04011973537794094,-0.0017497324169618717,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S026,1,0.02907319789841057,0.028046046911917664,0.02391855940195221,0.02417284235602495,0.004127487509965456,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S027,3,0.05602114965734293,0.05642659101973197,0.05414532343255733,0.05421779433580874,0.0022812675871746405,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S028,4,0.06004978455186693,0.06088348681848295,0.06268743373994734,0.0627926943544248,-0.0018039469214643899,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S029,1,0.05734213052228139,0.0595380629705636,0.07226165384659296,0.07203680683117725,-0.012723590876029364,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S030,0,0.05747910389416448,0.059364563910911945,0.062483349542126365,0.06328098180407377,-0.00311878563121442,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S031,1,0.052235584620262863,0.05536912728667399,0.06811816591949027,0.06804696486172646,-0.012749038632816286,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S032,1,0.04118841564235,0.04413694261504525,0.05515750364781903,0.05514959432091148,-0.011020561032773782,2,2
OPENBMI_ERM_ONLY_SENSITIVITY,MANDATORY_DIRECT_WBCIC_SCOPE_SENSITIVITY,OPENBMI_STRESS,OB-S033,2,0.02948448159113653,0.02972671310619416,0.03668744788200402,0.03702495284780716,-0.006960734775809867,2,2
