backbone,fold,subject_id,n_s1_validation,n_s2,adaptation_effect_stability,decision_stability,representation_stability,raw_delta2,certificate_se,certificate_snr,certificate_lcb90,s1_parameter_relative_change,s1_anchor_confidence,identity_I,identity_status,feature_input_sessions,s3_feature_input_accessed,seed_count
EEGNet,3,24,60.0,199.0,-0.15371155290905822,-0.06468411247836771,-0.23328739539038712,-0.006700336700336688,0.009815213885859082,-0.7697913447317344,-0.019279039421914498,0.35118141770362854,0.9007044097859019,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,25,60.0,200.0,-0.22532078234860473,-0.2580817871806873,-0.490264513615203,-0.023333333333333373,0.01257258808923802,-1.7282780133009206,-0.03944575328204375,0.2867149809996287,0.869054527695582,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,26,60.0,200.0,-0.6066720549980527,-0.9569792869490898,-0.7093338546748909,-0.005000000000000023,0.014524563675067263,-0.24654336511785865,-0.02361397731663471,0.30434070030848187,0.7513729518936761,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,27,60.0,200.0,-0.24908003576952686,-0.22265465368989312,-0.35064038314165075,0.016666666666666663,0.01665208197489815,0.8893082733410343,-0.004673835057841086,0.16305223604043326,0.6922532029593592,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,28,60.0,200.0,-0.3209656229741232,-0.7043657846422436,-0.5482268466069792,0.06833333333333336,0.024216084438694527,2.795799484711458,0.037299172409564145,0.1867475832502047,0.8585527689717928,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,29,60.0,200.0,-0.4961664290703918,-0.5473969171702636,-0.5200120162886165,0.0016666666666666867,0.013967757977147674,0.16737318092559536,-0.016233735436094996,0.1784165402253469,0.7215661627434188,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,3,30,60.0,200.0,-0.1783769606363448,-0.3130610639275921,-0.3373432005830746,1.850371707708594e-17,0.008893888346695035,0.12969438558128066,-0.011397976534485882,0.2847893337408702,0.9197489174250134,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,3,31,60.0,200.0,-0.9827569859578658,-0.14275859456811996,-0.6765389333975786,-0.005000000000000014,0.021331451171122326,-0.21724432841866928,-0.03233735464369003,0.08245489497979482,0.6927724155166605,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,32,60.0,199.0,-0.10648035972995092,-0.11568394712127018,-0.2284302476545749,0.0012962962962963325,0.02218289240919832,0.09268731431698292,-0.02713222419901921,0.18493519723415375,0.6786500164644633,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,33,60.0,200.0,-0.6936817701566587,-0.7071705159938776,-0.560184757415174,0.009999999999999972,0.008378678695708375,0.970926775278667,-0.0007377087996802874,0.28330864012241364,0.8896350962510161,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,34,60.0,200.0,-0.2180577208029327,-0.2029848039713795,-0.4185522544075373,0.008333333333333331,0.018840445521491708,0.3142783325153001,-0.01581166912029212,0.15198236207167307,0.660337212839594,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,35,60.0,200.0,-0.3645237035160373,-0.39136337354677303,-0.3822030482786547,0.0,1.0000000000000002e-08,0.0,-1.2815515655446002e-08,0.15922470142443976,0.9354759265007093,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,36,60.0,200.0,-0.431859808195425,-0.7604046314515663,-0.5505417413181696,-1.850371707708594e-17,0.006627267957435693,0.34524097144253235,-0.008493185626135297,0.09572673837343852,0.8466824186332947,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,37,60.0,200.0,-0.42135819110870737,-0.5797662902203732,-0.4375258286467476,0.011666666666666678,0.015698727040246847,0.6947922454255778,-0.008452061548819017,0.2926918218533198,0.7385594631512111,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,3,38,60.0,200.0,-2.781169436668885,-1.3235347588078898,-1.9087073932091778,-0.001666666666666668,0.015820286721562982,-0.17712800354936745,-0.02194117988205016,0.12031133224566777,0.6374318145191046,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,3,41,60.0,200.0,-1.2807335831745672,-1.4977648862281212,-0.9596139363209512,0.008333333333333304,0.015334973704810996,0.4881524105125817,-0.011319226225652507,0.08499657859404881,0.9715863712917807,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,3,42,60.0,200.0,-0.8103064024159478,-0.08173561864162902,-0.38379578880888837,0.0016666666666667052,0.014834619690915414,0.14407807108002593,-0.0173446634224847,0.08861105640729268,0.8254008318755206,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,44,60.0,200.0,-0.9260405586313866,-0.8813196226846068,-0.5849059837803731,-0.008333333333333323,0.012615046426617503,-0.70201456592934,-0.024500165830782804,0.3810620605945587,0.7815635500754411,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,45,60.0,200.0,-0.4938757682419385,-0.34163092845141385,-0.3716042851190026,-0.014999999999999994,0.0115450332729093,-1.2846492956310962,-0.02979555546516141,0.16596906632184982,0.8947531059190403,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,47,60.0,200.0,-0.09176436322144471,-0.08574220397722887,-0.16441919458104823,-0.006666666666666672,0.01093138863766019,-0.7958834755919817,-0.02067580488883655,0.0808608482281367,0.8850408346203428,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,48,60.0,200.0,-0.13144877198354174,-0.3049507441611865,-0.2698686194508914,0.003333333333333318,0.009405554447251817,0.10266607838801119,-0.00872036969335723,0.19080863644679388,0.8649602993886335,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,49,60.0,200.0,-0.22438456208962018,-0.26693011734252076,-0.29525820258832997,0.0016666666666666867,0.008628966877400739,-0.31853136448506775,-0.00939179934409873,0.30915125211079914,0.8587374779732704,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,50,60.0,200.0,-0.2902320322131345,-0.3457025306688721,-0.3182093670233325,0.0,0.0023487131404387423,0.0,-0.003009997002144445,0.31092533469200134,0.9063959690600486,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
