task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_SSVEP,OpenBMI,1,0,4,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,1,0,12,0.9199999999999999,0.91950722596731,0.92,100
OpenBMI_SSVEP,OpenBMI,1,0,13,0.75,0.7439431147660933,0.75,100
OpenBMI_SSVEP,OpenBMI,1,0,17,0.8799999999999999,0.8823405571125936,0.88,100
OpenBMI_SSVEP,OpenBMI,1,0,18,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,1,0,24,0.9199999999999999,0.9178214959291542,0.92,100
OpenBMI_SSVEP,OpenBMI,1,0,25,0.94,0.9402149693869642,0.94,100
OpenBMI_SSVEP,OpenBMI,1,0,29,0.9,0.900541601255887,0.9,100
OpenBMI_SSVEP,OpenBMI,1,0,36,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,1,0,37,0.99,0.9899959983993597,0.99,100
OpenBMI_SSVEP,OpenBMI,1,0,39,0.95,0.9501920768307324,0.95,100
OpenBMI_SSVEP,OpenBMI,1,0,42,0.5,0.4925464190981432,0.5,100
OpenBMI_SSVEP,OpenBMI,1,0,51,0.6100000000000001,0.611667308432807,0.61,100
OpenBMI_SSVEP,OpenBMI,1,0,54,0.59,0.5754461204771764,0.59,100
OpenBMI_SSVEP,OpenBMI,2,0,4,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,2,0,12,0.9199999999999999,0.9194676037354386,0.92,100
OpenBMI_SSVEP,OpenBMI,2,0,13,0.71,0.7082542062302182,0.71,100
OpenBMI_SSVEP,OpenBMI,2,0,17,0.9199999999999999,0.9206595076655868,0.92,100
OpenBMI_SSVEP,OpenBMI,2,0,18,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,2,0,24,0.87,0.8684448160535116,0.87,100
OpenBMI_SSVEP,OpenBMI,2,0,25,0.9199999999999999,0.9200227963525835,0.92,100
OpenBMI_SSVEP,OpenBMI,2,0,29,0.89,0.8899038461538461,0.89,100
OpenBMI_SSVEP,OpenBMI,2,0,36,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,2,0,37,0.98,0.9799959983993598,0.98,100
OpenBMI_SSVEP,OpenBMI,2,0,39,0.95,0.949779911964786,0.95,100
OpenBMI_SSVEP,OpenBMI,2,0,42,0.48,0.46673491602736883,0.48,100
OpenBMI_SSVEP,OpenBMI,2,0,51,0.58,0.5786911425986797,0.58,100
OpenBMI_SSVEP,OpenBMI,2,0,54,0.5900000000000001,0.5672588285960379,0.59,100
OpenBMI_SSVEP,OpenBMI,3,0,4,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,3,0,12,0.9099999999999999,0.9095192307692308,0.91,100
OpenBMI_SSVEP,OpenBMI,3,0,13,0.55,0.5522648871317153,0.55,100
OpenBMI_SSVEP,OpenBMI,3,0,17,0.9199999999999999,0.9199700815518987,0.92,100
OpenBMI_SSVEP,OpenBMI,3,0,18,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,3,0,24,0.82,0.8175065480737751,0.82,100
OpenBMI_SSVEP,OpenBMI,3,0,25,0.8999999999999999,0.899797111827187,0.9,100
OpenBMI_SSVEP,OpenBMI,3,0,29,0.94,0.9397771161218953,0.94,100
OpenBMI_SSVEP,OpenBMI,3,0,36,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,3,0,37,0.99,0.9899959983993597,0.99,100
OpenBMI_SSVEP,OpenBMI,3,0,39,0.98,0.9799959983993598,0.98,100
OpenBMI_SSVEP,OpenBMI,3,0,42,0.5700000000000001,0.563966800808906,0.57,100
OpenBMI_SSVEP,OpenBMI,3,0,51,0.54,0.5299033986064062,0.54,100
OpenBMI_SSVEP,OpenBMI,3,0,54,0.56,0.5526663289429247,0.56,100
OpenBMI_SSVEP,OpenBMI,4,0,4,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,4,0,12,0.9099999999999999,0.909663682166811,0.91,100
OpenBMI_SSVEP,OpenBMI,4,0,13,0.72,0.719667651749695,0.72,100
OpenBMI_SSVEP,OpenBMI,4,0,17,0.89,0.8895811051693404,0.89,100
OpenBMI_SSVEP,OpenBMI,4,0,18,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,4,0,24,0.88,0.8776223776223777,0.88,100
OpenBMI_SSVEP,OpenBMI,4,0,25,0.96,0.9599879951980792,0.96,100
OpenBMI_SSVEP,OpenBMI,4,0,29,0.9,0.8990965254552211,0.9,100
OpenBMI_SSVEP,OpenBMI,4,0,36,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,4,0,37,0.98,0.9799959983993597,0.98,100
OpenBMI_SSVEP,OpenBMI,4,0,39,0.92,0.919891609795263,0.92,100
OpenBMI_SSVEP,OpenBMI,4,0,42,0.53,0.5219808082384148,0.53,100
OpenBMI_SSVEP,OpenBMI,4,0,51,0.5800000000000001,0.5830621477253701,0.58,100
OpenBMI_SSVEP,OpenBMI,4,0,54,0.56,0.5422620029698069,0.56,100
WBCIC_MI,WBCIC,0,0,sub-2,0.78,0.77997799779978,0.78,200
WBCIC_MI,WBCIC,0,0,sub-3,0.7,0.6989160979526294,0.7,200
WBCIC_MI,WBCIC,0,0,sub-17,0.7,0.6999699969997,0.7,200
WBCIC_MI,WBCIC,0,0,sub-19,0.86,0.859775641025641,0.86,200
WBCIC_MI,WBCIC,0,0,sub-21,0.77,0.7696314102564102,0.77,200
WBCIC_MI,WBCIC,0,0,sub-25,0.86,0.859873886497848,0.86,200
WBCIC_MI,WBCIC,0,0,sub-31,0.54,0.5377349010149733,0.54,200
WBCIC_MI,WBCIC,0,0,sub-33,0.77,0.7691690084303493,0.77,200
WBCIC_MI,WBCIC,0,0,sub-38,0.535,0.5276190476190477,0.535,200
WBCIC_MI,WBCIC,0,0,sub-42,0.595,0.5949898747468687,0.595,200
WBCIC_MI,WBCIC,1,0,sub-2,0.73,0.7298919567827131,0.73,200
WBCIC_MI,WBCIC,1,0,sub-3,0.73,0.7286704853783539,0.73,200
WBCIC_MI,WBCIC,1,0,sub-17,0.745,0.7448405253283302,0.745,200
WBCIC_MI,WBCIC,1,0,sub-19,0.85,0.8498648783905515,0.85,200
WBCIC_MI,WBCIC,1,0,sub-21,0.825,0.8244690187818149,0.825,200
WBCIC_MI,WBCIC,1,0,sub-25,0.91,0.9099639855942376,0.91,200
WBCIC_MI,WBCIC,1,0,sub-31,0.56,0.5596036432789511,0.56,200
WBCIC_MI,WBCIC,1,0,sub-33,0.825,0.8249956248906223,0.825,200
WBCIC_MI,WBCIC,1,0,sub-38,0.495,0.4928573221862369,0.495,200
WBCIC_MI,WBCIC,1,0,sub-42,0.635,0.6349178565177165,0.635,200
WBCIC_MI,WBCIC,2,0,sub-2,0.73,0.73,0.73,200
WBCIC_MI,WBCIC,2,0,sub-3,0.765,0.7623802421699234,0.765,200
WBCIC_MI,WBCIC,2,0,sub-17,0.7050000000000001,0.7037483367226531,0.705,200
WBCIC_MI,WBCIC,2,0,sub-19,0.855,0.8545600441335038,0.855,200
WBCIC_MI,WBCIC,2,0,sub-21,0.8,0.7990151743543362,0.8,200
WBCIC_MI,WBCIC,2,0,sub-25,0.9,0.8999099189270343,0.9,200
WBCIC_MI,WBCIC,2,0,sub-31,0.52,0.52,0.52,200
WBCIC_MI,WBCIC,2,0,sub-33,0.8300000000000001,0.8298468621759583,0.83,200
WBCIC_MI,WBCIC,2,0,sub-38,0.51,0.47147017581706396,0.51,200
WBCIC_MI,WBCIC,2,0,sub-42,0.655,0.6539532084555781,0.655,200
WBCIC_MI,WBCIC,3,0,sub-2,0.6950000000000001,0.6940745755911633,0.695,200
WBCIC_MI,WBCIC,3,0,sub-3,0.6699999999999999,0.6691729323308271,0.67,200
WBCIC_MI,WBCIC,3,0,sub-17,0.59,0.5840097402597402,0.59,200
WBCIC_MI,WBCIC,3,0,sub-19,0.75,0.7498999599839936,0.75,200
WBCIC_MI,WBCIC,3,0,sub-21,0.705,0.7049926248156204,0.705,200
WBCIC_MI,WBCIC,3,0,sub-25,0.825,0.8249606161386311,0.825,200
WBCIC_MI,WBCIC,3,0,sub-31,0.525,0.5249881247031176,0.525,200
WBCIC_MI,WBCIC,3,0,sub-33,0.705,0.7049336100622641,0.705,200
WBCIC_MI,WBCIC,3,0,sub-38,0.5,0.4949494949494949,0.5,200
WBCIC_MI,WBCIC,3,0,sub-42,0.59,0.59,0.59,200
WBCIC_MI,WBCIC,4,0,sub-2,0.7050000000000001,0.7046381817726715,0.705,200
WBCIC_MI,WBCIC,4,0,sub-3,0.8,0.7996794871794872,0.8,200
WBCIC_MI,WBCIC,4,0,sub-17,0.7749999999999999,0.7743173098623335,0.775,200
WBCIC_MI,WBCIC,4,0,sub-19,0.89,0.8899009108197378,0.89,200
WBCIC_MI,WBCIC,4,0,sub-21,0.81,0.8099239695878351,0.81,200
WBCIC_MI,WBCIC,4,0,sub-25,0.89,0.889823717948718,0.89,200
WBCIC_MI,WBCIC,4,0,sub-31,0.5549999999999999,0.5536497906166152,0.555,200
WBCIC_MI,WBCIC,4,0,sub-33,0.885,0.8847666524712543,0.885,200
WBCIC_MI,WBCIC,4,0,sub-38,0.525,0.5206740836045309,0.525,200
WBCIC_MI,WBCIC,4,0,sub-42,0.6000000000000001,0.5993589743589745,0.6,200
