diagnostic,task,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-21,LiteBN_XNG,0.855,0.854967367657723,0.855,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-25,LiteBN_XC,0.97,0.96999699969997,0.97,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-25,LiteBN_XNG,0.96,0.959983993597439,0.96,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-3,LiteBN_XC,0.865,0.8648344221671547,0.865,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-3,LiteBN_XNG,0.86,0.859873886497848,0.86,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-31,LiteBN_XC,0.62,0.5924495924495925,0.62,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-31,LiteBN_XNG,0.61,0.5861629881154499,0.61,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-33,LiteBN_XC,0.97,0.97,0.97,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-33,LiteBN_XNG,0.965,0.9649991249781245,0.965,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-38,LiteBN_XC,0.515,0.4978126375190909,0.515,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-38,LiteBN_XNG,0.515,0.489137590520079,0.515,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
