dataset,fold,seed,checkpoint_variant,subject_id,method,trials,BA,macro_F1,accuracy,non_deployable
WBCIC,2,1,selected_best,sub-32,EEGNet,200,0.55,0.5488721804511278,0.55,False
WBCIC,2,1,selected_best,sub-32,LiteBN,200,0.62,0.6196576919227305,0.62,False
WBCIC,2,1,selected_best,sub-32,LOGIT50,200,0.595,0.5945032665014642,0.595,False
WBCIC,2,1,selected_best,sub-32,PROB50,200,0.595,0.5945032665014642,0.595,False
WBCIC,2,1,selected_best,sub-23,EEGNet,200,0.95,0.9499799919967987,0.95,False
WBCIC,2,1,selected_best,sub-23,LiteBN,200,0.96,0.9599639675708138,0.96,False
WBCIC,2,1,selected_best,sub-23,LOGIT50,200,0.95,0.9499799919967987,0.95,False
WBCIC,2,1,selected_best,sub-23,PROB50,200,0.95,0.9499799919967987,0.95,False
WBCIC,2,1,selected_best,sub-34,EEGNet,200,0.5549999999999999,0.551761476668933,0.555,False
WBCIC,2,1,selected_best,sub-34,LiteBN,200,0.525,0.5161824246899748,0.525,False
WBCIC,2,1,selected_best,sub-34,LOGIT50,200,0.54,0.53995399539954,0.54,False
WBCIC,2,1,selected_best,sub-34,PROB50,200,0.54,0.53995399539954,0.54,False
WBCIC,2,2,selected_best,sub-50,EEGNet,200,0.955,0.9549898727213624,0.955,False
WBCIC,2,2,selected_best,sub-50,LiteBN,200,0.9450000000000001,0.9448883990079912,0.945,False
WBCIC,2,2,selected_best,sub-50,LOGIT50,200,0.95,0.9499549594635172,0.95,False
WBCIC,2,2,selected_best,sub-50,PROB50,200,0.95,0.9499549594635172,0.95,False
WBCIC,2,2,selected_best,sub-14,EEGNet,200,0.5449999999999999,0.5447154471544715,0.545,False
WBCIC,2,2,selected_best,sub-14,LiteBN,200,0.5,0.4900040799673603,0.5,False
WBCIC,2,2,selected_best,sub-14,LOGIT50,200,0.525,0.5197047448115473,0.525,False
WBCIC,2,2,selected_best,sub-14,PROB50,200,0.525,0.5197047448115473,0.525,False
WBCIC,2,2,selected_best,sub-1,EEGNet,200,0.95,0.9499949994999499,0.95,False
WBCIC,2,2,selected_best,sub-1,LiteBN,200,0.95,0.9499949994999499,0.95,False
WBCIC,2,2,selected_best,sub-1,LOGIT50,200,0.95,0.9499949994999499,0.95,False
WBCIC,2,2,selected_best,sub-1,PROB50,200,0.95,0.9499949994999499,0.95,False
WBCIC,2,2,selected_best,sub-32,EEGNet,200,0.585,0.5794380684553216,0.585,False
WBCIC,2,2,selected_best,sub-32,LiteBN,200,0.595,0.5691374770605601,0.595,False
WBCIC,2,2,selected_best,sub-32,LOGIT50,200,0.585,0.564886896804802,0.585,False
WBCIC,2,2,selected_best,sub-32,PROB50,200,0.585,0.564886896804802,0.585,False
WBCIC,2,2,selected_best,sub-23,EEGNet,200,0.975,0.9749943737340903,0.975,False
WBCIC,2,2,selected_best,sub-23,LiteBN,200,0.965,0.9649921232277263,0.965,False
WBCIC,2,2,selected_best,sub-23,LOGIT50,200,0.965,0.9649921232277263,0.965,False
WBCIC,2,2,selected_best,sub-23,PROB50,200,0.965,0.9649921232277263,0.965,False
WBCIC,2,2,selected_best,sub-34,EEGNet,200,0.52,0.5160802500252042,0.52,False
WBCIC,2,2,selected_best,sub-34,LiteBN,200,0.515,0.44947359459689545,0.515,False
WBCIC,2,2,selected_best,sub-34,LOGIT50,200,0.505,0.4612391499551033,0.505,False
WBCIC,2,2,selected_best,sub-34,PROB50,200,0.505,0.4612391499551033,0.505,False
WBCIC,3,0,selected_best,sub-24,EEGNet,195,0.9180871212121212,0.9179465600673259,0.9179487179487179,False
WBCIC,3,0,selected_best,sub-24,LiteBN,195,0.9182449494949495,0.9179465600673259,0.9179487179487179,False
WBCIC,3,0,selected_best,sub-24,LOGIT50,195,0.9285037878787878,0.9282032400589102,0.9282051282051282,False
WBCIC,3,0,selected_best,sub-24,PROB50,195,0.9285037878787878,0.9282032400589102,0.9282051282051282,False
WBCIC,3,0,selected_best,sub-13,EEGNet,200,0.8799999999999999,0.8795664391810518,0.88,False
WBCIC,3,0,selected_best,sub-13,LiteBN,200,0.89,0.89,0.89,False
WBCIC,3,0,selected_best,sub-13,LOGIT50,200,0.885,0.8847666524712543,0.885,False
WBCIC,3,0,selected_best,sub-13,PROB50,200,0.885,0.8847666524712543,0.885,False
WBCIC,3,0,selected_best,sub-11,EEGNet,200,0.625,0.6238621831038893,0.625,False
WBCIC,3,0,selected_best,sub-11,LiteBN,200,0.6950000000000001,0.6940745755911633,0.695,False
WBCIC,3,0,selected_best,sub-11,LOGIT50,200,0.7,0.6985227615315044,0.7,False
WBCIC,3,0,selected_best,sub-11,PROB50,200,0.7,0.6985227615315044,0.7,False
WBCIC,3,0,selected_best,sub-29,EEGNet,200,0.85,0.84998499849985,0.85,False
WBCIC,3,0,selected_best,sub-29,LiteBN,200,0.895,0.8944060339409177,0.895,False
WBCIC,3,0,selected_best,sub-29,LOGIT50,200,0.885,0.8846510694851927,0.885,False
WBCIC,3,0,selected_best,sub-29,PROB50,200,0.885,0.8846510694851927,0.885,False
WBCIC,3,0,selected_best,sub-26,EEGNet,200,0.6699999999999999,0.6683750376846548,0.67,False
WBCIC,3,0,selected_best,sub-26,LiteBN,200,0.73,0.7282608695652174,0.73,False
WBCIC,3,0,selected_best,sub-26,LOGIT50,200,0.69,0.6892230576441103,0.69,False
WBCIC,3,0,selected_best,sub-26,PROB50,200,0.69,0.6892230576441103,0.69,False
WBCIC,3,0,selected_best,sub-47,EEGNet,200,0.9450000000000001,0.9449325423643964,0.945,False
WBCIC,3,0,selected_best,sub-47,LiteBN,200,0.915,0.9148957472904308,0.915,False
WBCIC,3,0,selected_best,sub-47,LOGIT50,200,0.9550000000000001,0.9549718574108819,0.955,False
WBCIC,3,0,selected_best,sub-47,PROB50,200,0.9550000000000001,0.9549718574108819,0.955,False
WBCIC,3,1,selected_best,sub-24,EEGNet,195,0.9026199494949495,0.9025538518187317,0.9025641025641026,False
WBCIC,3,1,selected_best,sub-24,LiteBN,195,0.9184027777777777,0.9179292929292929,0.9179487179487179,False
WBCIC,3,1,selected_best,sub-24,LOGIT50,195,0.9081439393939394,0.9076704545454546,0.9076923076923077,False
WBCIC,3,1,selected_best,sub-24,PROB50,195,0.9081439393939394,0.9076704545454546,0.9076923076923077,False
WBCIC,3,1,selected_best,sub-13,EEGNet,200,0.865,0.8648344221671547,0.865,False
WBCIC,3,1,selected_best,sub-13,LiteBN,200,0.89,0.889823717948718,0.89,False
WBCIC,3,1,selected_best,sub-13,LOGIT50,200,0.885,0.8847666524712543,0.885,False
WBCIC,3,1,selected_best,sub-13,PROB50,200,0.885,0.8847666524712543,0.885,False
WBCIC,3,1,selected_best,sub-11,EEGNet,200,0.69,0.6892230576441103,0.69,False
WBCIC,3,1,selected_best,sub-11,LiteBN,200,0.735,0.7346749768466372,0.735,False
WBCIC,3,1,selected_best,sub-11,LOGIT50,200,0.7,0.6998799519807923,0.7,False
WBCIC,3,1,selected_best,sub-11,PROB50,200,0.7,0.6998799519807923,0.7,False
WBCIC,3,1,selected_best,sub-29,EEGNet,200,0.805,0.804995124878122,0.805,False
WBCIC,3,1,selected_best,sub-29,LiteBN,200,0.87,0.8693598633303186,0.87,False
WBCIC,3,1,selected_best,sub-29,LOGIT50,200,0.855,0.8547057792028858,0.855,False
WBCIC,3,1,selected_best,sub-29,PROB50,200,0.855,0.8547057792028858,0.855,False
WBCIC,3,1,selected_best,sub-26,EEGNet,200,0.6000000000000001,0.5980303487086724,0.6,False
WBCIC,3,1,selected_best,sub-26,LiteBN,200,0.685,0.6846136517233611,0.685,False
WBCIC,3,1,selected_best,sub-26,LOGIT50,200,0.655,0.6542999574137629,0.655,False
