dataset,fold,seed,checkpoint_variant,subject_id,trials,both_correct,eegnet_only_correct,litebn_only_correct,both_wrong,disagree,oracle_class0,oracle_class1,eegnet_only_fraction,litebn_only_fraction,disagreement_rate,eegnet_win_fraction_among_disagreement,litebn_win_fraction_among_disagreement,trial_complementarity_upper_BA
WBCIC,3,2,selected_best,sub-24,195,174,3,7,11,10,0.9191919191919192,0.96875,0.015384615384615385,0.035897435897435895,0.05128205128205128,0.3,0.7,0.9439709595959596
WBCIC,3,2,selected_best,sub-13,200,164,10,9,17,19,0.94,0.89,0.05,0.045,0.095,0.5263157894736842,0.47368421052631576,0.915
WBCIC,3,2,selected_best,sub-11,200,115,14,38,33,52,0.86,0.81,0.07,0.19,0.26,0.2692307692307692,0.7307692307692307,0.835
WBCIC,3,2,selected_best,sub-29,200,160,11,15,14,26,0.98,0.88,0.055,0.075,0.13,0.4230769230769231,0.5769230769230769,0.9299999999999999
WBCIC,3,2,selected_best,sub-26,200,101,22,29,48,51,0.64,0.88,0.11,0.145,0.255,0.43137254901960786,0.5686274509803921,0.76
WBCIC,3,2,selected_best,sub-47,200,180,12,4,4,16,1.0,0.96,0.06,0.02,0.08,0.75,0.25,0.98
WBCIC,4,0,selected_best,sub-36,200,190,6,3,1,9,0.99,1.0,0.03,0.015,0.045,0.6666666666666666,0.3333333333333333,0.995
WBCIC,4,0,selected_best,sub-16,200,85,26,30,59,56,0.8,0.61,0.13,0.15,0.28,0.4642857142857143,0.5357142857142857,0.7050000000000001
WBCIC,4,0,selected_best,sub-48,200,158,10,15,17,25,0.92,0.91,0.05,0.075,0.125,0.4,0.6,0.915
WBCIC,4,0,selected_best,sub-41,200,163,11,11,15,22,0.95,0.9,0.055,0.055,0.11,0.5,0.5,0.925
WBCIC,4,0,selected_best,sub-5,200,140,13,16,31,29,0.82,0.87,0.065,0.08,0.145,0.4482758620689655,0.5517241379310345,0.845
WBCIC,4,0,selected_best,sub-27,200,101,18,33,48,51,0.85,0.67,0.09,0.165,0.255,0.35294117647058826,0.6470588235294118,0.76
WBCIC,4,1,selected_best,sub-36,200,192,3,3,2,6,0.98,1.0,0.015,0.015,0.03,0.5,0.5,0.99
WBCIC,4,1,selected_best,sub-16,200,80,24,35,61,59,0.77,0.62,0.12,0.175,0.295,0.4067796610169492,0.5932203389830508,0.6950000000000001
WBCIC,4,1,selected_best,sub-48,200,148,15,16,21,31,0.88,0.91,0.075,0.08,0.155,0.4838709677419355,0.5161290322580645,0.895
WBCIC,4,1,selected_best,sub-41,200,165,8,6,21,14,0.94,0.85,0.04,0.03,0.07,0.5714285714285714,0.42857142857142855,0.895
WBCIC,4,1,selected_best,sub-5,200,142,10,16,32,26,0.83,0.85,0.05,0.08,0.13,0.38461538461538464,0.6153846153846154,0.84
WBCIC,4,1,selected_best,sub-27,200,104,31,21,44,52,0.83,0.73,0.155,0.105,0.26,0.5961538461538461,0.40384615384615385,0.78
WBCIC,4,2,selected_best,sub-36,200,192,3,1,4,4,0.96,1.0,0.015,0.005,0.02,0.75,0.25,0.98
WBCIC,4,2,selected_best,sub-16,200,90,22,21,67,43,0.69,0.64,0.11,0.105,0.215,0.5116279069767442,0.4883720930232558,0.665
WBCIC,4,2,selected_best,sub-48,200,148,17,10,25,27,0.88,0.87,0.085,0.05,0.135,0.6296296296296297,0.37037037037037035,0.875
WBCIC,4,2,selected_best,sub-41,200,160,5,9,26,14,0.94,0.8,0.025,0.045,0.07,0.35714285714285715,0.6428571428571429,0.87
WBCIC,4,2,selected_best,sub-5,200,142,11,11,36,22,0.81,0.83,0.055,0.055,0.11,0.5,0.5,0.8200000000000001
WBCIC,4,2,selected_best,sub-27,200,105,21,25,49,46,0.83,0.68,0.105,0.125,0.23,0.45652173913043476,0.5434782608695652,0.755
