dataset,fold,seed,method,q,lambda_T,subject_id,coverage,valid_candidates,target_distance_improvement,target_nll_improvement,class_pass_rate,median_displacement_ratio,median_relative_margin_drop
WBCIC,0,0,Bures-HardSCST,0.5,0.5,30,0.855,3.025,0.3808697867404971,5.130779862539217,0.768125,0.7810553908348083,-0.04627349227666855
WBCIC,0,0,Bures-HardSCST,0.5,0.5,31,0.58,1.86,0.38199253806998124,7.248663789821078,0.473125,0.634312093257904,0.027384504675865173
WBCIC,0,0,Bures-HardSCST,0.5,0.5,32,0.445,1.32,0.29755934255700994,5.236543736488473,0.335,0.6429548263549805,0.14502791315317154
WBCIC,0,0,Bures-HardSCST,0.5,0.5,34,0.325,1.05,0.30176636448927113,4.947317448968453,0.24875,0.6425727009773254,0.16151311993598938
WBCIC,0,0,Bures-HardSCST,0.5,0.5,35,0.795,2.525,0.23887586399764493,3.7553824087372356,0.633125,0.5920472741127014,-0.002599300118163228
WBCIC,0,0,Bures-HardSCST,0.5,0.5,38,0.0,0.0,,,0.0,,
WBCIC,0,0,Bures-HardSCST,0.5,0.5,41,0.65,2.16,0.32072913503115286,4.021807676496874,0.561875,0.6938983798027039,0.047152698040008545
WBCIC,0,0,Bures-HardSCST,0.5,0.5,42,0.65,1.965,0.26906726231218586,5.072376427864447,0.471875,0.5268577933311462,-0.015016952529549599
WBCIC,0,0,Bures-HardSCST,0.5,0.5,47,0.645,1.91,0.2862806844367909,5.103263242115971,0.491875,0.5463787317276001,0.00835963524878025
WBCIC,0,0,Bures-HardSCST,0.5,0.5,48,0.675,2.145,0.24914309436584514,3.9909716956878323,0.5075,0.5167214274406433,-0.011395964305847883
WBCIC,0,0,Bures-HardSCST,0.5,0.5,49,0.795,2.855,0.4490924495985306,8.030536641734736,0.700625,0.7000523209571838,0.028925621882081032
WBCIC,0,0,Bures-HardSCST,0.5,0.5,50,0.76,2.05,0.25924443795516505,5.401078515942667,0.5275,0.5147691071033478,-0.05551217496395111
WBCIC,0,0,Bures-HardRandom,0.5,0.5,6,0.735,2.135,0.2667522142265047,3.6660582542604625,0.2725,0.6360426545143127,0.11008896306157112
