task,subject_id,fold,seed,method,trials,BA,macro_F1,accuracy,AUROC,AUPRC
SSVEP,37,0,1,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,39,0,1,EEGNet,100,0.98,0.9801805337519622,0.98,,
SSVEP,39,0,1,LiteBN,100,1.0,1.0,1.0,,
SSVEP,39,0,1,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,42,0,1,EEGNet,100,0.56,0.5605251270468661,0.56,,
SSVEP,42,0,1,LiteBN,100,0.6,0.5988490621988287,0.6,,
SSVEP,42,0,1,LOGIT50,100,0.6000000000000001,0.5992550845381033,0.6,,
SSVEP,51,0,1,EEGNet,100,0.7899999999999999,0.7929442251532364,0.79,,
SSVEP,51,0,1,LiteBN,100,0.75,0.7438202782542406,0.75,,
SSVEP,51,0,1,LOGIT50,100,0.81,0.8095111200160289,0.81,,
SSVEP,54,0,1,EEGNet,100,0.78,0.7789374950502891,0.78,,
SSVEP,54,0,1,LiteBN,100,0.9099999999999999,0.9098686644469108,0.91,,
SSVEP,54,0,1,LOGIT50,100,0.8799999999999999,0.8797592385218366,0.88,,
