subject_id,session,BA,macro_F1,trials,task,fold,seed,condition,checkpoint_sha256,arm,checkpoint,normalizer_sha256,protected_rank
37,S1,0.71,0.7050147492625369,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
37,S2,0.85,0.8474214220323466,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
39,S1,0.84,0.8383838383838383,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
39,S2,0.6799999999999999,0.6736026111791106,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
42,S1,0.7,0.6980676328502415,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
42,S2,0.76,0.7599039615846338,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
51,S1,0.6699999999999999,0.6601791782514674,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
51,S2,0.65,0.630450849963045,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
54,S1,0.63,0.6214833759590792,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
54,S2,0.72,0.7144022847817217,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
4,S1,0.6699999999999999,0.6683750376846548,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
4,S2,0.7,0.6921182266009853,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
12,S1,0.78,0.7796474358974359,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
12,S2,0.81,0.8098288459613652,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
13,S1,0.7,0.6956168831168831,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
13,S2,0.64,0.6376811594202898,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
17,S1,0.73,0.72997299729973,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
17,S2,0.54,0.5245969408846631,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
18,S1,0.75,0.7497747973175859,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
18,S2,0.7,0.6980676328502415,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
24,S1,0.61,0.6032956972841013,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
24,S2,0.5599999999999999,0.4857410004675082,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
25,S1,0.73,0.7149192271143491,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
25,S2,0.96,0.96,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
29,S1,0.6799999999999999,0.6666666666666666,100,OpenBMI_MI,1,1,CE_REFERENCE,0d7f7375e0c79730ad1dbde17f44ced484a513dc0a6cfbcea332b56a8a603c28,CE_REFERENCE,,,
