subject,session,basis_type,basis_draw,direction,epsilon,A_P_mean,n_trials,task,fold,stage
16,1,PCA,0,0,1.0,-0.02144702523946762,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,1,1.0,0.13654400408267975,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,2,1.0,0.07598017901182175,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,3,1.0,0.02391388826072216,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,4,1.0,0.03793780133128166,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,5,1.0,0.002428588457405567,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,6,1.0,0.2820245921611786,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,7,1.0,-0.011617664247751236,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,8,1.0,-0.00812220573425293,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,9,1.0,0.03807768225669861,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,10,1.0,-0.07227019965648651,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,11,1.0,0.026063738390803337,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,12,1.0,-0.0631522685289383,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,13,1.0,-0.09909851104021072,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,14,1.0,0.014487198553979397,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,15,1.0,-0.013727464713156223,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,0,0.25,0.016666682437062263,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,1,0.25,0.2346617877483368,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,2,0.25,-0.00992504134774208,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,3,0.25,0.14073432981967926,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,4,0.25,-0.1635834127664566,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,5,0.25,-0.13968724012374878,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,6,0.25,0.09935741126537323,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,7,0.25,-0.10929195582866669,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,8,0.25,0.030669834464788437,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,9,0.25,0.09988487511873245,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,10,0.25,-0.15720975399017334,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,11,0.25,-0.13630595803260803,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,12,0.25,-0.08265644311904907,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,13,0.25,0.24045632779598236,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,14,0.25,0.011822466738522053,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,15,0.25,-0.014837338589131832,100,OpenBMI_MI,0,TRAIN
