method,fold,subject_id,combined_BA,protected_only_BA,adaptive_only_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_RMSE,functional_teacher_correlation
IDENTITY_SOURCE_ONLY,2,45,0.7399999999999999,0.6766666666666667,0.7200000000000001,0.02,0.0633333333333333,0.2569773272638593,1.3863132182443405,0.9045156896100287,0.33167705806250086
IDENTITY_SOURCE_ONLY,2,53,0.7333333333333334,0.6133333333333334,0.7166666666666667,0.016666666666666632,0.11999999999999993,0.27596846165368105,1.5303783997465656,1.1324528479792166,0.36064707094053566
IDENTITY_SOURCE_ONLY,2,9,0.61,0.5866666666666666,0.59,0.01999999999999993,0.023333333333333334,0.3130119861180235,1.3441868886558408,1.1427056580732484,0.1289240034047154
IDENTITY_SOURCE_ONLY,3,1,0.6833333333333332,0.5566666666666668,0.6766666666666666,0.006666666666666667,0.12666666666666657,0.3955163840124088,1.7339820147621108,1.2392480378419795,0.2706011034691432
IDENTITY_SOURCE_ONLY,3,20,0.8666666666666667,0.6733333333333333,0.8433333333333334,0.02333333333333323,0.19333333333333327,0.34655731971859355,2.0588098566121684,1.3553901738601877,0.3638087267539348
IDENTITY_SOURCE_ONLY,3,23,0.62,0.5366666666666667,0.6166666666666667,0.0033333333333333335,0.0833333333333333,0.35553599457739987,1.552378665111993,1.1422147724623997,0.1838009723852098
IDENTITY_SOURCE_ONLY,3,26,0.8433333333333334,0.51,0.8466666666666667,-0.0033333333333333335,0.3333333333333333,0.5087509988827413,2.310679682206585,1.414820677062081,0.09240159460979702
IDENTITY_SOURCE_ONLY,3,35,0.8300000000000001,0.41,0.82,0.01,0.41999999999999993,0.4428874270591763,2.723620261350986,1.6859566909004606,-0.09721089598105902
IDENTITY_SOURCE_ONLY,3,5,0.7799999999999999,0.5066666666666667,0.7533333333333333,0.02666666666666667,0.2733333333333334,0.4733386221103458,1.7758677939066325,1.271517460173046,0.07417385233176459
IDENTITY_SOURCE_ONLY,3,6,0.94,0.6733333333333333,0.92,0.01999999999999993,0.2666666666666666,0.4546273406792365,2.407766136714216,1.4165421887470906,0.3977198624832596
IDENTITY_SOURCE_ONLY,3,7,0.77,0.5366666666666667,0.7733333333333334,-0.0033333333333333327,0.2333333333333333,0.3135016816081683,1.7500720471563085,1.2614382399112685,0.30489675314185366
IDENTITY_SOURCE_ONLY,4,11,0.73,0.5566666666666666,0.7333333333333334,-0.0033333333333333327,0.17333333333333326,0.3210931809951219,1.7866464847146954,1.1896587432036034,0.15030514333643605
IDENTITY_SOURCE_ONLY,4,27,0.9233333333333333,0.5566666666666666,0.9,0.0233333333333333,0.36666666666666653,0.3313599504467966,2.6181207149528523,1.5912669766373504,-0.15349717193340925
IDENTITY_SOURCE_ONLY,4,28,0.8866666666666667,0.7633333333333333,0.87,0.016666666666666666,0.12333333333333334,0.5692067533656493,2.1554976902176435,1.3080519671835769,0.6509270378915075
IDENTITY_SOURCE_ONLY,4,3,0.87,0.8266666666666667,0.8500000000000001,0.01999999999999993,0.04333333333333326,0.6028697359769799,2.453559031157886,1.3144944222814974,0.6537357607691009
IDENTITY_SOURCE_ONLY,4,30,0.7133333333333333,0.6533333333333333,0.7066666666666667,0.006666666666666667,0.059999999999999935,0.34163942237153605,1.5735458282317019,1.0535419210350006,0.21217564708595296
