dataset,fold,method,seed,subject_id,BA,accuracy,macro_F1,NLL,trials,outcome_subject_count_fold
OpenBMI,2,TASK_ONLY_MATCHED,0,26,0.9,0.9,0.8999599839935974,0.2584451893917733,100,11
OpenBMI,2,TASK_ONLY_MATCHED,0,29,0.81,0.81,0.8067338012409724,0.38937570612791544,100,11
OpenBMI,2,TASK_ONLY_MATCHED,0,34,0.6699999999999999,0.67,0.6601791782514674,0.696582786261018,100,11
OpenBMI,2,TASK_ONLY_MATCHED,0,44,0.86,0.86,0.8585858585858586,0.305774856663963,100,11
OpenBMI,2,TASK_ONLY_MATCHED,0,51,0.8200000000000001,0.82,0.8199279711884754,0.4698537801491113,100,11
OpenBMI,2,TASK_ONLY_MATCHED,0,52,0.77,0.77,0.7593890574327858,0.5948918635119107,100,11
OpenBMI,2,TASK_ONLY_MATCHED,0,54,0.8,0.8,0.7996794871794872,0.43308895902177885,100,11
OpenBMI,2,SSPG,0,4,0.8,0.8,0.7996794871794872,0.4075667467445196,100,11
OpenBMI,2,SSPG,0,7,0.8999999999999999,0.9,0.8998397435897436,0.299828259440576,100,11
OpenBMI,2,SSPG,0,18,0.85,0.85,0.8487750781328763,0.3567983386804776,100,11
OpenBMI,2,SSPG,0,22,0.76,0.76,0.7536945812807883,0.5992386432370739,100,11
OpenBMI,2,SSPG,0,26,0.9,0.9,0.8999599839935974,0.257057376086988,100,11
OpenBMI,2,SSPG,0,29,0.81,0.81,0.8076728413807066,0.3802500163522977,100,11
OpenBMI,2,SSPG,0,34,0.6699999999999999,0.67,0.6601791782514674,0.6952289752751003,100,11
OpenBMI,2,SSPG,0,44,0.87,0.87,0.8684077335762729,0.30952829277615407,100,11
OpenBMI,2,SSPG,0,51,0.81,0.81,0.8098288459613652,0.471631918730994,100,11
OpenBMI,2,SSPG,0,52,0.78,0.78,0.7708333333333333,0.5836134876444303,100,11
OpenBMI,2,SSPG,0,54,0.8200000000000001,0.82,0.8199279711884754,0.4330286987110742,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,4,0.81,0.81,0.8098288459613652,0.40723520134638447,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,7,0.8999999999999999,0.9,0.8998397435897436,0.3002087718837372,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,18,0.85,0.85,0.8487750781328763,0.3552549311905914,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,22,0.76,0.76,0.7536945812807883,0.6006471783164145,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,26,0.89,0.89,0.8899889988998899,0.2564165645211152,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,29,0.82,0.82,0.8173701298701299,0.3795030890041799,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,34,0.6699999999999999,0.67,0.6601791782514674,0.6963816784624298,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,44,0.87,0.87,0.8684077335762729,0.30941108896751807,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,51,0.81,0.81,0.8098288459613652,0.47152792231873275,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,52,0.78,0.78,0.7708333333333333,0.5829659595195881,100,11
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,0,54,0.81,0.81,0.8098288459613652,0.4329390126261283,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,4,0.8200000000000001,0.82,0.8197115384615384,0.40909052022014725,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,7,0.8999999999999999,0.9,0.8998397435897436,0.30340653544668483,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,18,0.85,0.85,0.8487750781328763,0.35465444714059613,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,22,0.76,0.76,0.7519636213311285,0.6018413633939967,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,26,0.9,0.9,0.8999599839935974,0.25843866138408156,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,29,0.81,0.81,0.8067338012409724,0.3894338172005966,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,34,0.6699999999999999,0.67,0.6601791782514674,0.6965899099095614,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,44,0.86,0.86,0.8585858585858586,0.30576380596786185,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,51,0.8200000000000001,0.82,0.8199279711884754,0.4698657937130821,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,52,0.77,0.77,0.7593890574327858,0.5949108232715369,100,11
OpenBMI,2,RANDOM_DIRECTION_GUARD,0,54,0.8,0.8,0.7996794871794872,0.43309648159655173,100,11
OpenBMI,3,ANCHOR,0,9,0.77,0.77,0.7660461804495982,0.49929650300821005,100,11
OpenBMI,3,ANCHOR,0,15,0.9,0.9,0.9,0.301063579682958,100,11
OpenBMI,3,ANCHOR,0,17,0.6799999999999999,0.68,0.6794871794871795,0.6356265446229951,100,11
OpenBMI,3,ANCHOR,0,20,0.9199999999999999,0.92,0.9198717948717949,0.22837907120451284,100,11
OpenBMI,3,ANCHOR,0,21,0.97,0.97,0.9699729756781104,0.08198933440933695,100,11
OpenBMI,3,ANCHOR,0,24,0.59,0.59,0.516452411841019,1.1763724769514672,100,11
OpenBMI,3,ANCHOR,0,27,0.9299999999999999,0.93,0.9298245614035088,0.1557694808764908,100,11
OpenBMI,3,ANCHOR,0,28,0.94,0.94,0.9397832195905259,0.11473177357758738,100,11
OpenBMI,3,ANCHOR,0,38,0.77,0.77,0.7660461804495982,0.4722860484347089,100,11
OpenBMI,3,ANCHOR,0,41,0.8200000000000001,0.82,0.8199279711884754,0.4609747741347158,100,11
OpenBMI,3,ANCHOR,0,46,0.78,0.78,0.7767857142857143,0.4965143112392205,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,9,0.8,0.8,0.797979797979798,0.4823422234610043,100,11
