task,fold,session,variant,dimension,mean_gate,std_gate,Pr_gate_lt_0p9,Pr_gate_gt_1p1,label
OpenBMI_MI,2,S2,P_ONLY_TRANSFER_GATE,1,1.0000057220458984,0.00045563202002085745,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,P_ONLY_TRANSFER_GATE,2,0.9995129108428955,0.0012283141259104013,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,P_ONLY_TRANSFER_GATE,3,1.00006902217865,0.00028593960450962186,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,P_ONLY_TRANSFER_GATE,ALL,0.9997599720954895,0.0010912874713540077,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_TRANSFER_GATE,0,0.9996806979179382,0.0008462998666800559,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_TRANSFER_GATE,1,0.999897837638855,0.0004904330708086491,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_TRANSFER_GATE,2,1.0001556873321533,0.0005950650083832443,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_TRANSFER_GATE,3,1.0000942945480347,0.0009019558783620596,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,RANDOM_TRANSFER_GATE,ALL,0.9999570846557617,0.0007520966464653611,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,PROTECTED_NATIVE_TRANSFER_GATE,0,0.9962257742881775,0.017085105180740356,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,PROTECTED_NATIVE_TRANSFER_GATE,1,0.9994158148765564,0.010701416991651058,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,PROTECTED_NATIVE_TRANSFER_GATE,2,0.9994564652442932,0.01059944648295641,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,PROTECTED_NATIVE_TRANSFER_GATE,3,0.9957435727119446,0.006340940948575735,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,PROTECTED_NATIVE_TRANSFER_GATE,ALL,0.9977104067802429,0.011947878636419773,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,P_ONLY_TRANSFER_GATE,0,0.9989322423934937,0.0017032751347869635,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,P_ONLY_TRANSFER_GATE,1,1.0004026889801025,0.0011062605772167444,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,P_ONLY_TRANSFER_GATE,2,0.998475193977356,0.0021328653674572706,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,P_ONLY_TRANSFER_GATE,3,1.0008023977279663,0.001131866592913866,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,P_ONLY_TRANSFER_GATE,ALL,0.9996530413627625,0.0018537149298936129,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,RANDOM_TRANSFER_GATE,0,0.9623051881790161,0.07449860870838165,0.20214285714285715,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,RANDOM_TRANSFER_GATE,1,1.002582311630249,0.06535299867391586,0.055,0.08142857142857143,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,RANDOM_TRANSFER_GATE,2,1.004967212677002,0.04646742716431618,0.0,0.020714285714285713,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,RANDOM_TRANSFER_GATE,3,0.9909746646881104,0.012705565430223942,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,RANDOM_TRANSFER_GATE,ALL,0.9902073740959167,0.057645075023174286,0.06428571428571428,0.025535714285714287,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,PROTECTED_NATIVE_TRANSFER_GATE,0,0.9994058609008789,0.001240667887032032,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,PROTECTED_NATIVE_TRANSFER_GATE,1,1.0007202625274658,0.0019405436469241977,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,PROTECTED_NATIVE_TRANSFER_GATE,2,0.9991046786308289,0.001876046764664352,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
