task,fold,population,group_type,group_id,trials,alpha15_mean,alpha15_std,alpha63_mean,alpha63_std,alpha127_mean,alpha127_std,scale15_mean,scale15_std,scale63_mean,scale63_std,scale127_mean,scale127_std,scale_min,scale_max,dominant15_percent,dominant63_percent,dominant127_percent
OpenBMI_MI,0,outer,subject,47,100,0.4172387421131134,0.006524373777210712,0.29323679208755493,0.012800685130059719,0.28952452540397644,0.012435204349458218,1.012203335762024,0.0009489115327596664,0.994168221950531,0.0018617468886077404,0.9936284422874451,0.0018085872288793325,0.9897164702415466,1.0148580074310303,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.4166005849838257,0.005955392960458994,0.2928355932235718,0.011704216711223125,0.2905637323856354,0.012308157049119473,1.0121104717254639,0.0008661480969749391,0.9941100478172302,0.001702276524156332,0.9937795996665955,0.0017901109531521797,0.9902335405349731,1.0148580074310303,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,1,50,0.4178767502307892,0.006989558693021536,0.2936379015445709,0.013798716478049755,0.2884853482246399,0.01247469149529934,1.0122960805892944,0.0010165780549868941,0.9942266941070557,0.002006900729611516,0.9934772253036499,0.0018143290653824806,0.9897164702415466,1.0143572092056274,100.0,0.0,0.0
OpenBMI_MI,0,heldout,subject,4,100,0.4186544120311737,0.008593040518462658,0.3112787902355194,0.006341732572764158,0.2700667977333069,0.004547744989395142,1.0124092102050781,0.0012497827410697937,0.9967923760414124,0.0009223466622643173,0.9907983541488647,0.0006614304147660732,0.9889572858810425,1.0178883075714111,100.0,0.0,0.0
OpenBMI_MI,0,heldout,class,0,50,0.41895705461502075,0.005865802988409996,0.31143301725387573,0.004942529369145632,0.26960989832878113,0.00387308606877923,1.0124531984329224,0.0008531277417205274,0.9968147873878479,0.0007188458694145083,0.9907320141792297,0.0005633046966977417,0.9894164800643921,1.0141077041625977,100.0,0.0,0.0
OpenBMI_MI,0,heldout,class,1,50,0.4183517396450043,0.01063436921685934,0.3111245632171631,0.007480572909116745,0.27052366733551025,0.005093687679618597,1.0123652219772339,0.001546677784062922,0.9967699646949768,0.0010879802284762263,0.9908648729324341,0.0007408346864394844,0.9889572858810425,1.0178883075714111,100.0,0.0,0.0
OpenBMI_MI,0,heldout,subject,12,100,0.41008272767066956,0.01204750221222639,0.3269443213939667,0.02280273661017418,0.26297295093536377,0.013119818642735481,1.011162519454956,0.0017522035632282495,0.9990707635879517,0.00331645249389112,0.9897665977478027,0.00190815853420645,0.9807609915733337,1.0154852867126465,96.0,4.0,0.0
OpenBMI_MI,0,heldout,class,0,50,0.4112548828125,0.007862512022256851,0.3266478478908539,0.017447683960199356,0.2620972990989685,0.011634781956672668,1.0113329887390137,0.0011435317574068904,0.9990276098251343,0.0025376053526997566,0.9896394610404968,0.0016921767964959145,0.981387197971344,1.0137633085250854,98.0,2.0,0.0
OpenBMI_MI,0,heldout,class,1,50,0.4089106023311615,0.015023907646536827,0.3272407054901123,0.027117008343338966,0.2638486623764038,0.014399915002286434,1.0109920501708984,0.002185096265748143,0.999113917350769,0.003943926189094782,0.9898941516876221,0.0020943342242389917,0.9807609915733337,1.0154852867126465,94.0,6.0,0.0
OpenBMI_MI,0,heldout,subject,13,100,0.41005921363830566,0.012573212385177612,0.3392808139324188,0.01668313518166542,0.2506599426269531,0.009854061529040337,1.0111591815948486,0.0018286708509549499,1.0008649826049805,0.002426411956548691,0.9879758358001709,0.0014331841375678778,0.9852375388145447,1.016558051109314,99.0,1.0,0.0
OpenBMI_MI,0,heldout,class,0,50,0.40988487005233765,0.010612418875098228,0.33867454528808594,0.014854074455797672,0.2514406442642212,0.009214172139763832,1.0111336708068848,0.0015434882370755076,1.000776767730713,0.002160390606150031,0.9880894422531128,0.0013401142787188292,0.9854707717895508,1.0152360200881958,100.0,0.0,0.0
OpenBMI_MI,0,heldout,class,1,50,0.41023361682891846,0.014264889061450958,0.33988717198371887,0.01831052079796791,0.24987918138504028,0.010396395809948444,1.011184573173523,0.0020747121889144182,1.000953197479248,0.0026631015352904797,0.9878624081611633,0.0015120652969926596,0.9852375388145447,1.016558051109314,98.0,2.0,0.0
OpenBMI_MI,0,heldout,subject,17,100,0.47761332988739014,0.10186071693897247,0.2956903278827667,0.07755913585424423,0.22669637203216553,0.03779297322034836,1.020984172821045,0.014814725145697594,0.994525134563446,0.011280277743935585,0.9844905734062195,0.0054966481402516365,0.969032347202301,1.0571064949035645,88.0,12.0,0.0
