task,fold,subject,session,variant,suffix,native_wrong_trials,native_wrong_rescued,native_wrong_rescue_rate,BA,macro_F1,NLL,trials
OpenBMI_MI,1,44,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,15,0,0.0,0.85,0.8474214220323466,0.3909011781215668,100
OpenBMI_MI,1,44,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,15,0,0.0,0.85,0.8474214220323466,0.3876080811023712,100
OpenBMI_MI,1,52,1,BASE,original_frozen_SIRE_suffix,17,0,0.0,0.8300000000000001,0.8295739348370927,0.4116922616958618,100
OpenBMI_MI,1,52,1,FULL_STUDENT,original_frozen_SIRE_suffix,17,0,0.0,0.8300000000000001,0.8295739348370927,0.4138258099555969,100
OpenBMI_MI,1,52,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,17,0,0.0,0.8300000000000001,0.8295739348370927,0.41156673431396484,100
OpenBMI_MI,1,52,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,17,0,0.0,0.8300000000000001,0.8295739348370927,0.4139406085014343,100
OpenBMI_MI,1,52,2,BASE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7584541062801933,0.528305172920227,100
OpenBMI_MI,1,52,2,FULL_STUDENT,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7584541062801933,0.5273244976997375,100
OpenBMI_MI,1,52,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7584541062801933,0.5266761183738708,100
OpenBMI_MI,1,52,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7584541062801933,0.5289661288261414,100
OpenBMI_MI,2,5,1,BASE,original_frozen_SIRE_suffix,5,0,0.0,0.95,0.9499949994999499,0.18615254759788513,100
OpenBMI_MI,2,5,1,FULL_STUDENT,original_frozen_SIRE_suffix,5,1,0.2,0.96,0.96,0.1831047087907791,100
OpenBMI_MI,2,5,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,5,0,0.0,0.95,0.9499949994999499,0.18593129515647888,100
OpenBMI_MI,2,5,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,5,0,0.0,0.95,0.9499949994999499,0.1834765076637268,100
OpenBMI_MI,2,5,2,BASE,original_frozen_SIRE_suffix,27,0,0.0,0.73,0.7237851662404092,0.6655815243721008,100
OpenBMI_MI,2,5,2,FULL_STUDENT,original_frozen_SIRE_suffix,27,0,0.0,0.71,0.7033248081841432,0.6667456030845642,100
OpenBMI_MI,2,5,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,27,0,0.0,0.71,0.7033248081841432,0.6634441614151001,100
OpenBMI_MI,2,5,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,27,0,0.0,0.73,0.7237851662404092,0.6688497066497803,100
OpenBMI_MI,2,6,1,BASE,original_frozen_SIRE_suffix,9,0,0.0,0.9099999999999999,0.9092650468797259,0.2796129286289215,100
OpenBMI_MI,2,6,1,FULL_STUDENT,original_frozen_SIRE_suffix,9,0,0.0,0.9099999999999999,0.9092650468797259,0.2851681411266327,100
OpenBMI_MI,2,6,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,9,0,0.0,0.9099999999999999,0.9092650468797259,0.283865749835968,100
OpenBMI_MI,2,6,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,9,0,0.0,0.9099999999999999,0.9092650468797259,0.2807084918022156,100
OpenBMI_MI,2,6,2,BASE,original_frozen_SIRE_suffix,4,0,0.0,0.96,0.9599358974358975,0.15297077596187592,100
OpenBMI_MI,2,6,2,FULL_STUDENT,original_frozen_SIRE_suffix,4,0,0.0,0.95,0.949874686716792,0.15452274680137634,100
OpenBMI_MI,2,6,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,4,0,0.0,0.96,0.9599358974358975,0.1546541154384613,100
OpenBMI_MI,2,6,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,4,0,0.0,0.96,0.9599358974358975,0.15283335745334625,100
OpenBMI_MI,2,14,1,BASE,original_frozen_SIRE_suffix,31,0,0.0,0.6900000000000001,0.6726850385386971,0.7675359845161438,100
OpenBMI_MI,2,14,1,FULL_STUDENT,original_frozen_SIRE_suffix,31,1,0.03225806451612903,0.6799999999999999,0.6666666666666666,0.7441684007644653,100
OpenBMI_MI,2,14,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,31,1,0.03225806451612903,0.6799999999999999,0.6666666666666666,0.745390772819519,100
OpenBMI_MI,2,14,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,31,1,0.03225806451612903,0.69,0.6756982948007113,0.7660521864891052,100
OpenBMI_MI,2,14,2,BASE,original_frozen_SIRE_suffix,34,0,0.0,0.66,0.6550324675324675,0.9310095906257629,100
OpenBMI_MI,2,14,2,FULL_STUDENT,original_frozen_SIRE_suffix,34,1,0.029411764705882353,0.67,0.6659580929243851,0.9026447534561157,100
OpenBMI_MI,2,14,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,34,1,0.029411764705882353,0.67,0.6659580929243851,0.9139358997344971,100
OpenBMI_MI,2,14,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,34,0,0.0,0.66,0.6550324675324675,0.9190845489501953,100
OpenBMI_MI,2,35,1,BASE,original_frozen_SIRE_suffix,3,0,0.0,0.97,0.96999699969997,0.059237636625766754,100
OpenBMI_MI,2,35,1,FULL_STUDENT,original_frozen_SIRE_suffix,3,0,0.0,0.97,0.96999699969997,0.05887370929121971,100
OpenBMI_MI,2,35,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,3,0,0.0,0.97,0.96999699969997,0.05872426927089691,100
OpenBMI_MI,2,35,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,3,0,0.0,0.97,0.96999699969997,0.059369463473558426,100
OpenBMI_MI,2,35,2,BASE,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7933030177759405,0.4643144905567169,100
OpenBMI_MI,2,35,2,FULL_STUDENT,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7933030177759405,0.44814547896385193,100
OpenBMI_MI,2,35,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7933030177759405,0.45466136932373047,100
OpenBMI_MI,2,35,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7933030177759405,0.45764559507369995,100
OpenBMI_MI,2,45,1,BASE,original_frozen_SIRE_suffix,22,0,0.0,0.78,0.779205138498595,0.4563988447189331,100
OpenBMI_MI,2,45,1,FULL_STUDENT,original_frozen_SIRE_suffix,22,1,0.045454545454545456,0.79,0.7889659330720531,0.45455023646354675,100
OpenBMI_MI,2,45,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,22,1,0.045454545454545456,0.79,0.7889659330720531,0.45740780234336853,100
OpenBMI_MI,2,45,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,22,1,0.045454545454545456,0.79,0.7889659330720531,0.4533262550830841,100
OpenBMI_MI,2,45,2,BASE,original_frozen_SIRE_suffix,21,0,0.0,0.79,0.7889659330720531,0.4395546615123749,100
OpenBMI_MI,2,45,2,FULL_STUDENT,original_frozen_SIRE_suffix,21,2,0.09523809523809523,0.81,0.8095238095238095,0.4283624589443207,100
OpenBMI_MI,2,45,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,21,2,0.09523809523809523,0.81,0.8095238095238095,0.4327966570854187,100
OpenBMI_MI,2,45,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,21,1,0.047619047619047616,0.8,0.7992773986350863,0.434457391500473,100
OpenBMI_MI,2,46,1,BASE,original_frozen_SIRE_suffix,40,0,0.0,0.6,0.586606035551881,1.2087070941925049,100
OpenBMI_MI,2,46,1,FULL_STUDENT,original_frozen_SIRE_suffix,40,3,0.075,0.6,0.5755517826825127,1.2369688749313354,100
