dataset,fold,seed,method,q,lambda_T,subject_id,coverage,valid_candidates,target_distance_improvement,target_nll_improvement,class_pass_rate,median_displacement_ratio,median_relative_margin_drop
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,44,0.39,0.93,0.2632665683862834,1.9489815316310917,0.12875,0.4617085456848144,-0.1028972640633583
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,48,0.23,0.48,0.1499276621257713,1.2961442386663835,0.07125,0.4434287846088409,0.1007043868303299
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,52,0.31,0.81,0.2667058303677316,2.4367851365647804,0.10625,0.509729266166687,0.0644129142165184
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,1,0.35,2.21,0.2354460623209494,3.285106446969183,0.27625,0.4586427211761474,-0.0094259046018123
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,3,0.44,2.9,0.2576219668660272,3.628762840304276,0.3625,0.4818362593650818,0.0388269890099763
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,5,0.49,2.94,0.1882350774851091,2.991693619426948,0.3675,0.4329776167869568,0.0539791006594896
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,6,0.41,2.57,0.2584134067652817,2.968010037553182,0.32125,0.4462585151195526,0.0951477363705635
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,7,0.39,2.33,0.2094467022676486,2.7339448166740485,0.29125,0.4511672854423523,0.0025788589846342
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,8,0.3,2.05,0.3535548303758262,3.283714184816331,0.25625,0.6178613901138306,-0.1348981261253357
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,9,0.36,2.02,0.1991275287050137,2.692182824943671,0.2525,0.4428790211677551,-0.0373795460909605
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,10,0.4,2.47,0.2682970700301804,2.943316218456546,0.30875,0.512657880783081,-0.0953019112348556
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,11,0.33,2.06,0.1833237465664788,2.899255581564837,0.2575,0.4632019251585006,-0.0265541095286607
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,14,0.36,2.28,0.1819634489462732,2.973165597170244,0.285,0.4941147565841675,0.106370460242033
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,21,0.49,3.6,0.2974609805360388,4.431114485653755,0.45,0.5293213129043579,-0.0266191503033041
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,22,0.35,2.12,0.1974339996649726,3.345318305179916,0.265,0.4593245834112167,-0.0935096330940723
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,23,0.33,1.99,0.2286464243786396,3.5931577652082267,0.24875,0.4314895868301391,-0.0177891831845045
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,27,0.37,2.36,0.2892266927189608,3.7359654143678416,0.295,0.5374752879142761,0.0738662630319595
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,28,0.45,3.15,0.2633239176171529,4.350075415447283,0.39375,0.5401917099952698,0.147012859582901
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,30,0.29,1.89,0.2423422881610657,3.252297250826845,0.23625,0.5175926685333252,-0.0353096649050712
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,31,0.41,2.1,0.163358622876553,2.233562924957426,0.2625,0.4098414927721023,-0.0185657823458313
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,34,0.2,1.34,0.2446477842931787,3.436082502089387,0.1675,0.5146726071834564,-0.0669365637004375
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,35,0.46,3.36,0.4747927887987377,5.005019437127735,0.42,0.5494078099727631,0.1305791437625885
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,40,0.42,2.59,0.1968651419785973,3.4449017284030674,0.32375,0.4447928369045257,-0.0204579904675483
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,43,0.39,2.32,0.1842047944610663,2.414036090562233,0.29,0.4041732400655746,-0.0253717871382832
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,44,0.41,2.46,0.2083709694524963,3.4959901763655226,0.3075,0.4159534573554992,-0.1292467042803764
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,48,0.32,1.87,0.1820754923834582,2.7588165505892923,0.23375,0.4447695910930633,0.0321706086397171
OpenBMI,0,1,R1-TaskProtected-Bures,0.5,0.5,52,0.4,2.6,0.2651947188199503,3.913844195686656,0.325,0.4510013461112976,0.0787097662687301
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,1,0.39,0.88,0.2804202046594788,2.255635749256865,0.2125,0.4918860048055649,0.0604708809405565
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,3,0.45,1.04,0.261031121576348,2.208258749094459,0.265,0.4878014028072357,0.1285548731684684
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,5,0.5,1.26,0.2248028000167501,2.3128477907391707,0.35125,0.4290003478527069,0.0394925363361835
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,6,0.54,1.12,0.2064827767331141,1.6202185598311134,0.2775,0.4431486129760742,0.0803742334246635
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,7,0.4,0.78,0.2526095807108166,2.2039195481585505,0.21375,0.4493054747581482,0.046553511172533
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,8,0.48,1.31,0.321793073132911,3.1598913086893847,0.30625,0.5117462873458862,0.0030952049419283
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,9,0.46,1.16,0.2035023398888649,1.534924718148689,0.27875,0.4323514103889465,0.0107250623404979
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,10,0.31,0.74,0.2466033803234867,2.122012275771795,0.2075,0.4817081093788147,0.0208875304087996
OpenBMI,0,2,R3-TaskProtected-Local-OT,0.5,0.5,11,0.41,0.88,0.2620266764540735,2.416103356358536,0.23125,0.5121762156486511,-0.3296205401420593
