dataset,fold,seed,scope,q,lambda_H,coverage_ge2,median_valid_candidates,semantic_pass_rate
WBCIC,4,2,B,0.5,0.5,0.9424174733184413,24.0,0.9581575246132209
OpenBMI,0,0,B,0.5,1.0,0.9557984790874525,24.0,0.9681360899873258
OpenBMI,0,1,B,0.5,1.0,0.9596007604562737,24.0,0.9717997465145756
OpenBMI,0,2,B,0.5,1.0,0.9482341557813256,24.0,0.9698234155781326
OpenBMI,1,0,B,0.5,1.0,0.9451189898008742,24.0,0.9599724785494578
OpenBMI,1,1,B,0.5,1.0,0.9588263132986276,24.0,0.973872061839407
OpenBMI,1,2,B,0.5,1.0,0.9448584202682563,24.0,0.9635080311309818
OpenBMI,2,0,B,0.5,1.0,0.9502463054187192,24.0,0.9686165845648604
OpenBMI,2,1,B,0.5,1.0,0.9576996197718631,24.0,0.9717997465145755
OpenBMI,2,2,B,0.5,1.0,0.9554291133238502,24.0,0.9675003951319742
OpenBMI,3,0,B,0.5,1.0,0.9244992295839753,24.0,0.950607772641671
OpenBMI,3,1,B,0.5,1.0,0.9398989898989899,24.0,0.9523569023569024
OpenBMI,3,2,B,0.5,1.0,0.9429846306395637,24.0,0.9613906792265742
OpenBMI,4,0,B,0.5,1.0,0.9402697495183044,24.0,0.9612636480411048
OpenBMI,4,1,B,0.5,1.0,0.9588263132986276,24.0,0.9708353052531945
OpenBMI,4,2,B,0.5,1.0,0.9656324582338902,24.0,0.9772076372315036
WBCIC,0,0,B,0.5,1.0,0.9414300202839757,24.0,0.9572663116970926
WBCIC,0,1,B,0.5,1.0,0.9385898407884761,24.0,0.9576383623957544
WBCIC,0,2,B,0.5,1.0,0.9393409885172241,24.0,0.9586973706107506
WBCIC,1,0,B,0.5,1.0,0.9459962756052142,24.0,0.9621353196772191
WBCIC,1,1,B,0.5,1.0,0.9560238204306001,24.0,0.9656913269201406
WBCIC,1,2,B,0.5,1.0,0.9535263895375993,24.0,0.9668671181690799
WBCIC,2,0,B,0.5,1.0,0.9313557244422652,24.0,0.9495995750592466
WBCIC,2,1,B,0.5,1.0,0.9384727626459144,24.0,0.9567019293125811
WBCIC,2,2,B,0.5,1.0,0.9399192590833532,24.0,0.960312277368796
WBCIC,3,0,B,0.5,1.0,0.955024595924104,24.0,0.9704165690637931
WBCIC,3,1,B,0.5,1.0,0.9364344861178763,24.0,0.9549845754180873
WBCIC,3,2,B,0.5,1.0,0.9273566569484937,24.0,0.9518140589569161
WBCIC,4,0,B,0.5,1.0,0.9485021044813072,24.0,0.9664314599323266
WBCIC,4,1,B,0.5,1.0,0.9324120603015076,24.0,0.953465242881072
WBCIC,4,2,B,0.5,1.0,0.9469092721834497,24.0,0.9621344300432036
