dataset,outer_fold,inner_fold,role,subject
OpenBMI,4,2,backbone_train,4
OpenBMI,4,2,backbone_train,5
OpenBMI,4,2,query,7
OpenBMI,4,2,backbone_train,8
OpenBMI,4,2,backbone_train,11
OpenBMI,4,2,backbone_train,12
OpenBMI,4,2,backbone_train,15
OpenBMI,4,2,backbone_train,16
OpenBMI,4,2,query,18
OpenBMI,4,2,backbone_train,20
OpenBMI,4,2,backbone_train,22
OpenBMI,4,2,query,23
OpenBMI,4,2,query,25
OpenBMI,4,2,backbone_train,26
OpenBMI,4,2,backbone_train,29
OpenBMI,4,2,backbone_train,30
OpenBMI,4,2,backbone_train,34
OpenBMI,4,2,backbone_train,35
OpenBMI,4,2,backbone_train,37
OpenBMI,4,2,backbone_train,38
OpenBMI,4,2,query,41
OpenBMI,4,2,query,42
OpenBMI,4,2,query,43
OpenBMI,4,2,backbone_train,44
OpenBMI,4,2,backbone_train,46
OpenBMI,4,2,backbone_train,49
OpenBMI,4,2,backbone_train,51
OpenBMI,4,2,backbone_train,52
OpenBMI,4,3,backbone_train,4
OpenBMI,4,3,query,5
OpenBMI,4,3,backbone_train,7
OpenBMI,4,3,backbone_train,8
OpenBMI,4,3,backbone_train,11
OpenBMI,4,3,query,12
OpenBMI,4,3,backbone_train,15
OpenBMI,4,3,query,16
OpenBMI,4,3,backbone_train,18
OpenBMI,4,3,backbone_train,20
OpenBMI,4,3,backbone_train,22
OpenBMI,4,3,backbone_train,23
OpenBMI,4,3,backbone_train,25
OpenBMI,4,3,backbone_train,26
OpenBMI,4,3,backbone_train,29
OpenBMI,4,3,backbone_train,30
OpenBMI,4,3,query,34
OpenBMI,4,3,backbone_train,35
OpenBMI,4,3,query,37
OpenBMI,4,3,query,38
OpenBMI,4,3,backbone_train,41
OpenBMI,4,3,backbone_train,42
OpenBMI,4,3,backbone_train,43
OpenBMI,4,3,backbone_train,44
OpenBMI,4,3,backbone_train,46
OpenBMI,4,3,backbone_train,49
OpenBMI,4,3,backbone_train,51
OpenBMI,4,3,query,52
WBCIC,4,0,backbone_train,7
WBCIC,4,0,query,9
WBCIC,4,0,backbone_train,12
WBCIC,4,0,query,14
WBCIC,4,0,backbone_train,17
WBCIC,4,0,backbone_train,22
WBCIC,4,0,backbone_train,23
WBCIC,4,0,backbone_train,24
WBCIC,4,0,backbone_train,25
WBCIC,4,0,query,26
WBCIC,4,0,query,31
WBCIC,4,0,backbone_train,32
WBCIC,4,0,backbone_train,34
WBCIC,4,0,backbone_train,35
WBCIC,4,0,backbone_train,41
WBCIC,4,0,backbone_train,42
WBCIC,4,0,query,47
WBCIC,4,0,backbone_train,48
WBCIC,4,0,backbone_train,49
WBCIC,4,0,backbone_train,50
WBCIC,4,1,backbone_train,7
WBCIC,4,1,backbone_train,9
WBCIC,4,1,backbone_train,12
WBCIC,4,1,backbone_train,14
WBCIC,4,1,query,17
WBCIC,4,1,query,22
WBCIC,4,1,backbone_train,23
WBCIC,4,1,backbone_train,24
WBCIC,4,1,query,25
WBCIC,4,1,backbone_train,26
WBCIC,4,1,backbone_train,31
WBCIC,4,1,backbone_train,32
WBCIC,4,1,backbone_train,34
WBCIC,4,1,backbone_train,35
WBCIC,4,1,backbone_train,41
WBCIC,4,1,query,42
WBCIC,4,1,backbone_train,47
WBCIC,4,1,query,48
WBCIC,4,1,backbone_train,49
WBCIC,4,1,backbone_train,50
WBCIC,4,2,backbone_train,7
WBCIC,4,2,backbone_train,9
WBCIC,4,2,backbone_train,12
WBCIC,4,2,backbone_train,14
WBCIC,4,2,backbone_train,17
WBCIC,4,2,backbone_train,22
WBCIC,4,2,backbone_train,23
WBCIC,4,2,query,24
WBCIC,4,2,backbone_train,25
WBCIC,4,2,backbone_train,26
WBCIC,4,2,backbone_train,31
WBCIC,4,2,query,32
WBCIC,4,2,query,34
WBCIC,4,2,query,35
WBCIC,4,2,backbone_train,41
WBCIC,4,2,backbone_train,42
WBCIC,4,2,backbone_train,47
WBCIC,4,2,backbone_train,48
WBCIC,4,2,query,49
WBCIC,4,2,backbone_train,50
WBCIC,4,3,query,7
WBCIC,4,3,backbone_train,9
WBCIC,4,3,query,12
WBCIC,4,3,backbone_train,14
WBCIC,4,3,backbone_train,17
WBCIC,4,3,backbone_train,22
WBCIC,4,3,query,23
WBCIC,4,3,backbone_train,24
WBCIC,4,3,backbone_train,25
WBCIC,4,3,backbone_train,26
WBCIC,4,3,backbone_train,31
WBCIC,4,3,backbone_train,32
WBCIC,4,3,backbone_train,34
WBCIC,4,3,backbone_train,35
WBCIC,4,3,query,41
WBCIC,4,3,backbone_train,42
WBCIC,4,3,backbone_train,47
WBCIC,4,3,backbone_train,48
WBCIC,4,3,backbone_train,49
WBCIC,4,3,query,50
