pool,policy_family,method_id,fold_id,seed_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,36,200,0.98,0.98,0.9799919967987194,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,37,200,0.965,0.965,0.9649921232277263,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,38,200,0.74,0.74,0.7383252818035426,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,40,200,0.78,0.78,0.77997799779978,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,41,200,0.69,0.69,0.69,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,42,200,0.75,0.75,0.749096748293858,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,43,200,0.865,0.865,0.8644272049408752,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,45,200,0.885,0.885,0.8845120634681529,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,47,200,0.87,0.87,0.8689384010484928,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,48,200,0.725,0.725,0.7248280175109443,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,50,200,0.65,0.65,0.6224786970121885,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,8,200,0.835,0.835,0.8342999171499585,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,11,200,0.715,0.715,0.7148217636022514,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,12,200,0.8200000000000001,0.82,0.8197115384615384,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,15,200,0.895,0.895,0.8945544927317919,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,16,200,0.87,0.87,0.8697916666666667,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,18,200,0.89,0.89,0.8892914653784219,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,20,200,0.8899999999999999,0.89,0.8894583458948849,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,23,200,0.9199999999999999,0.92,0.9199679871948779,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,24,200,0.6799999999999999,0.68,0.6680153542898641,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,25,200,0.8700000000000001,0.87,0.8695303091128062,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,26,200,0.85,0.85,0.84998499849985,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,27,200,0.88,0.88,0.8799519807923168,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,29,200,0.895,0.895,0.894681411269089,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,30,200,0.82,0.82,0.82,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,31,200,0.865,0.865,0.8644272049408752,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,34,200,0.705,0.705,0.7003174603174602,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,37,200,0.99,0.99,0.9899989998999901,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,38,200,0.76,0.76,0.7558742752517547,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,41,200,0.72,0.72,0.719551282051282,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,42,200,0.77,0.77,0.769792813532179,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,43,200,0.86,0.86,0.859873886497848,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,44,200,0.9199999999999999,0.92,0.9197109594540345,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,49,200,0.8300000000000001,0.83,0.8282828282828283,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,5,200,0.915,0.915,0.9149978749468737,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,51,200,0.75,0.75,0.7493734335839599,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,52,200,0.7949999999999999,0.795,0.7948717948717949,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,0,8,200,0.8300000000000001,0.83,0.8282828282828283,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,11,200,0.72,0.72,0.719551282051282,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,12,200,0.8200000000000001,0.82,0.8198378540686617,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,15,200,0.8899999999999999,0.89,0.8896025692492975,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,16,200,0.905,0.905,0.9049976249406235,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,18,200,0.8999999999999999,0.9,0.899507587177168,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,20,200,0.8899999999999999,0.89,0.8896025692492975,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,23,200,0.895,0.895,0.8949763696831787,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,24,200,0.7,0.7,0.6921182266009853,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,25,200,0.8999999999999999,0.9,0.899507587177168,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,26,200,0.835,0.835,0.8346651970239736,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,27,200,0.88,0.88,0.8798919027124412,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,29,200,0.905,0.905,0.9044626021370208,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,30,200,0.835,0.835,0.8347976270931892,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,31,200,0.855,0.855,0.8545600441335038,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,34,200,0.7150000000000001,0.715,0.7129258895520133,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,37,200,0.99,0.99,0.9899989998999901,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,38,200,0.725,0.725,0.7190939503051661,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,41,200,0.72,0.72,0.7199719971997199,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,42,200,0.775,0.775,0.7748592870544091,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,43,200,0.855,0.855,0.8545600441335038,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,44,200,0.9299999999999999,0.93,0.9298878205128205,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,49,200,0.84,0.84,0.8383838383838383,False
exploration,KEEP_ONLY_ENSEMBLE,B1_OTHER_RUN_HARD_MAJORITY,0,1,5,200,0.925,0.925,0.9249530956848031,False
