pool,policy_family,method_id,fold_id,seed_id,subjects,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED,delta_balanced_accuracy_vs_target_keep,delta_balanced_accuracy_vs_best_ensemble,delta_accuracy_vs_target_keep,delta_accuracy_vs_best_ensemble,delta_macro_f1_vs_target_keep,delta_macro_f1_vs_best_ensemble,analysis_role
exploration,KEEP_ONLY_ENSEMBLE,B5_OTHER_RUN_LOGIT_MEAN,2,0,27,0.8485185185185186,0.8485185185185186,0.8467876805312913,False,0.05240740740740746,0.0038888888888889417,0.05240740740740746,0.0038888888888889417,0.05303611527543162,0.0041483736421610296,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B5_OTHER_RUN_LOGIT_MEAN,2,1,27,0.8353703703703703,0.8353703703703703,0.8340565152271244,False,0.009999999999999898,-0.0092592592592593,0.009999999999999898,-0.0092592592592593,0.010633707479808963,-0.008582791662005818,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B6_ALL_RUN_LOGIT_MEAN,0,0,26,0.8478846153846155,0.8478846153846155,0.8470601100610715,False,0.015576923076923155,0.0,0.015576923076923155,0.0,0.01567623483308289,0.0,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B6_ALL_RUN_LOGIT_MEAN,0,1,26,0.8478846153846155,0.8478846153846155,0.8470601100610715,False,0.017115384615384643,0.0,0.017115384615384643,0.0,0.017908063660795892,0.0,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B6_ALL_RUN_LOGIT_MEAN,1,0,26,0.8548076923076924,0.8548076923076924,0.8539523688706948,False,0.019807692307692304,0.0,0.019807692307692304,0.0,0.020279554294253765,0.0,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B6_ALL_RUN_LOGIT_MEAN,1,1,26,0.8548076923076924,0.8548076923076924,0.8539523688706948,False,0.038461538461538436,0.0,0.038461538461538436,0.0,0.039522014680139494,0.0,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B6_ALL_RUN_LOGIT_MEAN,2,0,27,0.8446296296296296,0.8446296296296296,0.8426393068891302,False,0.048518518518518516,0.0,0.048518518518518516,0.0,0.04888774163327059,0.0,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B6_ALL_RUN_LOGIT_MEAN,2,1,27,0.8446296296296296,0.8446296296296296,0.8426393068891302,False,0.019259259259259198,0.0,0.019259259259259198,0.0,0.01921649914181478,0.0,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,0,0,26,0.8471153846153846,0.8471153846153846,0.8462715689457236,False,0.0148076923076923,-0.0007692307692308553,0.0148076923076923,-0.0007692307692308553,0.014887693717735018,-0.0007885411153478739,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,0,1,26,0.8471153846153846,0.8471153846153846,0.8462715689457236,False,0.016346153846153788,-0.0007692307692308553,0.016346153846153788,-0.0007692307692308553,0.017119522545448018,-0.0007885411153478739,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,1,0,26,0.854423076923077,0.854423076923077,0.8535071439419368,False,0.019423076923076876,-0.00038461538461542766,0.019423076923076876,-0.00038461538461542766,0.019834329365495784,-0.00044522492875798125,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,1,1,26,0.854423076923077,0.854423076923077,0.8535071439419368,False,0.03807692307692301,-0.00038461538461542766,0.03807692307692301,-0.00038461538461542766,0.03907678975138151,-0.00044522492875798125,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,2,0,27,0.8435185185185184,0.8435185185185184,0.8414930805468553,False,0.04740740740740734,-0.0011111111111111738,0.04740740740740734,-0.0011111111111111738,0.047741515290995684,-0.001146226342274903,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,2,1,27,0.8435185185185184,0.8435185185185184,0.8414930805468553,False,0.018148148148148024,-0.0011111111111111738,0.018148148148148024,-0.0011111111111111738,0.018070272799539877,-0.001146226342274903,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,0,0,8,0.8406250000000001,0.840625,0.8379930153417781,False,-0.0031249999999999334,-0.014999999999999902,-0.0031250000000000444,-0.015000000000000013,-0.004237130291367741,-0.015459843661073447,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,0,1,8,0.854375,0.854375,0.8526946593775767,False,0.018750000000000044,-0.0012499999999999734,0.018750000000000044,-0.0012499999999999734,0.021804179648771127,-0.0007581996252747913,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,1,0,8,0.8375,0.8375,0.8350557638551269,False,-0.007499999999999951,-0.010624999999999996,-0.007499999999999951,-0.010624999999999996,-0.008938866155303482,-0.010937203103539073,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,1,1,8,0.840625,0.840625,0.8373173347543134,False,0.015625,-0.007500000000000062,0.015625,-0.007500000000000062,0.01456591272385277,-0.008675632204352635,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,2,0,7,0.8792857142857143,0.8792857142857143,0.877369855632691,False,0.03928571428571437,0.0028571428571428914,0.03928571428571437,0.0028571428571428914,0.04441493173008959,0.0038384526047237078,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,2,1,7,0.8707142857142857,0.8707142857142857,0.8680872530823759,False,0.0071428571428571175,-0.005714285714285783,0.0071428571428571175,-0.005714285714285783,0.0070844882490957994,-0.005444149945591392,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,0,0,8,0.8362499999999999,0.8362499999999999,0.8337981832474994,False,-0.007500000000000062,-0.01937500000000003,-0.007500000000000062,-0.01937500000000003,-0.008431962385646363,-0.01965467575535207,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,0,1,8,0.850625,0.850625,0.8475152241378128,False,0.015000000000000013,-0.0050000000000000044,0.015000000000000013,-0.0050000000000000044,0.016624744409007186,-0.005937634865038732,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,1,0,8,0.841875,0.8418749999999999,0.8397336713304099,False,-0.0031249999999999334,-0.006249999999999978,-0.0031250000000000444,-0.006250000000000089,-0.004260958680020521,-0.006259295628256112,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,1,1,8,0.841875,0.841875,0.8395712599273673,False,0.016875000000000084,-0.006249999999999978,0.016875000000000084,-0.006249999999999978,0.016819837896906664,-0.00642170703129874,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,2,0,7,0.8671428571428572,0.8671428571428572,0.8635980501063656,False,0.027142857142857246,-0.00928571428571423,0.027142857142857246,-0.00928571428571423,0.030643126203764193,-0.00993335292160169,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,2,1,7,0.875,0.875,0.8725675952792521,False,0.011428571428571455,-0.0014285714285714457,0.011428571428571455,-0.0014285714285714457,0.011564830445972007,-0.0009638077487151842,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,0,0,8,0.845,0.845,0.8434884602090882,False,0.0012499999999999734,-0.010624999999999996,0.0012499999999999734,-0.010624999999999996,0.0012583145759423875,-0.009964398793763318,SEPARATE_POOL_AUDIT
