pool,method_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,reference_balanced_accuracy,reference_accuracy,reference_macro_f1,delta_BA_vs_B6,delta_accuracy_vs_B6,delta_macro_f1_vs_B6,OUTER_TEST_USED
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,27,200,0.9199999999999999,0.92,0.9199279351416274,0.895,0.895,0.8949343339587242,0.02499999999999991,0.025000000000000022,0.02499360118290317,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,29,200,0.935,0.935,0.9348027784046742,0.915,0.915,0.9145191703331239,0.020000000000000018,0.020000000000000018,0.020283608071550274,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,3,200,0.945,0.945,0.9449986249656241,0.925,0.925,0.9249530956848031,0.019999999999999907,0.019999999999999907,0.02004552928082104,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,30,200,0.86,0.86,0.8599439775910365,0.83,0.83,0.8299829982998299,0.030000000000000027,0.030000000000000027,0.029960979291206558,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,31,200,0.88,0.88,0.8794091046126018,0.8600000000000001,0.86,0.8593106220480353,0.019999999999999907,0.020000000000000018,0.020098482564566478,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,32,200,0.975,0.975,0.9749943737340903,0.965,0.965,0.9649991249781245,0.010000000000000009,0.010000000000000009,0.009995248755965802,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,33,200,0.99,0.99,0.9899989998999901,0.98,0.98,0.98,0.010000000000000009,0.010000000000000009,0.00999899989999009,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,34,200,0.77,0.77,0.7676767676767677,0.7150000000000001,0.715,0.7133878064110623,0.05499999999999994,0.05500000000000005,0.05428896126570548,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,36,200,0.985,0.985,0.9849966242404541,0.98,0.98,0.9799919967987194,0.0050000000000000044,0.0050000000000000044,0.005004627441734688,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,37,200,0.995,0.995,0.9949998749968749,0.995,0.995,0.9949998749968749,0.0,0.0,0.0,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,38,200,0.8400000000000001,0.84,0.838693416675068,0.8,0.8,0.797077922077922,0.040000000000000036,0.039999999999999925,0.041615494597145974,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,40,200,0.88,0.88,0.8794091046126018,0.795,0.795,0.7949948748718718,0.08499999999999996,0.08499999999999996,0.08441422974072998,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,41,200,0.8,0.8,0.7990151743543362,0.76,0.76,0.7597838054248824,0.040000000000000036,0.040000000000000036,0.03923136892945378,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,42,200,0.8049999999999999,0.805,0.8044083352140223,0.76,0.76,0.7591328783621036,0.04499999999999993,0.04500000000000004,0.045275456851918694,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,43,200,0.9199999999999999,0.92,0.9198717948717949,0.87,0.87,0.8697916666666667,0.04999999999999993,0.050000000000000044,0.050080128205128194,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,44,200,0.94,0.94,0.9399038461538461,0.925,0.925,0.9247724366207779,0.014999999999999902,0.014999999999999902,0.01513140953306824,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,45,200,0.9099999999999999,0.91,0.9096748293857888,0.875,0.875,0.8740903024350936,0.03499999999999992,0.03500000000000003,0.03558452695069525,False
