fold,seed,inner_fold,run,kind,draw,subject,n_trials,logit_rms,logit_rms_over_train_margin,margin_displacement,flip_rate,total_variation,js_divergence,q_movement_relative
0,0,0,0_0,matched_random,4,37,200,0.017891922753425344,0.01200480884337445,0.02043883841096734,0.0004166666666666667,0.0012255232474709281,4.769093771150132e-06,0.1652483195066452
0,0,0,0_0,matched_random,4,41,200,0.018000784375962225,0.012077850907491604,0.02064844311447814,0.014583333333333334,0.0044375479714997956,1.737677359681767e-05,0.1652483195066452
0,0,0,0_0,matched_random,4,42,200,0.017607659537493336,0.011814078891345493,0.02013731944685181,0.0020833333333333333,0.0031891199412390986,1.230765499874948e-05,0.1652483195066452
0,0,0,0_0,matched_random,4,43,200,0.018191367472732898,0.012205725014542073,0.02089152562431991,0.004583333333333333,0.0029717050606533884,1.1686285942116015e-05,0.1652483195066452
0,0,0,0_0,matched_random,5,7,200,0.01794446877802079,0.012040065254294668,0.020173135886434466,0.007916666666666667,0.003607431868638077,1.4283704510468056e-05,0.1652483195066452
0,0,0,0_0,matched_random,5,16,200,0.01886774571286085,0.012659549435229312,0.021055575670519223,0.0016666666666666668,0.002346357206370037,9.895800806237895e-06,0.1652483195066452
0,0,0,0_0,matched_random,5,24,200,0.017856885103113784,0.011981299894665695,0.019971752137256164,0.01,0.0036112103897131894,1.4468142829004941e-05,0.1652483195066452
0,0,0,0_0,matched_random,5,37,200,0.018351314129052023,0.012313043219561733,0.020453047377523036,0.0004166666666666667,0.0012235841157452552,4.972051488509918e-06,0.1652483195066452
0,0,0,0_0,matched_random,5,41,200,0.018294400944618372,0.012274856608250609,0.020443911463177453,0.019583333333333335,0.004393163513695095,1.7943731101467673e-05,0.1652483195066452
0,0,0,0_0,matched_random,5,42,200,0.018007389366105173,0.01208228260805119,0.020085007331799715,0.0033333333333333335,0.003180399162927024,1.2867466579301066e-05,0.1652483195066452
0,0,0,0_0,matched_random,5,43,200,0.01845951256372528,0.012385640309505914,0.02069111608201638,0.005,0.0029383785287035178,1.1988225639609793e-05,0.1652483195066452
0,0,0,0_0,matched_random,6,7,200,0.015629965794350092,0.010487120594891465,0.01872400024284919,0.006666666666666667,0.003354325595668661,1.0877092956566084e-05,0.1652483195066452
0,0,0,0_0,matched_random,6,16,200,0.016488194099000285,0.011062959585663234,0.019769455030715713,0.0016666666666666668,0.002206411866479756,7.590855630127032e-06,0.1652483195066452
0,0,0,0_0,matched_random,6,24,200,0.015586177146768352,0.010457740055361245,0.01867517376008133,0.009166666666666667,0.003371761647248997,1.1012852340816533e-05,0.1652483195066452
0,0,0,0_0,matched_random,6,37,200,0.01596853469844562,0.010714287626070351,0.019129805037907014,0.0,0.0011423022235239719,3.78576143367019e-06,0.1652483195066452
0,0,0,0_0,matched_random,6,41,200,0.016027913064753183,0.010754128281922596,0.019210591186614088,0.018333333333333333,0.0041290924122757075,1.3780240778055219e-05,0.1652483195066452
0,0,0,0_0,matched_random,6,42,200,0.015722440118691977,0.010549167396788819,0.01885353518727546,0.0020833333333333333,0.0029845578740490676,9.811245256878549e-06,0.1652483195066452
0,0,0,0_0,matched_random,6,43,200,0.016165480726796064,0.010846431021466816,0.019377811370262257,0.004583333333333333,0.0027562812588636117,9.22821845089533e-06,0.1652483195066452
0,0,0,0_0,matched_random,7,7,200,0.01881428475512611,0.012623679138501903,0.02231062192780276,0.00875,0.003997594572414046,1.5762776383191995e-05,0.1652483195066452
0,0,0,0_0,matched_random,7,16,200,0.019740528367348586,0.013245153848647221,0.023394495229392003,0.00125,0.002613276250364602,1.0868980402903846e-05,0.1652483195066452
0,0,0,0_0,matched_random,7,24,200,0.01867105660195396,0.012527578421797653,0.02217077902130162,0.010416666666666666,0.00400794994064229,1.583305814001534e-05,0.1652483195066452
0,0,0,0_0,matched_random,7,37,200,0.019109657613425427,0.0128218632437136,0.022602302459999918,0.0008333333333333334,0.0013548598235394989,5.439442178426466e-06,0.1652483195066452
0,0,0,0_0,matched_random,7,41,200,0.01917882680540974,0.012868273176232639,0.022787731362817188,0.017916666666666668,0.004897769698476986,1.9721882516986355e-05,0.1652483195066452
0,0,0,0_0,matched_random,7,42,200,0.01874341580474515,0.012576128731875472,0.02225365162904685,0.002916666666666667,0.003523419217295665,1.3936765097419693e-05,0.1652483195066452
0,0,0,0_0,matched_random,7,43,200,0.019438003144428843,0.013042170775139627,0.023055693590237448,0.005,0.003279905988191513,1.333261476430223e-05,0.1652483195066452
0,0,0,0_0,matched_random,8,7,200,0.016411315216448428,0.011011376740049249,0.020697077007498593,0.008333333333333333,0.003711601977093067,1.2018355048830301e-05,0.1652483195066452
0,0,0,0_0,matched_random,8,16,200,0.01738049103297029,0.011661657348417004,0.02181076136417687,0.0020833333333333333,0.0024364691726799486,8.438401516193897e-06,0.1652483195066452
0,0,0,0_0,matched_random,8,24,200,0.01638344278699343,0.010992675385688459,0.0205872677002723,0.01,0.00372000024382086,1.2161013859879367e-05,0.1652483195066452
0,0,0,0_0,matched_random,8,37,200,0.01678408998145467,0.011261494620458555,0.02103018750747045,0.0,0.0012593905708710113,4.1842070766048945e-06,0.1652483195066452
0,0,0,0_0,matched_random,8,41,200,0.01687469334870141,0.01132228608034539,0.021209018720158686,0.017916666666666668,0.0045581903581818385,1.5271030911177877e-05,0.1652483195066452
