backbone,fold,block,subject,base_BA,candidate_BA,random_BA_mean,u_abs,u_random,u_spec,delta_BA,delta_BA_random,delta_BA_specific,logit_RMS,margin_displacement,prediction_flip_rate,total_variation
TeCh,1,P01_04,sub-11,0.62,0.5,0.6275000000000001,0.10978047820599962,0.017423152866973185,0.09235732533902644,-0.12,0.007500000000000062,-0.12750000000000006,0.7315854029876292,0.8579907044006382,0.46,0.19699692037025515
TeCh,1,P01_04,sub-13,0.62,0.5,0.6062500000000001,0.10695608434371129,0.017696820714027426,0.08925926362968387,-0.12,-0.013749999999999929,-0.10625000000000007,0.7571994570617671,0.9021976720296394,0.58,0.2132782137057017
TeCh,1,P01_04,sub-18,0.51,0.5,0.5067499999999999,0.01991296479921129,0.006298820739612793,0.013614144059598496,-0.010000000000000009,-0.003250000000000086,-0.006749999999999923,0.7620920798078767,0.9046758004058265,0.55,0.21288466570514014
TeCh,1,P01_04,sub-27,0.575,0.5,0.5706,0.09227241171237777,0.018132845803493513,0.07413956590888425,-0.07499999999999996,-0.0043999999999999595,-0.0706,0.6825075721881174,0.8354318035158834,0.535,0.19760467408822457
TeCh,1,P01_04,sub-36,0.9,0.5,0.8414499999999999,0.3081116090438503,0.04141512548691803,0.2666964835569323,-0.4,-0.0585500000000001,-0.3414499999999999,0.7962771293714855,0.9059914687532472,0.51,0.2106711135201354
TeCh,1,P01_04,sub-44,0.66,0.5,0.6733499999999999,0.15250094914191897,0.021550512682359753,0.13095043645955923,-0.16000000000000003,0.013349999999999862,-0.1733499999999999,0.7837547519545891,0.9048057360259688,0.48,0.20772061804115935
TeCh,1,P01_04,sub-45,0.8200000000000001,0.5,0.79175,0.2727013304254684,0.03678819958503196,0.23591313084043644,-0.32000000000000006,-0.02825000000000011,-0.29174999999999995,0.7828946449975711,0.886510712441502,0.47,0.2050243466749153
TeCh,1,P05_08,sub-2,0.655,0.655,0.6502000000000001,0.00018285776865588729,0.0006680696495463862,-0.0004852118808904989,0.0,-0.0047999999999999154,0.0047999999999999154,0.01428426480955774,0.020136520629977585,0.01,0.004313990000657965
TeCh,1,P05_08,sub-11,0.62,0.625,0.62495,0.0009417671083180917,-0.0008023516286862676,0.0017441187370043592,0.0050000000000000044,0.00495000000000001,4.999999999999449e-05,0.015299353227479337,0.021504095148821935,0.005,0.0044282199584857376
TeCh,1,P05_08,sub-13,0.62,0.6200000000000001,0.62055,-0.0003772059575031797,0.0017239338701349205,-0.0021011398276381,1.1102230246251565e-16,0.0005500000000000504,-0.0005499999999999394,0.014106200425224933,0.019912568043160574,0.02,0.004466803404678934
TeCh,1,P05_08,sub-18,0.51,0.51,0.5115500000000001,-0.0003308722807058546,-0.0017535400833203387,0.001422667802614484,0.0,0.0015500000000000513,-0.0015500000000000513,0.014214950873299124,0.02004599789805488,0.01,0.0044973492485852725
TeCh,1,P05_08,sub-27,0.575,0.565,0.5710000000000001,4.424982575049238e-05,0.0010083376614814328,-0.0009640878357309404,-0.010000000000000009,-0.0039999999999998925,-0.006000000000000116,0.014193316962687493,0.020026459337562145,0.01,0.004581497961562314
TeCh,1,P05_08,sub-36,0.9,0.905,0.8890500000000001,-0.00022104264682469926,0.00831157509577032,-0.00853261774259502,0.0050000000000000044,-0.010949999999999904,0.01594999999999991,0.013957839502061727,0.01969803280060014,0.005,0.004186755231977113
TeCh,1,P05_08,sub-44,0.66,0.66,0.6804000000000001,0.0003010253828469467,0.0014585774438004222,-0.0011575520609534754,0.0,0.020400000000000085,-0.020400000000000085,0.014207349912326288,0.02000272519858875,0.0,0.004170235504029232
TeCh,1,P05_08,sub-45,0.8200000000000001,0.81,0.8185499999999999,6.448942726311468e-05,0.006261677600246361,-0.006197188172983246,-0.010000000000000009,-0.0014500000000001734,-0.008549999999999836,0.014060935774061983,0.01979961341619851,0.01,0.004155921401973988
TeCh,1,P09_16,sub-2,0.655,0.655,0.65415,5.741704525534339e-05,-0.00019545081684513754,0.00025286786210048094,0.0,-0.0008500000000000174,0.0008500000000000174,0.0010145270511400888,0.0011884707588286024,0.0,0.00025326004647835946
TeCh,1,P09_16,sub-11,0.62,0.62,0.62265,0.00010888465767951993,-0.0006267544532540735,0.0007356391109335934,0.0,0.002650000000000041,-0.002650000000000041,0.0012787149462837944,0.0015506666128139567,0.0,0.0003205697214080902
TeCh,1,P09_16,sub-13,0.62,0.62,0.6218499999999999,4.486853052898407e-05,0.00013353166839718105,-8.866313786819698e-05,0.0,0.0018499999999999073,-0.0018499999999999073,0.0010333858012744447,0.0012030511695008414,0.0,0.0002666652589986754
TeCh,1,P09_16,sub-18,0.51,0.51,0.512,-1.2643731636279438e-05,-0.0016577559074653827,0.0016451121758291032,0.0,0.0020000000000000018,-0.0020000000000000018,0.0011163414749896026,0.0013092962941993907,0.0,0.0002943602394305305
TeCh,1,P09_16,sub-27,0.575,0.575,0.5735000000000001,3.738782282405026e-05,-3.451910737150778e-05,7.190693019555804e-05,0.0,-0.0014999999999998348,0.0014999999999998348,0.0006958390766465782,0.000749518602655187,0.0,0.00016587930364085575
TeCh,1,P09_16,sub-36,0.9,0.9,0.897,0.0002870371762803618,0.0037370809103228837,-0.003450043734042522,0.0,-0.0030000000000000027,0.0030000000000000027,0.0010877661896849633,0.0012952003080560848,0.0,0.00027208220078527067
TeCh,1,P09_16,sub-44,0.66,0.66,0.67175,6.596570204631058e-05,0.0003400423007113238,-0.00027407659866501323,0.0,0.011749999999999927,-0.011749999999999927,0.0010176701924253274,0.001204495685370588,0.0,0.00024495284777147503
TeCh,1,P09_16,sub-45,0.8200000000000001,0.8200000000000001,0.8166999999999999,0.00022022358041558942,0.0028490690111693476,-0.002628845430753758,0.0,-0.0033000000000001917,0.0033000000000001917,0.001321722923684246,0.001528860824997697,0.0,0.000318187883356842
TeCh,1,P17_32,sub-2,0.655,0.655,0.6534000000000002,8.04386057356836e-05,-0.0004568880799803393,0.0005373266857160229,0.0,-0.0015999999999998238,0.0015999999999998238,0.018232930388666024,0.02577948194727011,0.01,0.005527241509980851
TeCh,1,P17_32,sub-11,0.62,0.625,0.6225999999999999,0.001091951198794745,-0.0012141652654622938,0.0023061164642570386,0.0050000000000000044,0.0025999999999999357,0.0024000000000000687,0.018218638325055887,0.025744290090707115,0.005,0.005339918568500841
TeCh,1,P17_32,sub-13,0.62,0.615,0.62085,-0.0006116965530344992,0.00010946725822585464,-0.0007211638112603539,-0.0050000000000000044,0.0008500000000000174,-0.005850000000000022,0.018253941770725264,0.025808336896688603,0.025,0.00579196313098535
TeCh,1,P17_32,sub-18,0.51,0.51,0.51125,-0.0005695226555577871,-0.0033431739401970973,0.00277365128463931,0.0,0.0012499999999999734,-0.0012499999999999734,0.018210959220603326,0.02574459332618351,0.02,0.005779408731313349
TeCh,1,P17_32,sub-27,0.575,0.5700000000000001,0.5739000000000002,-2.636075081221892e-05,-0.00018892126578931023,0.00016256051497709131,-0.004999999999999893,-0.0010999999999997678,-0.0039000000000001256,0.018260651905618784,0.025818841591409205,0.015,0.005920900602679178
TeCh,1,P17_32,sub-36,0.9,0.91,0.8969500000000002,-0.00013229474646561505,0.007156812500887878,-0.007289107247353493,0.010000000000000009,-0.003049999999999775,0.013049999999999784,0.01826358112518728,0.025823629422421317,0.01,0.005492232944524154
TeCh,1,P17_32,sub-44,0.66,0.66,0.6728999999999999,0.0004179701596289177,0.0006078100192713701,-0.00018983985964245235,0.0,0.012899999999999912,-0.012899999999999912,0.01828388966350789,0.02584919888616116,0.0,0.005394748483000665
TeCh,1,P17_32,sub-45,0.8200000000000001,0.81,0.8168,0.00030567444218080486,0.005459659439778659,-0.0051539849975978545,-0.010000000000000009,-0.0032000000000000917,-0.006799999999999917,0.01824734179593015,0.02579557523099739,0.01,0.005407253180254415
TeCh,2,P01_04,sub-9,0.585,0.5,0.578,0.2774232315597613,-0.00044976092122100085,0.2778729924809823,-0.08499999999999996,-0.007000000000000006,-0.07799999999999996,1.4212860367256548,1.8553962678525522,0.535,0.36684979502377874
TeCh,2,P01_04,sub-22,0.51,0.5,0.5116499999999999,0.30569903047890823,0.011639902728357503,0.2940591277505507,-0.010000000000000009,0.0016499999999999293,-0.011649999999999938,1.320815337600842,1.797531029349098,0.56,0.3584318989466905
TeCh,2,P01_04,sub-25,0.935,0.5,0.9205,0.5683301198285483,0.035680988910025475,0.5326491309185228,-0.43500000000000005,-0.014500000000000068,-0.4205,1.3658704995120832,1.5320088876664173,0.485,0.2957325019062077
TeCh,2,P01_04,sub-26,0.7,0.5,0.6806000000000002,0.291301997281103,0.0017134896427640506,0.28958850763833893,-0.19999999999999996,-0.01939999999999975,-0.1806000000000002,1.2950321960839726,1.5887107054593026,0.46,0.3063264111938719
TeCh,2,P01_04,sub-29,0.7949999999999999,0.5,0.7810500000000001,0.4148425277912605,0.019743112492162398,0.39509941529909814,-0.29499999999999993,-0.013949999999999796,-0.28105000000000013,1.3450566829791708,1.637022538557872,0.455,0.317664848613863
TeCh,2,P01_04,sub-34,0.54,0.5,0.5269499999999999,0.2888678596477604,0.002567281962187471,0.28630057768557293,-0.040000000000000036,-0.013050000000000117,-0.02694999999999992,1.3593483265211928,1.8162545715266476,0.49,0.3588781809416303
