dataset,fold,method,bn_layer,running_mean_abs_L2,running_mean_relative_L2,running_var_abs_L2,running_var_relative_L2,source_num_batches_tracked,current_num_batches_tracked
OpenBMI,4,NRRF-v1,temporal_norm.2,0.008062582463026047,0.37368735521179325,0.5928986668586731,0.3030570924095105,1218,1638
WBCIC,0,JOINT-CE,norm1,0.07172293215990067,0.2406995575005607,0.07752802968025208,0.0849007033345604,3480,4680
WBCIC,0,JOINT-CE,norm2,0.051267530769109726,0.20403334494015396,0.08742203563451767,0.11849078546689251,3480,4680
WBCIC,0,JOINT-CE,spatial_norm.0,0.06999284029006958,0.3606812764446897,0.10958430171012878,0.18197740079411454,3480,4680
WBCIC,0,JOINT-CE,spatial_norm.1,0.06128760054707527,0.3922290102721675,0.13394559919834137,0.19091395690388677,3480,4680
WBCIC,0,JOINT-CE,spatial_norm.2,0.05835050344467163,0.3165570985064731,0.09938713908195496,0.1995696440142795,3480,4680
WBCIC,0,JOINT-CE,temporal_norm.0,0.00306336279027164,4.316826177349015,5.540692329406738,65.28939496848403,3480,4680
WBCIC,0,JOINT-CE,temporal_norm.1,0.000991659821011126,3.8538919234470566,1.8611313104629517,173.60463003243692,3480,4680
WBCIC,0,JOINT-CE,temporal_norm.2,0.002889724215492606,5.925029426467641,7.079700946807861,141.39223819622302,3480,4680
WBCIC,0,NRRF-v1,norm1,0.07172384113073349,0.2407026079736891,0.09589114785194397,0.10501009673230603,3480,4680
WBCIC,0,NRRF-v1,norm2,0.04787236452102661,0.19052134005456464,0.10352564603090286,0.14031742712389705,3480,4680
WBCIC,0,NRRF-v1,spatial_norm.0,0.04870554432272911,0.2509853554085265,0.12067807465791702,0.20039989319981252,3480,4680
WBCIC,0,NRRF-v1,spatial_norm.1,0.06416472792625427,0.4106420793805842,0.1054505705833435,0.15029971726079674,3480,4680
WBCIC,0,NRRF-v1,spatial_norm.2,0.048265643417835236,0.26184576200590065,0.09751476347446442,0.19580990873163115,3480,4680
WBCIC,0,NRRF-v1,temporal_norm.0,0.003048487938940525,4.295864850857014,5.5174360275268555,65.01535161998709,3480,4680
WBCIC,0,NRRF-v1,temporal_norm.1,0.0009500934975221753,3.6923525376745054,1.9114036560058594,178.2939885423791,3480,4680
WBCIC,0,NRRF-v1,temporal_norm.2,0.0029328903183341026,6.013536290960312,7.236464500427246,144.52304130222603,3480,4680
WBCIC,1,JOINT-CE,norm1,0.037453800439834595,0.15060701623343103,0.04236854985356331,0.05236040039190188,3717,4977
WBCIC,1,JOINT-CE,norm2,0.050071150064468384,0.19216111297912092,0.038729168474674225,0.057334796658165856,3717,4977
WBCIC,1,JOINT-CE,spatial_norm.0,0.07592734694480896,0.3553256575487593,0.14653241634368896,0.19292508766296856,3717,4977
WBCIC,1,JOINT-CE,spatial_norm.1,0.07412337511777878,0.39563270517874444,0.21292082965373993,0.31508096211601433,3717,4977
WBCIC,1,JOINT-CE,spatial_norm.2,0.13087134063243866,0.48325159213305685,0.22444777190685272,0.4312102647858898,3717,4977
WBCIC,1,JOINT-CE,temporal_norm.0,0.0009871830698102713,0.355293636818612,0.5571010112762451,0.2810285738819338,3717,4977
WBCIC,1,JOINT-CE,temporal_norm.1,0.000570496020372957,0.3234339136518239,0.26383423805236816,0.24416751606310702,3717,4977
WBCIC,1,JOINT-CE,temporal_norm.2,0.0009192526922561228,0.39092630806683343,0.6046382188796997,0.26925970149114964,3717,4977
WBCIC,1,NRRF-v1,norm1,0.03890620544552803,0.1564473416930963,0.04784008115530014,0.05912229266119015,3717,4977
WBCIC,1,NRRF-v1,norm2,0.04531245678663254,0.1738983849327743,0.04676918685436249,0.06923726802748488,3717,4977
WBCIC,1,NRRF-v1,spatial_norm.0,0.06987454742193222,0.3269996978383491,0.1351843923330307,0.17798423988548626,3717,4977
WBCIC,1,NRRF-v1,spatial_norm.1,0.07636592537164688,0.4076022926675407,0.21961039304733276,0.32498020059642513,3717,4977
WBCIC,1,NRRF-v1,spatial_norm.2,0.12762123346328735,0.47125034375808506,0.20642784237861633,0.39659027940007524,3717,4977
WBCIC,1,NRRF-v1,temporal_norm.0,0.000976528215687722,0.3514588852038989,0.5563464164733887,0.28064791993047233,3717,4977
