seed,fold,candidate_order,eigenvalue,P_cross_session,U_signed_loss,U_signed_BA,D_decision_flip,PUD_score,passed,identity_required,source_subjects
2,2,16,0.01302499239584509,0.6983805738334595,0.0005079194709483037,0.0005882352941176672,0.011176470588235295,3.750069822754553e-05,True,False,34
2,2,17,0.011163936367416798,0.706679464314499,0.0005645193068802845,-0.0011764705882352233,0.014705882352941176,4.837787810468302e-05,True,False,34
2,2,18,0.010022975602535551,0.6660054540896041,5.225905666650377e-06,0.0005882352941176672,0.001176470588235294,1.1937954170207494e-07,False,False,34
2,2,19,0.009234907522983594,0.6752221704438488,7.96192277052743e-06,-0.0002941176470587781,0.0014705882352941176,2.061627566785521e-07,False,False,34
2,2,20,0.008054471744251787,0.6524932955464033,-2.1813929152014744e-05,0.0005882352941176672,0.002352941176470588,0.0,False,False,34
2,2,21,0.007574477689516428,0.5822253026566696,0.001016258753102961,0.0011764705882353343,0.015294117647058824,7.31741336460208e-05,True,False,34
2,2,22,0.005249205081711334,0.4294075351141568,-1.0797330738387956e-05,-0.0002941176470588891,0.0002941176470588235,0.0,False,False,34
2,2,23,0.0037855374697913216,0.5858324486858688,0.0003723574448245559,-0.0020588235294117796,0.007941176470588234,1.9439088227937012e-05,True,False,34
2,2,24,0.003191384956615649,0.4372345350281111,-1.7202845982167148e-06,-0.0005882352941176672,0.001176470588235294,0.0,False,False,34
2,2,25,0.0030415884895182307,0.331036232964733,7.70361295582278e-06,-0.0008823529411764452,0.005588235294117647,1.906370601306324e-07,False,False,34
2,2,26,0.0018857598797852883,0.5233987513390349,0.0003248790539382984,-0.0017647058823528905,0.008823529411764706,1.5972598142998228e-05,True,False,34
2,2,27,0.0016484192856588207,0.5263338867433426,-0.00016856985795721258,-0.0008823529411764452,0.0026470588235294116,0.0,False,False,34
2,2,28,0.0008312830758384225,0.36843219478088574,5.419217450686187e-05,-0.0014705882352940014,0.003823529411764706,1.234600289100747e-06,True,False,34
2,2,29,0.0004760101028322268,0.31568018178003865,7.826098633989531e-05,-0.0002941176470587781,0.004411764705882353,1.6409630839502635e-06,True,False,34
2,2,30,0.00034411497470149147,0.23475485562838297,7.708454822541455e-05,-0.0011764705882352233,0.0035294117647058825,1.0750609474406987e-06,True,False,34
2,2,31,1.695670205741836e-05,0.04500053751632525,0.0005566154866020745,-0.0017647058823528905,0.010588235294117647,2.577417545916938e-06,False,False,34
0,3,0,2.041328749617194,0.8746423130297215,0.0004106951447950813,-0.001290322580645209,0.005806451612903226,2.737193258384463e-05,True,False,31
0,3,1,0.3504048238177509,0.7991534788666437,0.00398557324852844,0.000645161290322549,0.02193548387096774,0.00047173119871615163,True,False,31
0,3,2,0.2573092750930384,0.5932643318283372,0.13528408437662154,0.06129032258064515,0.16709677419354838,0.03280794122321137,True,False,31
0,3,3,0.14365638276296278,0.7838364016869093,0.0010233831813594163,1.1102230246251565e-16,0.014838709677419355,9.771512100290731e-05,True,False,31
0,3,4,0.11778904239448665,0.7874282183868381,0.008581610815156404,-0.00032258064516133,0.046129032258064515,0.0014513326362788996,True,False,31
0,3,5,0.08611556841639617,0.7654099673081655,0.0005428493879652274,-0.001290322580645209,0.01032258064516129,4.221507938082496e-05,True,False,31
0,3,6,0.06590710925672608,0.6992519865000565,8.579080621956559e-05,-0.000645161290322549,0.014838709677419355,7.307562329628091e-06,True,False,31
