comparison,task,target,feature_set,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,b0_logit_l2_norm,-0.09119392289964535,-0.04561221788133331,0.11354676340819267,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,candidate_top1_probability,-0.10857074584722808,-0.03295321795940519,0.032953217959405194,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,candidate_margin,-0.1085712457321274,-0.032953538804818605,0.032953538804818605,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,candidate_entropy,-0.48224273241984356,-0.26336231022727963,0.26336231022727963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,candidate_logit_l2_norm,0.0940667838510818,0.12000029635743532,0.15514512455048446,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,top1_probability_difference,-0.0406445976711276,-0.013023035902060465,0.01814040681585219,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,margin_difference,-0.040644827169191676,-0.01302313256518092,0.018140481261350254,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,entropy_difference,-0.39453674711799636,-0.2952312646057969,0.29523126460579696,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,probability_L1_distance,-0.12514333395812643,-0.03723628011886835,0.03723628011886835,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,JS_divergence,0.04815002759040141,-0.015243321858734171,0.09670730708715339,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,candidate_embedding_l2_norm,-0.04463258648780789,0.02482528226793577,0.0500662194148182,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,candidate_prehead_feature_l2_norm,-0.04463258648780789,0.02482528226793577,0.0500662194148182,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,mixer_block1_relative_update_norm,-0.08812459712562028,-0.12062329623052648,0.12062329623052648,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,mixer_block2_relative_update_norm,0.10651538636342768,0.0005679126677841761,0.12929574309135983,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,mixer_block3_relative_update_norm,0.017416412699818747,0.1415715268187198,0.14643008141251732,0.8
